"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_LEG-02_1","This is a Recall item because the task is to retrieve the canonical six IDEA principles and reject options that add non-core elements such as educational planning details or transition planning. No scenario interpretation or legal balancing is required.","Accurate retrieval of IDEA's six core principles and discrimination of core principles from related but non-core special-education components"
"PQ_LEG-02_2","This is a Recall item because the student must state IDEA's legal definition of FAPE, including public expense, state standards, and IEP alignment. The distractors test overrestriction and underinclusive definitions, not case analysis.","Precise definition of FAPE under IDEA, especially public-expense provision, standards compliance, and IEP-governed service entitlement"
"PQ_LEG-02_3","This is a Recall item because success depends on memorized knowledge of IDEA eligibility categories and recognizing which label is excluded by law. The question does not require applying criteria to a student profile.","Knowledge of IDEA's disability-category taxonomy, specifically exclusion of environmental disadvantage as a standalone eligibility category"
"PQ_LEG-02_4","This is a Recall item because the student must identify required IEP content elements from statute and regulations. The response hinges on component recognition rather than planning an individualized program in context.","Required IEP component set: present levels, measurable goals, services, accommodations, placement, and progress-monitoring provisions"
"PQ_LEG-02_5","This is a Recall item because it asks for the fixed legal timeline tied to parental consent for an initial evaluation. The challenge is retrieving the statutory number and trigger point, not selecting actions in a case.","IDEA initial-evaluation deadline rule: 60-day timeline (or state alternative) beginning upon signed parental consent"
"PQ_LEG-02_6","This is a Recall item because the student must identify the specific disciplinary threshold that triggers an MDR. It tests knowledge of the legal trigger condition, not judgment about a nuanced disciplinary scenario.","MDR trigger criteria under IDEA disciplinary safeguards: removals exceeding 10 consecutive days or patterned cumulative removals"
"PQ_LEG-02_7","This is an Application item because the student must apply IDEA discipline rules to a concrete suspension-duration scenario and infer the required legal procedure. Correctness depends on mapping facts to the MDR trigger standard.","Applying IDEA disciplinary-removal thresholds to determine when manifestation determination procedures become legally mandatory"
"PQ_LEG-02_8","This is a Recall item because it asks for the legal meaning of stay-put during due process and its limited exceptions. The item is solved by retrieving the rule statement, not evaluating competing placements.","Stay-put procedural protection scope during IDEA disputes, including baseline current-placement rule and recognized exceptions"
"PQ_LEG-02_9","This is a Recall item because the student must identify formal parent dispute-resolution pathways expressly provided by IDEA. It tests rights vocabulary and process labels rather than procedural strategy in a case.","Parent procedural safeguards for contesting special-education decisions, specifically mediation and due process hearing mechanisms"
"PQ_LEG-02_10","This is a Recall item because it asks for the age range attached to IDEA Part B eligibility. The student only needs to retrieve statutory age boundaries and distinguish Part B from adjacent service frameworks.","IDEA Part B age-jurisdiction boundaries and distinction from early-intervention services outside the 3-21 entitlement span"
"PQ_LEG-02_11","This is a Recall item because it tests the legal definition of related services as supports enabling benefit from special education. The distractors probe scope misunderstandings, not case-specific service design.","Definition and functional purpose of related services under IDEA as supports necessary for educational benefit"
"PQ_LEG-02_12","This is a Recall item because the student must identify LRE's governing placement principle, including use of a continuum rather than categorical placement rules. No individual fact pattern must be weighed.","LRE placement decision framework: continuum-of-placements requirement and rejection of automatic placement by disability label"
"PQ_LEG-02_13","This is a Recall item because it asks for the legally expected pre-evaluation sequence for suspected SLD, including intervention and progress-monitoring documentation. The answer is procedural knowledge retrieval, not case-specific triage.","RTI/MTSS pre-referral evidentiary process before SLD evaluation, including intervention implementation and documented responsiveness data"
"PQ_LEG-02_14","This is a Recall item because it requires identifying the formal quality standard for IEP annual goals. The correct response is based on legal drafting criteria, not selecting interventions for a student.","IEP goal-writing compliance standard: measurable, specific, individualized annual goals tied to identified educational needs"
"PQ_LEG-02_15","This is a Recall item because the student must retrieve nondiscriminatory-evaluation requirements, including language access, multiple measures, and cultural bias avoidance. No interpretation of a student case is required.","Nondiscriminatory evaluation safeguards: native-language assessment, multi-method data sources, and culturally responsive bias minimization"
"PQ_LEG-02_16","This is a Recall item because it asks for the parent right structure governing IEEs when families dispute district evaluations. The task is identifying the legal mechanism, not advising through a full dispute timeline.","IEE entitlement conditions and funding pathway when parents challenge district evaluations under IDEA procedural safeguards"
"PQ_LEG-02_17","This is a Recall item because it tests whether the student knows when interpreter support qualifies as a related service. The response depends on legal service categorization, not individualized service planning.","Interpreter-as-related-service determination based on necessity for accessing and benefiting from special-education programming"
"PQ_LEG-02_18","This is a Recall item because it asks for the criterion that controls ESY eligibility, namely significant regression risk without services. The student retrieves the governing threshold rather than evaluating longitudinal data.","ESY eligibility criterion centered on substantial regression/recoupment risk and individualized necessity beyond parent preference"
"PQ_LEG-02_19","This is a Recall item because the student must identify the scope of Child Find obligations across enrollment contexts and referral sources. It tests statutory duty boundaries, not implementation logistics.","Child Find duty scope: proactive identification, location, and evaluation of eligible children including private-school and homeless populations"
"PQ_LEG-02_20","This is a Recall item because it asks for core content requirements of transition planning in IDEA. The answer is a legal-components retrieval task, not constructing a transition plan from student data.","Transition-planning content requirements: postsecondary goals in education, employment, and independent living with student involvement"
"item_019","This is an Application item because the student must apply LRE law to a case where performance is adequate but teachers seek a more restrictive setting. The key reasoning is legal appropriateness of placement given actual educational progress.","Applying LRE legal standard to placement decisions when a student with disability is passing and restrictive placement is proposed"
"item_020","This is an Application item because the student must evaluate litigation likelihood from a parent demand for maximal services despite ongoing reasonable progress. The decision requires applying FAPE/LRE reasonableness standards to dispute facts.","FAPE reasonableness threshold in disputes: distinction between meaningful educational benefit and entitlement to maximal or preferred services"
"item_039","This is a Recall item because it asks for the specific statute that creates the school duty to identify students with suspected disabilities. The item is solved by legal source identification only.","Identification of IDEA as the Child Find legal authority requiring district-level disability identification obligations"
"item_046","This is an Application item because the student must apply IEE/payment rules to a disagreement scenario and determine likely district responsibility. Correctness turns on interpreting congruent-results implications for district funding.","Applying IEE reimbursement rules when parents seek private testing after district evaluation and findings are substantively congruent"
"item_050","This is a Recall item because the question asks for the procedural moment when stay-put activates in due process. The student retrieves a timing trigger rather than adjudicating disciplinary exceptions.","Timing trigger for stay-put activation at commencement of due process proceedings in special-education disputes"
"item_078","This is an Application item because the student must select an assessment pair that satisfies legal and professional criteria for ID determination. It requires matching role-appropriate tools to eligibility requirements.","Assessment-composition requirement for ID eligibility: combined cognitive measure plus adaptive-functioning measure within formal evaluation"
"item_104","This is a Recall item because the task is labeling a legal mandate from its definition. The student retrieves the term tied to district-wide identification obligations, not applying it to policy design.","Terminology retrieval for Child Find as the statutory mandate to formally identify students with suspected disabilities"
"item_111","This is an Application item because the student must infer the decisive eligibility finding a team must document before offering special education services. The case requires linking evaluation findings to educational impact criteria.","Eligibility decision rule requiring documented adverse educational or social impact, beyond diagnosis labels or test-score deficits alone"
"item_136","This is an Application item because the student must choose the additional evaluation needed after a completed cognitive test in an ID eligibility case. It requires applying legal assessment-completeness standards to test selection.","Selecting adaptive-functioning assessment to complete ID determination after cognitive testing, consistent with IDEA evaluation requirements"
