UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_DBD-01_1","Student assumes formal cognitive testing should precede records review, interviews, and observation, rather than using preliminary data sources to determine whether testing is needed.","prerequisite-skipping","Redirect: RIOT is a sequencing model, not a testing model. Teach students to think 'records and context FIRST, testing ONLY when justified.' Use case studies where early IQ testing of an anxious student with strong academic history was inappropriate."
"PQ_DBD-01_10","Observer attributed discrepant simultaneous ratings to true behavior variance across teachers despite identical observation context, overlooking measurement factors and observer-related causes.","model-conflation","Teach difference between real behavior change and observer-related variation. Show side-by-side ratings where both observers used the same 15 minutes: highlight how definition misalignment is the likeliest cause. Model a think-aloud: 'Same time, same lesson = observer issue, not student issue.'"
"PQ_DBD-01_11","Student conflated narrative running records with quantitative frequency tallies, misunderstanding that descriptive sequencing methods do not produce exact counts.","label-retrieval","Explicitly pair observation methods with output types: frequency recording → count, interval recording → percentage, running record → narrative sequence. Use contrast examples: 'A running record tells you WHAT happened and in what ORDER. It cannot give you a tally.'"
"PQ_DBD-01_12","Student inferred family-circumstance causation from school mobility, confusing contextual relevance (instability affects data interpretation) with unsupported etiological claims.","causation-correlation","Address inference creep: school mobility signals data interpretation risk, not family pathology. Distinguish between 'this information changes how I read the data' versus 'this explains why the student has a disability.' Use Socratic questioning: 'Does school mobility CAUSE a disability, or does it CREATE HOLES in our understanding?'"
"PQ_DBD-01_13","Student assumed parent-teacher disagreement primarily reflects denial, bypassing legitimate setting effects and the role of perspective/method variance in multimethod assessment.","role-confusion","Teach attribution discipline. Multi-rater disagreement is NORMAL and informative, not a sign of pathology. Model: 'Teacher and parent disagree = We need to understand setting differences and rating biases, NOT assume one is in denial.' Have students practice generating 3 contextual explanations before any motivational attribution."
"PQ_DBD-01_14","Student prioritized cognitive testing before records review, overlooking that historical reading trajectory and intervention response provide the essential foundation for evaluating suspected reading disability.","scope-overgeneralization","Emphasize: reading disability evaluation MUST start with 'Is there a history of poor reading, despite normal instruction?' Records answer this. IQ testing answers 'Is cognitive ability a factor?' but only AFTER you know there IS a reading problem. Use a decision tree: records first → define the problem → THEN test cognition."
"PQ_DBD-01_15","Student moved from observation of engagement differences directly to attention disorder diagnosis, skipping functional contextual analysis that should precede any diagnostic inference.","treatment-assessment-confusion","Interrupt the jump from context to diagnosis. Observation ≠ assessment; engagement variability ≠ disorder. Teach the logic: 'Small group boosted engagement, so try MORE small group before referring for psych testing.' Use a funnel: observation findings → hypotheses → targeted intervention → THEN comprehensive evaluation if needed."
"PQ_DBD-01_16","Student interpreted variable CBM data as proof of intervention failure and ground for discontinuation, rather than signaling need to investigate implementation factors and measurement conditions.","overgeneralization","CBM variability requires detective work, not dismissal. Model: 'High variability means something is unstable—is it the student, the implementation, the measure, or the context?' Create a checklist: implementation fidelity checked? Consistent timing? Same materials? Once those are ruled out, then consider student factors. Never jump straight to 'interventions don't work.'"
"PQ_DBD-01_17","Student assumed multi-setting observation is a compliance mandate rather than a validity practice that captures representative behavior patterns across contexts.","eligibility-criteria-confusion","Clarify: IDEA requires special education evaluation, not specifically multi-setting observation. Multi-setting observation is BEST PRACTICE because students behave differently in different settings. Use examples: 'A student may be calm in math small group but oppositional in PE. One setting misses critical information.' Practice explaining to families WHY you need multiple settings."
"PQ_DBD-01_18","Student treated standardized and curriculum-based measures as measuring the same construct, overlooking that they use different content, format, and purposes (norms versus curriculum alignment).","component-confusion","Emphasize: standardized test answers 'How does this student compare to national peers on broad reading?' CBM answers 'How is this student performing on the reading I'm teaching THIS WEEK?' They are NOT contradictory; they answer different questions. Use a Venn diagram: overlap (both measure reading) but unique purposes (norm-referenced vs. curriculum-based)."
