"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_LEG-03_1","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A 10-year-old student with severe asthma experiences frequent hospitalizations and uses an' scenario discrimination"
"PQ_LEG-03_2","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A high school student with diabetes qualifies for accommodations under Section 504' scenario discrimination"
"PQ_LEG-03_3","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student was diagnosed with seasonal allergies that affect concentration during spring' scenario discrimination"
"PQ_LEG-03_4","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A school district evaluates a student for Section 504 eligibility and determines' scenario discrimination"
"PQ_LEG-03_5","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'Who bears the primary responsibility for developing and monitoring a Section 504' scenario discrimination"
"PQ_LEG-03_6","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student has a 504 plan that provides extended time on tests' scenario discrimination"
"PQ_LEG-03_7","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'Under ADA, a student with a history of cancer in remission (no' scenario discrimination"
"PQ_LEG-03_8","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student on a 504 plan is suspended from school for three' scenario discrimination"
"PQ_LEG-03_9","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'Which of the following scenarios BEST illustrates ""regarded as having a disability""' scenario discrimination"
"PQ_LEG-03_10","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student with a documented anxiety disorder has a 504 plan that' scenario discrimination"
"PQ_LEG-03_11","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A school district's 504 coordinator learns that a student has been placed' scenario discrimination"
"PQ_LEG-03_12","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A parent of a 504-eligible student requests that the school provide a' scenario discrimination"
"PQ_LEG-03_13","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student with Section 504 eligibility is transitioning to high school. What' scenario discrimination"
"PQ_LEG-03_14","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'In developing a 504 plan for a student with a recently diagnosed' scenario discrimination"
"PQ_LEG-03_15","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A 504 plan is developed in September, and the student's needs are' scenario discrimination"
"PQ_LEG-03_16","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'What is the primary distinction between a ""504 plan"" and a ""health' scenario discrimination"
"PQ_LEG-03_17","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'An athletic coach refuses to allow a student with a documented anxiety' scenario discrimination"
"PQ_LEG-03_18","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A school wants to implement a new district-wide bullying prevention program. A' scenario discrimination"
"PQ_LEG-03_19","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student qualifies for a Section 504 plan but refuses to use' scenario discrimination"
"PQ_LEG-03_20","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'In training staff on Section 504 implementation, a school psychologist should emphasize' scenario discrimination"
"item_042","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'Parental complaints regarding Section 504 should be directed to which authority' scenario discrimination"
"item_115","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Section 504/ADA eligibility, accommodation obligations, and anti-discrimination standards; applied to 'A student who has a severe vision impairment is granted a formal' scenario discrimination"
