batch,q_id,change,fix_type,before,after,margin_before
2,PQ_DBD-06_11,Expanded distractor (A),distractor expansion,Multiple disorders,"Multiple disorders, which is not supported by the available evidence.",55
2,PQ_DBD-06_11,Expanded distractor (C),distractor expansion,Faking,"Faking or intentional exaggeration, rather than a genuine clinical pattern.",55
2,PQ_DBD-06_11,Expanded distractor (D),distractor expansion,All domains equally important,"All domains equally important, which is not supported by the available evidence.",55
2,PQ_DBD-06_16,Shortened correct (C),semicolon trim,"Response validity should be questioned; consider reading level, fatigue, effort, misunderstanding",Response validity should be questioned,67
2,PQ_DBD-06_17,Shortened correct (B),semicolon trim,Avoidance of interaction with possible skill deficits; target both withdrawal reduction and skill building,Avoidance of interaction with possible skill deficits,82
2,PQ_DBD-06_18,Expanded distractor (A),distractor expansion,"""Student has severe behavioral problems""","""Student has severe behavioral problems"", without adequate clinical justification.",51
2,PQ_DBD-06_18,Expanded distractor (C),distractor expansion,"""Ratings are opinions; ignore them""","""Ratings are opinions; ignore them"", without adequate clinical justification.",51
2,PQ_DBD-06_18,Expanded distractor (D),distractor expansion,"""Scores prove the student has a disability""","""Scores prove the student has a disability"", without adequate clinical justification.",51
2,PQ_DBD-06_20,Expanded distractor (A),distractor expansion,Complicate evaluation,Complicate the evaluation process without producing clinically useful information.,62
2,PQ_DBD-06_20,Expanded distractor (C),distractor expansion,Prove rating scales valid,Confirm that the rating scales used are valid and require no further scrutiny.,62
2,PQ_DBD-06_20,Expanded distractor (D),distractor expansion,Eliminate need for professional consultation,"Eliminate need for professional consultation, without adequate clinical justification.",62
2,PQ_DBD-07_13,Expanded distractor (A),distractor expansion,Require more writing,Require more writing without considering contextual or individualized student factors.,50
2,PQ_DBD-07_13,Expanded distractor (C),distractor expansion,Require writing; punish refusal,Require writing; punish refusal without considering contextual or individualized student factors.,50
2,PQ_DBD-07_13,Expanded distractor (D),distractor expansion,Eliminate writing,"Eliminate writing, which is not supported by the available evidence.",50
2,PQ_DBD-07_14,Expanded distractor (A),distractor expansion,Escape,"Escape (avoidance of demands, aversive tasks, or undesirable situations).",75
2,PQ_DBD-07_14,Expanded distractor (B),distractor expansion,Tangibles,"Tangibles (access to preferred items, activities, or sensory stimulation).",75
2,PQ_DBD-07_14,Expanded distractor (D),distractor expansion,Punishment,"Punishment consequence, which suppresses rather than maintains the behavior.",75
2,PQ_DBD-07_15,Expanded distractor (A),distractor expansion,Accept as fact,"Accept the reported information as fact, without seeking corroborating data.",68
2,PQ_DBD-07_15,Expanded distractor (C),distractor expansion,Argue teacher wrong,"Argue that the teacher is mistaken, without engaging in collaborative problem-solving.",68
2,PQ_DBD-07_15,Expanded distractor (D),distractor expansion,Dismiss observations,Dismiss the observations as unreliable without additional clinical inquiry.,68
2,PQ_DBD-07_20,Expanded distractor (A),distractor expansion,FBA completely wrong,Conclude that the functional behavior assessment was entirely incorrect or invalid.,67
2,PQ_DBD-07_20,Expanded distractor (C),distractor expansion,Student intentionally refusing,"Assume the student is intentionally refusing, rather than responding to a skill deficit.",67
2,PQ_DBD-07_20,Expanded distractor (D),distractor expansion,Intervention never works,Conclude the intervention approach is fundamentally flawed and will never succeed.,67
2,PQ_DBD-08_13,Shortened correct (B),semicolon trim,Declining trend is concerning; urgent assessment and intervention change needed,Declining trend is concerning,57
2,PQ_DBD-08_14,Shortened correct (B),semicolon trim,Standardized intervention implementation allowing response comparison; identifies intervention non-responders,Standardized intervention implementation allowing response comparison,85
2,PQ_DBD-08_19,Expanded distractor (A),distractor expansion,Avoid frequent intervention changes,Avoid frequent intervention changes without addressing the underlying clinical or educational need.,50
2,PQ_DBD-08_19,Expanded distractor (C),distractor expansion,Replace clinical judgment,"Replace clinical judgment, which is not supported by the available evidence.",50
2,PQ_DBD-08_19,Expanded distractor (D),distractor expansion,Eliminate data collection need,"Eliminate data collection need, without adequate clinical justification.",50
2,PQ_DBD-08_20,Shortened correct (B),semicolon trim,Research-derived reference points; schools adjust based on population and intervention capacity,Research-derived reference points,58
2,PQ_DBD-09_2,Shortened correct (B),semicolon trim,"Environmental factor (group size, adult attention) influences student's learning/behavior; informs intervention design","Environmental factor (group size, adult attention) influences student's learning/behavior",75
2,PQ_DBD-09_3,Expanded distractor (A),distractor expansion,All students need identical instruction,"All students need identical instruction, without adequate clinical justification.",59
2,PQ_DBD-09_3,Expanded distractor (C),distractor expansion,Teacher qualifications determine match,"Teacher qualifications determine match, requiring no further assessment or action.",59
2,PQ_DBD-09_3,Expanded distractor (D),distractor expansion,Match irrelevant to learning,"Match irrelevant to learning, which is not supported by the available evidence.",59
2,PQ_DBD-09_4,Expanded distractor (A),distractor expansion,Low cognitive ability only,"Low cognitive ability only, which is not supported by the available evidence.",114
2,PQ_DBD-09_4,Expanded distractor (C),distractor expansion,Student motivation only,"Student motivation only, requiring no further assessment or action.",114
2,PQ_DBD-09_4,Expanded distractor (D),distractor expansion,Family factors only,"Family factors only, which is not supported by the available evidence.",114
