UNIQUEID,complexity_rationale,construct_actually_tested
PQ_DBD-03_1,This is an Application item because interpretation depends on comparing verbal and nonverbal patterns in an ELL context rather than reading a single score at face value. The examinee must apply cross-linguistic assessment principles to avoid misclassification.,Cross-linguistic score interpretation using verbal-nonverbal discrepancy patterns to differentiate language acquisition effects from true global cognitive impairment
PQ_DBD-03_2,"This item is Application because the task is to justify an interpretation sequence using psychometric priorities, not merely recall test parts. The student must apply reliability/validity logic to choose composites before subtests.",Psychometric hierarchy for cognitive interpretation: prioritizing higher-reliability composite indices over unstable single-subtest findings
PQ_DBD-03_3,This is Application because the respondent must use SEM to build an interpretable score band and connect it to eligibility reasoning. It assesses practical use of measurement error in decision making.,Use of standard error of measurement to form confidence ranges around IQ scores for intellectual disability eligibility interpretation
PQ_DBD-03_4,This question is Application because the student must select an assessment tool that matches a deaf signers linguistic-access profile. Correct responding requires applying fairness and accessibility principles to test selection.,Assessment-access matching for deaf students: selecting nonverbal cognitive measures that minimize spoken-language and auditory loading
PQ_DBD-03_5,"This is Application because the first step requires sequencing interpretive actions, starting with significance relative to measurement error before causal hypotheses. The task is procedural judgment in score analysis.",Sequential discrepancy interpretation in cognitive profiles: testing whether index differences exceed SEM before etiological explanation
PQ_DBD-03_6,"Although concept-focused, this is Application because the student must map CHC theory onto real test-battery organization and reject plausible but incorrect theoretical claims. It requires functional use of theory in assessment practice.",Functional understanding of CHC as a hierarchical taxonomy of broad and narrow abilities underpinning modern cognitive battery design
PQ_DBD-03_7,This is Application because the student must link a referral concern (math reasoning) to the most relevant latent cognitive ability rather than choose a familiar domain label. It tests targeted construct matching.,Construct mapping between mathematics reasoning demands and CHC fluid reasoning (Gf) rather than ancillary processing domains
PQ_DBD-03_8,"This item functions as Recall because it asks for the Stanford-Binet 5 age span, a discrete factual property of the instrument. No case-based inference is needed beyond retrieving known test metadata.",Knowledge of Stanford-Binet Fifth Edition normative age range coverage across early childhood through adulthood
PQ_DBD-03_9,"This is Application because the student must translate an index discrepancy into educationally useful interpretation without overdiagnosing. The response requires profile-based decision framing, not simple score labeling.",Educational interpretation of verbal-processing speed discrepancies to guide accommodations while avoiding unsupported categorical diagnoses
PQ_DBD-03_10,This question is Application because it requires integrating cognitive and adaptive data against diagnostic criteria rather than privileging one score. The student must apply multidimensional ID framework logic.,Integration of FSIQ and adaptive behavior evidence within dual-criterion intellectual disability determination frameworks
