"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_RES-03_19","Readers conflate SEM with simpler multivariate approaches, underestimating its specialized capability to model latent (unobserved) constructs and simultaneous mediating pathways rather than merely analyzing multiple variables.","model-conflation","A describes multi-predictor regression, not SEM's latent variable feature. C incorrectly attributes qualitative analysis to a quantitative technique. D conflates SEM with descriptive statistics—show SEM's unique advantage: measuring 'hidden' constructs (e.g., intelligence, anxiety) through observed indicators, then testing relationships between latent variables and outcomes."
"PQ_RES-03_2","Learners identify the measurement tool or sample size as the validity threat instead of recognizing that uncontrolled differences between school groups (curriculum, staffing, demographics) prevent causal attribution.","scope-overgeneralization","A attributes internal validity to sample size alone. C conflates internal validity (causal) with external validity (generalization). D blames the outcome measure when the core threat is group selection differences—emphasize that internal validity requires isolating the independent variable; here, the curriculum is confounded with teacher quality, student composition, and funding, making causal conclusion impossible."
"PQ_RES-03_20","Learners focus narrowly on the statistical threshold without interrogating whether a small correlation coefficient (r = .15) carries practical meaning despite crossing the p < .05 boundary in a large sample.","causation-correlation","B rejects correlation as inherently invalid. C assumes all samples are inadequate globally. D concludes the study is invalid based on low r—teach effect size literacy: a statistically significant but very small correlation (r = .15 → R² = .022, only 2.2% shared variance) may not warrant practical action even when p < .05 in large N. Distinguish significance from importance."
"PQ_RES-03_3","Students attribute the outcome improvement to the experimental intervention alone, overlooking that the concurrent school counselor intervention provides an alternative or additive explanation for changes in test anxiety.","component-confusion","A wrongly assigns causation to the study intervention despite confounding. B incorrectly treats the presence of concurrent interventions as nullifying the study's findings entirely. D misidentifies maturation (natural developmental change) when the actual threat is the uncontrolled counselor intervention—isolate the threat: history = outside events or concurrent treatments that rival the independent variable as explanations; here, the counselor's work is the history threat."
"PQ_RES-03_4","Readers over-interpret a moderate positive correlation (r = .62) as either perfect predictability or causal influence, conflating correlation strength with prediction accuracy and confusing association with causation.","population-confusion","A treats .62 as perfect prediction (r² = .62² = .384 means 38% shared variance, not 100%). C infers causation from correlation alone (the core post hoc fallacy). D misreads .62 as near-zero predictive value—clarify: r = .62 is a strong, positive correlation useful for prediction (explains 38% of variance), but correlation never proves causation regardless of magnitude."
"PQ_RES-03_5","Learners assign causation to the specific intervention when multiple initiatives launched simultaneously create confounding, preventing isolation of any single factor's effect.","indirect-direct-confusion","A concludes the discipline policy caused improvement based on temporal sequence alone. B wrongly assumes multiple changes negate all effects rather than creating ambiguity. D pinpoints counselor hiring as the sole cause despite concurrent policy, program, and funding changes—use the 'kitchen sink' analogy: you upgraded the sink, countertop, and faucet; which changed your water pressure? You cannot tell without testing each independently. Here, all four changes occurred together."
"PQ_RES-03_6","Readers confuse the ABAB notation's semantic meaning, misidentifying phases as representing different participants, measurement instances, or competing treatments rather than baseline and intervention conditions.","label-retrieval","A treats each letter as a different person (single-subject should track one person across phases). B interprets A and B as timing rather than condition type. D sees A and B as two different interventions being alternated—directly teach notation: A = absence of intervention (baseline, natural behavior), B = presence of intervention. ABAB means: observe baseline, introduce treatment, remove it, reintroduce it to verify causation."
"PQ_RES-03_7","Learners misidentify the data integration strategy, treating a multiple-source approach (history, observations, documents, performance samples) as equivalent to experimental randomization or survey administration rather than as case-based inquiry.","treatment-assessment-confusion","A confuses data triangulation with experimental control. C incorrectly applies survey methodology (distributing questionnaires to many) to an in-depth single-student study. D calls it experimental without independent variable manipulation or control group—clarify: case study = systematic in-depth investigation of one unit (student) using mixed qualitative and quantitative sources; it generates rich description, not causal proof."
"PQ_RES-03_8","Students equate collecting questionnaire data with qualitative methodology, failing to distinguish between the quantitative correlational analysis of survey responses and qualitative interpretation of open-ended narrative.","scope-undergeneralization","A assumes any study with variables is experimental. C confuses a group-level survey (200 students) with an in-depth case study (one student). D labels quantitative survey data as qualitative—teach: survey/correlational = structured (close-ended), group-level, correlational statistics. Qualitative = unstructured (open-ended), interpretive, small sample. This study is quantitative survey because it measures two variables across many students and correlates them."
"PQ_RES-03_9","Readers reduce 'statistically significant' to a colloquial verdict of importance or universal truth, overextending the technical meaning of p < .05 (rejecting the null hypothesis) to imply large effect or generalizability.","overgeneralization","A conflates significance with magnitude of difference. C treats significance as proof of effectiveness in all contexts. D assumes significance implies large effect size—define precisely: 'statistically significant' = the observed difference is unlikely under the null hypothesis (p < .05), warranting rejection of 'no difference.' This does not mean the difference is large, important, or generalizable. Use example: a huge study might find statistically significant but tiny effects."
