"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_PSY-01_1","A","L1","Conceptual","The student believed that standard scores directly reflect percentage of correct answers.","Understanding standard score interpretation"
"PQ_PSY-01_1","C","L2","Conceptual","The student believed that standard scores directly correlate with grade level performance.","Understanding standard score interpretation"
"PQ_PSY-01_1","D","L1","Conceptual","The student believed that a score of 85 is above the mean of 100.","Understanding standard score interpretation"
"PQ_PSY-01_2","A","L1","Conceptual","The student believed percentile rank directly reflects percentage of correct answers.","Percentile rank interpretation"
"PQ_PSY-01_2","C","L2","Conceptual","The student believed that percentile ranks directly translate to grade levels.","understanding of percentile rank interpretation"
"PQ_PSY-01_2","D","L2","Lexical","The student believed that percentile ranks and stanines are directly equivalent.","Understanding of percentile ranks versus stanines"
"PQ_PSY-01_3","A","L1","Conceptual","The student believed that a score below the mean indicates significant impairment.","Understanding of standard deviation interpretation"
"PQ_PSY-01_3","C","L3","Conceptual","The student believed that scaled scores directly translate to percentage correct.","Understanding scaled score interpretation"
"PQ_PSY-01_3","D","L3","Conceptual","The student believed that scaled scores directly correlate to grade levels.","understanding scaled score interpretation"
"PQ_PSY-01_4","B","L1","Conceptual","The student believed that a score below the mean results in a positive z-score.","Understanding z-score directionality"
"PQ_PSY-01_4","C","L2","Procedural","The student believed that a 5-point difference from the mean equates to a full standard deviation.","Calculating z-scores from raw scores"
"PQ_PSY-01_4","D","L3","Conceptual","The student believed that a score above the mean would result in a positive z-score.","Understanding z-score calculation directionality"
"PQ_PSY-01_5","A","L1","Procedural","The student believed that each standard deviation is 5 points instead of 10.","Calculating standard deviations from T-scores"
"PQ_PSY-01_5","C","L2","Conceptual","The student believed that a T-score of 35 falls within the average range.","Understanding T-score distribution ranges"
"PQ_PSY-01_5","D","L3","Conceptual","The student believed that a lower T-score corresponds to a higher percentile rank.","understanding T-score percentile conversion"
"PQ_PSY-01_6","A","L2","Conceptual","The student believed that age-equivalent scores determine grade placement.","Age-equivalent score interpretation"
"PQ_PSY-01_6","B","L2","Conceptual","The student believed that age-equivalent scores directly dictate instructional level.","Age-equivalent score interpretation guidelines"
"PQ_PSY-01_6","D","L2","Conceptual","The student believed that age-equivalent scores apply uniformly across all reading components.","age-equivalent score interpretation"
"PQ_PSY-01_7","A","L1","Conceptual","The student believed that any variation in scores indicates a learning disability.","Understanding of significant score variability criteria"
"PQ_PSY-01_7","C","L2","Conceptual","The student believed that small score variations indicate cognitive strengths and weaknesses.","Understanding of score variability interpretation"
"PQ_PSY-01_7","D","L2","Procedural","The student believed that any low scores automatically qualify for special education.","IDEA eligibility criteria for special education"
"PQ_PSY-01_8","A","L1","Conceptual","The student believed that a confidence interval gives a probability for a single point estimate.","understanding of confidence interval interpretation"
"PQ_PSY-01_8","C","L2","Conceptual","The student believed the confidence interval describes the distribution of scores in the norm group.","Understanding confidence intervals in individual assessments"
"PQ_PSY-01_8","D","L3","Conceptual","The student believed that a confidence interval predicts stability over time.","Understanding of confidence interval purpose"
"PQ_PSY-01_9","A","L2","Procedural","The student believed that minimizing parental concern is more important than comprehensive reporting.","ethical reporting of assessment results"
"PQ_PSY-01_9","C","L1","Conceptual","The student believed that a single low test score is sufficient to diagnose intellectual disability.","IDEA criteria for intellectual disability diagnosis"
"PQ_PSY-01_9","D","L1","Procedural","The student believed that a low test score alone justifies immediate placement.","IDEA comprehensive evaluation requirement"
"PQ_PSY-01_10","A","L1","Conceptual","The student believed that a grade equivalent score indicates readiness for that grade level's curriculum.","Interpretation of grade equivalent scores"
"PQ_PSY-01_10","C","L1","Conceptual","The student believed that a grade equivalent score indicates readiness for that grade level.","Understanding grade equivalent score interpretation"
"PQ_PSY-01_10","D","L2","Conceptual","The student believed that a higher grade equivalent score indicates a need for enrichment.","Understanding grade equivalent scores"
"PQ_PSY-01_11","A","L1","Procedural","The student believed that one standard error of measurement defines the confidence interval.","Calculating confidence intervals using standard error"
"PQ_PSY-01_11","C","L2","Procedural","The student believed that the confidence interval is calculated using one standard error of measurement.","Calculating confidence intervals using SEM"
"PQ_PSY-01_11","D","L3","Procedural","The student believed that the confidence interval is calculated by adding and subtracting a smaller range.","Calculating confidence intervals using standard error"
"PQ_PSY-01_12","A","L1","Conceptual","The student believed that any score below the 50th percentile is considered below average.","Understanding of standard score interpretation"
"PQ_PSY-01_12","C","L2","Conceptual","The student believed that proximity to the mean score determines average status.","understanding of standard score interpretation"
"PQ_PSY-01_12","D","L1","Conceptual","The student believed that a score below average automatically indicates a learning disability.","IDEA learning disability identification criteria"
"PQ_PSY-01_13","A","L1","Procedural","The student believed that averaging scores provides a comprehensive cognitive profile.","Interpretation of cognitive battery score patterns"
"PQ_PSY-01_13","C","L2","Procedural","The student believed that targeting the lowest score directly improves overall cognitive function.","Comprehensive cognitive profile analysis"
"PQ_PSY-01_13","D","L1","Conceptual","A 20-point difference in subtest scores automatically indicates a learning disability.","IDEA learning disability identification criteria"
"PQ_PSY-01_14","A","L1","Conceptual","The student believed that stanine 2 is close to average performance.","Understanding stanine scale interpretation"
"PQ_PSY-01_14","B","L1","Conceptual","The student believed that stanine scores directly correspond to percentile ranks.","understanding stanine and percentile rank relationship"
"PQ_PSY-01_14","C","L2","Conceptual","A low stanine score directly indicates a severe disability.","Understanding stanine score interpretation"
"PQ_PSY-01_15","B","L1","Conceptual","The student believed that providing item percentage correct is necessary for understanding percentile rank.","Understanding of percentile rank interpretation"
