Date,Hours,Commit_Count,First_Commit,Last_Commit,Commit_Span,What_Was_Built,NASP_Domains,School_Psych_Learning_Science_Connection
2026-01-16,1,1,00:10,00:10,—,Initial commit — repo scaffolding,—,—
2026-01-20,1,2,19:09,19:11,2 min,Project setup and remote branch merge,—,—
2026-01-26,11,7,06:43,17:35,10h 52m,"Complete Adaptive Coaching System; Firebase auth (email/password + Firestore); crash-proof results + safe profile defaults; Quick Diagnostic upgraded to 40Q; Full Test 120Q with domain-balanced selection using largest remainder method; deployment configs","D1 / D5","Domain-balanced question selection mirrors MTSS universal screening proportionality. Adaptive coaching = data-based decision making (D1). 120Q full test mirrors Praxis exam structure."
2026-01-30,1,1,00:00,00:00,—,Minor update,—,—
2026-01-31,1.5,2,22:57,22:57,<1 min,"Firebase auth: email/password, Google OAuth, password reset; deployment guide",D10,"Secure credentialing and identity verification mirrors professional gatekeeping in school psychology licensure."
2026-03-14,2,3,03:40,03:41,1 min,"Application flows, study plan infrastructure, project documentation consolidation, tooling normalization",D9,"Study plan pipeline is evidence-based intervention planning — mirrors how school psycs write individualized intervention plans."
2026-03-15,2,2,15:42,16:27,45 min,Full Firebase to Supabase migration,D1,"Enables persistent longitudinal tracking across sessions — mirrors ongoing progress monitoring in RTI/MTSS."
2026-03-16,1,1,04:16,04:16,—,Submodule cleanup,—,Maintenance
2026-03-18,6,10,13:37,19:36,5h 59m,"Supabase migration finalized; Domain Review + Skill Review practice modes; practice session polish (cumulative accuracy %, streak messages, inactivity auto-logout); study plan rebuilt as Netlify Background Function v2; question retirement; domain and skill context on every question","D1 / D3 / D9","Question retirement = data hygiene (D1). Domain/Skill Review = targeted academic intervention modes (D3). Study plan = individualized intervention planning (D9). SRS science applied throughout."
2026-03-20,10,5,01:12,17:30,16h 18m,"Learning Path visual node map + module pages; onboarding flow; daily progress tracker; proficiency layer (Emerging/Approaching/Demonstrating); profile migration; Vite upgrade — two sessions: 01:12–01:29 and 09:47–17:30","D3 / D5","Learning path = structured instructional support sequence (D3). Proficiency tiers mirror Tier 1/2/3 in MTSS (D5). Daily progress = progress monitoring."
2026-03-22,10,6,01:08,22:32,21h 24m,"Adaptive diagnostic implemented; 250 anchor questions added; length-bias fix; foundational questions surfaced first; TypeScript errors resolved in ModuleLessonViewer and ScenarioSorter — sessions: 01:08 and 20:18–22:32 plus midday work","D1 / D9","Adaptive diagnostic is IRT-grounded assessment — calibrates difficulty to learner ability in real time (D1). Surfacing foundational items first = Ausubel meaningful learning / prerequisite sequencing (D9)."
2026-03-23,9,8,01:34,18:40,17h 6m,"Redemption Rounds; Study Notebook; vocabulary glossary with dynamic tooltips; 27 interactive exercises wired into learning modules D1–D4; module feedback cards; hint system; struggling-skill alerts; migration 0005 fixed — sessions: 01:34–06:04 and 14:43–18:40","D3 / D4 / D9","Hint system = least-intrusive intervention scaffolding (D3). Redemption Rounds = retrieval practice science — Roediger & Karpicke 2006 (D9). Struggling-skill alerts = data-triggered intervention decisions (D1). Interactive exercises mirror scenario-based case studies on the Praxis."
2026-03-24,4,4,08:26,12:16,3h 50m,"Diagnostic resume restored across browser sessions; assessment terminology consolidated to adaptive diagnostic throughout; CAT label/type consistency fixes",D1,"Terminology precision mirrors standardized assessment reporting. Diagnostic resume mirrors assessment discontinuation rules — pause and resume without losing validity."
2026-03-26,2.5,3,17:32,18:54,1h 22m,"3-layer admin analytics dashboard; canonical proficiency thresholds replacing hardcoded values; tighter diagnostic layout","D1 / D9","Admin analytics = program evaluation and progress monitoring (D1). Canonical thresholds = psychometric consistency across all surfaces (D9)."
2026-03-27,12,13,00:52,23:58,23h 6m,"AI Tutor PraxisBot — skill-aware chat, quiz engine, proactive insights, artifact generation; Vocabulary Quiz Mode; Redemption Rounds v2 with quarantine + blacklist exclusion; real leaderboard API replacing fake data; Concept Analytics panel; Admin AI Tutor Chat Activity tab; users-online pill time-of-day aware — sessions: 00:52–00:56 / 07:52–08:06 / 11:16–11:27 / 23:55–23:58 plus sustained work between","D1 / D2 / D9","AI Tutor = consultation model in software — identifies skill gaps and provides targeted explanation (D2). Vocabulary Quiz = spaced retrieval for technical terminology (D9). Concept Analytics = cross-skill pattern analysis mirroring cross-battery assessment interpretation (D1). Quarantine system = criterion-based mastery before moving on."
2026-03-29,1.5,3,10:42,10:49,7 min,Learning science alignment refactor P1–P6 — restructured all adaptive selection logic to align with learning science principles,D9,"Explicit realignment to retrieval practice, spaced repetition, interleaving, and metacognitive monitoring. Mirrors evidence-based practice mandate in NASP D9."
