"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_SAF-01_1","A","L2","Conceptual","Student assumed Tier 1 in PBIS can include individualized disability-specific plans, confusing universal prevention for all students with intensive individualized Tier 3 support.","PBIS tier architecture: universal Tier 1 vs individualized Tier 3 supports"
"PQ_SAF-01_1","C","L1","Conceptual","Student believed targeted therapeutic groups for elevated-risk students are part of Tier 1, not recognizing these are selective Tier 2 interventions for students needing additional support.","Tier 2 targeted group interventions versus Tier 1 universal practices"
"PQ_SAF-01_1","D","L3","Conceptual","Student confused specialized disability services with PBIS universal prevention, assuming any school behavior support counts as Tier 1 regardless of student coverage.","Difference between PBIS tiers and special education service delivery"
"PQ_SAF-01_2","A","L1","Conceptual","Student believed PBIS data review is primarily for identifying whom to punish, rather than for improving supports and preventing escalation through early intervention adjustments.","Support-oriented function of PBIS data-based decision making"
"PQ_SAF-01_2","C","L2","Conceptual","Student assumed PBIS data are mainly for external comparison and school ranking, confusing internal continuous-improvement data cycles with accountability league tables.","Internal improvement data cycles vs external accountability metrics in PBIS"
"PQ_SAF-01_2","D","L3","Conceptual","Student believed PBIS data use is a staffing reduction strategy, not a fidelity and outcomes monitoring process requiring coordinated adult implementation.","PBIS implementation purpose: fidelity monitoring and coordinated practice refinement"
"PQ_SAF-01_3","A","L1","Conceptual","Student confused a single episode of relational aggression with bullying, assuming any social exclusion automatically meets bullying criteria without confirming power imbalance and sustained harm.","Bullying criteria triad: repetition, power imbalance, and intent to harm"
"PQ_SAF-01_3","C","L2","Conceptual","Student assumed intentional exclusion alone is sufficient to classify bullying, overlooking that bullying determination requires a repeated pattern and meaningful power differential.","Distinguishing intentional conflict acts from bullying patterns"
"PQ_SAF-01_3","D","L2","Procedural","Student believed the correct decision rule is based on quick emotional recovery, using outcome severity as the sole screen instead of applying full bullying-definitional criteria.","Decision sequence for classifying bullying vs peer conflict"
"PQ_SAF-01_4","A","L1","Conceptual","Student believed awareness activities with strong content can by themselves reduce bullying behavior, overestimating psychoeducation without guaranteed rapid adult behavior-stopping responses.","Evidence on awareness-only programs vs active adult intervention systems"
"PQ_SAF-01_4","C","L2","Conceptual","Student assumed pledges and mentoring are sufficient core mechanisms for behavior reduction, confusing commitment signaling with enforcement and consistent adult response practices.","Behavior-change mechanisms in anti-bullying programs beyond pledges"
"PQ_SAF-01_4","D","L1","Procedural","Student believed increased supervision alone is the critical lever, missing that supervision must be paired with clear reporting and consistent immediate intervention procedures.","Integrated anti-bullying implementation sequence: monitor, report, respond consistently"
"PQ_SAF-01_5","A","L1","Lexical","Student confused the defining terms for bullying and conflict, reversing where power imbalance belongs and mislabeling equal-peer disagreement as bullying structure.","Terminology distinctions: power imbalance in bullying vs peer-equal conflict"
"PQ_SAF-01_5","B","L1","Lexical","Student reversed the repetition criterion across constructs, assigning one-time incidents to bullying and repeated interactions to conflict.","Bullying definition elements and contrast with ordinary conflict"
"PQ_SAF-01_5","D","L3","Conceptual","Student believed bullying and conflict are interchangeable labels, missing that they imply different risk levels and intervention pathways in school practice.","Conceptual distinction between bullying dynamics and normative conflict"
"PQ_SAF-01_6","A","L2","Conceptual","Student believed strong SEL focuses only on academics and should avoid emotion-focused competencies, misunderstanding SEL as study-skills programming rather than whole-child development.","CASEL competency framework including emotional and relational domains"
"PQ_SAF-01_6","C","L1","Procedural","Student assumed an annual standalone presentation is enough for SEL, skipping the required sustained and embedded implementation across classrooms and school routines.","Implementation intensity and integration requirements for effective SEL programs"
"PQ_SAF-01_6","D","L1","Conceptual","Student confused universal SEL with indicated intervention, assuming SEL should target only students already showing social problems.","Universal prevention logic in SEL vs targeted intervention models"
"PQ_SAF-01_7","A","L2","Procedural","Student believed any threatening statement requires immediate law-enforcement action before assessment, bypassing the transient-versus-substantive threat screening process.","Threat assessment workflow before punitive or legal escalation"
"PQ_SAF-01_7","C","L1","Procedural","Student assumed indefinite suspension is the first safety response, confusing immediate containment decisions with evidence-based assessment-guided intervention planning.","Role of structured threat inquiry in determining proportionate response"
"PQ_SAF-01_7","D","L2","Conceptual","Student believed emotional context automatically makes threats non-serious, ignoring that contextual anger still requires systematic risk assessment.","Transient threat indicators vs dismissal of threats without assessment"
"PQ_SAF-01_8","A","L1","Conceptual","Student assumed deterrence through harsh punishment is consistent with restorative practice, conflating punitive discipline frameworks with relationship-repair approaches.","Restorative justice principles versus punitive deterrence models"
"PQ_SAF-01_8","C","L1","Conceptual","Student believed restorative practice avoids consequences, missing that accountability and active repair are central restorative requirements.","Accountability mechanisms within restorative school discipline"
"PQ_SAF-01_8","D","L2","Conceptual","Student assumed restorative methods only apply to minor incidents, overlooking structured use of restorative responses across higher-severity behavior events.","Scope of restorative practices across infraction severity levels"
"PQ_SAF-01_9","B","L1","Conceptual","Student believed universal screening should remove high-risk students from general education, confusing identification-for-support with exclusionary placement logic.","Purpose of universal screening for support allocation within MTSS"
"PQ_SAF-01_9","C","L2","Conceptual","Student assumed screening labels are permanent categories for tracking, rather than provisional indicators used to trigger responsive interventions.","Dynamic risk identification versus permanent student tracking models"
"PQ_SAF-01_9","D","L3","Procedural","Student believed screening is only for validating teacher impressions and stops before intervention decisions, omitting the action phase of MTSS problem solving.","Screening-to-intervention decision cycle in school mental health MTSS"
"PQ_SAF-01_10","A","L1","Conceptual","Student assumed online bullying is less harmful than in-person bullying, underestimating permanence, audience amplification, and continuous access risks.","Cyberbullying harm mechanisms: persistence, reach, and 24-7 exposure"
"PQ_SAF-01_10","C","L2","Conceptual","Student believed cyberbullying only occurs between known peers, missing anonymity and broader-network victimization patterns typical in digital platforms.","Cyberbullying relationship patterns including anonymous and unknown perpetrators"
"PQ_SAF-01_10","D","L1","Conceptual","Student assumed cyberbullying falls outside school responsibility, not recognizing school duties when off-campus behavior disrupts safety and learning climate.","School jurisdiction and response obligations for cyberbullying impacts"
"PQ_SAF-01_11","A","L1","Conceptual","Student believed PBIS can operate independently of school climate, treating behavior systems as isolated technical tools rather than climate-shaping practices.","Interdependence of PBIS implementation and positive school climate outcomes"
"PQ_SAF-01_11","C","L2","Conceptual","Student assumed attendance alone measures school climate, reducing a multidimensional construct to a single indicator.","Multidimensional school climate measurement beyond attendance metrics"
"PQ_SAF-01_11","D","L2","Procedural","Student believed PBIS should be deployed only after climate declines, mis-sequencing PBIS as remediation-only instead of prevention plus improvement framework.","PBIS use across prevention and improvement stages regardless baseline climate"
"PQ_SAF-01_12","A","L2","Conceptual","Student believed effective bystander programs should eliminate all bullying, applying an unrealistic all-or-nothing success criterion instead of expected reduction effects.","Realistic outcome benchmarks for bystander-focused bullying prevention programs"
"PQ_SAF-01_12","C","L1","Conceptual","Student assumed student bystander action has no meaningful impact unless adults intervene, underestimating peer influence on bullying episodes.","Evidence for peer bystander intervention effects in bullying reduction"
"PQ_SAF-01_12","D","L3","Conceptual","Student believed training bystanders increases conflict, confusing structured de-escalation strategies with untrained confrontation.","Safe bystander intervention principles and conflict de-escalation methods"
"PQ_SAF-01_13","A","L1","Conceptual","Student believed positive reinforcement inevitably undermines intrinsic motivation over time, applying a blanket motivation theory without considering behavior-acquisition phases in PBIS.","Behavioral reinforcement effects over time and planned fading within PBIS"
"PQ_SAF-01_13","C","L2","Conceptual","Student assumed acknowledgement systems are inherently manipulative and provoke resentment, not recognizing conditions for authentic reinforcement implementation.","Design features that make reinforcement credible and acceptable to students"
