"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_RES-02_1","This is a Recall item because it requires retrieving the definition of evidence-based practice and recognizing the key components of the tripartite model without applying it to a scenario or decision context.","Definition of evidence-based practice as integration of research, clinical expertise, and client values"
"PQ_RES-02_2","This is an Application item because the learner must evaluate a marketing claim about research support and apply critical appraisal skills to decide on appropriate evidence-gathering actions in a realistic practice scenario.","Critical evaluation of intervention claims through peer-reviewed evidence seeking and contextual applicability assessment"
"PQ_RES-02_3","This is a Recall item because it requires retrieving the definition of meta-analysis and its function in synthesizing statistical data across multiple studies without requiring application to a practice scenario.","Purpose and function of meta-analysis in pooling data and determining overall effect sizes"
"PQ_RES-02_4","This is an Application item because the learner must interpret a specific effect size value and apply knowledge of Cohen's effect size standards to understand practical significance in a given research context.","Interpretation of Cohen's d effect size magnitude and its implications for intervention efficacy"
"PQ_RES-02_5","This is a Recall item because it requires retrieving knowledge about limitations of narrative reviews versus systematic reviews without applying the concept to evaluate research or guide practice decisions.","Differences in methodology between narrative reviews and systematic reviews, particularly regarding source selection bias"
"PQ_RES-02_6","This is a Recall item because it requires retrieving the definition of research-to-practice gap and recognizing what it refers to without applying the concept to a specific implementation problem.","Definition of research-to-practice gap referring to failure to implement evidence-based interventions in school settings"
"PQ_RES-02_7","This is an Application item because the learner must apply the concept of external validity to explain why a well-researched intervention may not work as effectively in a real-world school setting.","External validity limitations when interventions developed under controlled conditions transfer to diverse settings"
"PQ_RES-02_8","This is a Recall item because it requires retrieving knowledge about ESSA Evidence Tiers and their hierarchical ranking from strongest to weakest research designs without analyzing or applying this framework.","Evidence Tiers framework defined by ESSA ranking research quality by methodological rigor"
"PQ_RES-02_9","This is a Recall item because it requires retrieving the definition and function of the What Works Clearinghouse as a research evaluation resource without applying it to decision-making in a scenario.","Purpose of What Works Clearinghouse in systematically evaluating intervention research against consistent standards"
"PQ_RES-02_10","This is an Application item because the learner must evaluate a vague marketing claim and determine appropriate evidence-seeking actions using critical appraisal standards in an implementation context.","Evaluation of intervention claims through examination of specific peer-reviewed evidence and effect sizes"
"PQ_RES-02_11","This is a Recall item because it requires retrieving the definition of publication bias as a research validity threat without applying this concept to interpret specific research findings.","Publication bias as systematic underreporting of null and negative research findings in scientific literature"
"PQ_RES-02_12","This is an Application item because the learner must calculate and interpret coefficient of determination from a given correlation to understand the proportion of variance explained by an assessment tool.","Interpretation of correlation coefficient and coefficient of determination for practical prediction utility"
"PQ_RES-02_13","This is a Recall item because it requires retrieving the definition of implementation science as a field without applying this concept to evaluate barriers or facilitators to practice change.","Definition of implementation science focusing on effective translation of research findings into real-world practice settings"
"PQ_RES-02_14","This is a Recall item because it requires retrieving the definition of treatment fidelity and recognizing what constitutes a fidelity problem without analyzing implementation in a specific scenario.","Treatment fidelity as adherence to core intervention components and delivery method validated in research"
"PQ_RES-02_15","This is an Application item because the learner must apply critical appraisal skills to evaluate neuroscience claims by examining peer-reviewed evidence and questioning mechanism-driven superiority.","Critical evaluation of neuroscience-based intervention claims through peer-reviewed evidence examination and outcome analysis"
"PQ_RES-02_16","This is a Recall item because it requires retrieving the definition of replication crisis in psychology without applying this concept to evaluate the trustworthiness of specific research findings.","Replication crisis as failure of published findings to replicate in independent research attempts"
"PQ_RES-02_17","This is an Application item because the learner must apply evidence quality standards to prioritize research types when evaluating whether an intervention is research-based in practice.","Discrimination among research evidence types based on design rigor and relevance to target populations"
"PQ_RES-02_18","This is an Application item because the learner must apply understanding of implementation fidelity to explain weak intervention outcomes despite strong research support in a real-world scenario.","Attribution of weak implementation outcomes to fidelity problems rather than intervention ineffectiveness"
"PQ_RES-02_19","This is a Recall item because it requires retrieving the distinction between statistical and clinical significance and their different meanings without applying these concepts to interpret specific research results.","Distinction between statistical significance indicating effect existence and clinical significance indicating practical importance"
"PQ_RES-02_20","This is an Application item because the learner must apply evidence-based decision-making standards to advise against uncritical adoption and recommend systematic evidence review before expensive school purchases.","Evidence-based evaluation of vendor claims through critical review of efficacy evidence and generalizability"
"item_092","This is an Application item because the learner must apply understanding of correlation coefficient magnitude to discriminate the strongest relationship among multiple options with different signs and values.","Interpretation of correlation coefficient magnitude and absolute value comparisons in relationship strength"
"item_093","This is a Recall item because it requires retrieving the definition of experimental group as the group exposed to the experimental conditions without applying the concept to design analysis.","Definition of experimental group as the group exposed to experimental conditions or treatment manipulation"
"item_095","This is a Recall item because it requires retrieving the definition of independent variable as the manipulated factor in experimental design without applying it to analyze research outcomes.","Definition of independent variable as the manipulated factor in experimental research design"
