"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ETH-03_1","A","L3","Conceptual","The student believed NASP's primary goal is financial gain from continuing education.","NASP continuing education purpose"
"PQ_ETH-03_1","C","L3","Conceptual","The student believed that NASP's requirements are bureaucratic and redundant.","Purpose of NASP continuing education requirements"
"PQ_ETH-03_1","D","L2","Conceptual","The student believed that continuing education is intended to substitute for supervision.","Role of continuing education in professional development"
"PQ_ETH-03_2","A","L1","Conceptual","The student believed that geographical limitations justify lower professional standards.","NASP ethical standards for professional competence"
"PQ_ETH-03_2","C","L2","Conceptual","The student believed that maintaining current competence is sufficient in a rural setting.","NASP professional growth standards"
"PQ_ETH-03_2","D","L2","Conceptual","The student believed that rural students inherently require different services than urban students.","NASP ethical standards for equitable practice"
"PQ_ETH-03_3","A","L2","Conceptual","The student believed advocacy is limited to direct service provision.","Comprehensive role of advocacy in school psychology"
"PQ_ETH-03_3","C","L2","Conceptual","The student believed that advocacy means maintaining harmony with school staff.","advocacy role in school psychology"
"PQ_ETH-03_3","D","L2","Conceptual","The student believed that school psychologists focus solely on academic concerns.","comprehensive role of school psychologists"
"PQ_ETH-03_4","A","L2","Conceptual","The student believed that systems advocacy focuses solely on individual student support.","Understanding of systems-level advocacy in school psychology"
"PQ_ETH-03_4","C","L1","Conceptual","The student believed that addressing individual needs is enough for systemic change.","Systems-level change in school psychology"
"PQ_ETH-03_4","D","L2","Conceptual","The student believed that systems advocacy is limited to district-level initiatives.","comprehensive understanding of systems advocacy scope"
"PQ_ETH-03_5","A","L3","Conceptual","The student believed that systemic issues in schools are unchangeable.","advocacy for equitable discipline practices"
"PQ_ETH-03_5","C","L2","Conceptual","The student believed that individual blame is an effective solution to systemic issues.","Systemic bias intervention strategies"
"PQ_ETH-03_5","D","L2","Conceptual","The student believed that addressing individual cases is sufficient for systemic problems.","Systems-level intervention strategies"
"PQ_ETH-03_6","A","L2","Conceptual","The student believed NASP position statements are merely optional opinions.","Role of NASP position statements in practice"
"PQ_ETH-03_6","C","L2","Conceptual","The student believed NASP position statements are designed exclusively for novice practitioners.","NASP position statement applicability across experience levels"
"PQ_ETH-03_6","D","L2","Conceptual","The student believed NASP position statements are not applicable to daily practice decisions.","NASP position statement applicability"
"PQ_ETH-03_7","A","L2","Conceptual","The student believed that mentoring inherently leads to dependency.","role of mentoring in professional development"
"PQ_ETH-03_7","C","L2","Conceptual","The student believed mentoring reduces the need for independent thinking.","role of mentoring in fostering autonomy"
"PQ_ETH-03_7","D","L2","Conceptual","The student believed that supervision is mainly about performance evaluation.","comprehensive understanding of mentoring roles"
"PQ_ETH-03_8","A","L2","Conceptual","The student believed self-care is optional and unrelated to professional duties.","ethical obligation of self-care in education"
"PQ_ETH-03_8","C","L2","Conceptual","The student believed self-care and burnout do not impact educational outcomes.","impact of burnout on educational effectiveness"
"PQ_ETH-03_8","D","L2","Conceptual","The student believed that burnout prevention is solely a leadership responsibility.","NASP ethical guidelines on self-care"
"PQ_ETH-03_9","A","L2","Conceptual","The student believed that professional growth is limited to resume enhancement.","understanding of professional development benefits"
"PQ_ETH-03_9","C","L2","Conceptual","The student believed that presenting at a conference is an unnecessary burden.","Professional development value of conference presentations"
"PQ_ETH-03_9","D","L2","Conceptual","The student believed professional growth is only valuable if financially compensated.","Intrinsic value of professional development"
"PQ_ETH-03_10","A","L2","Conceptual","Advocacy at the policy level is limited to direct student interaction.","systems-level advocacy strategies"
"PQ_ETH-03_10","C","L2","Conceptual","The student believed that school psychologists have no influence on policy decisions.","Role of school psychologists in policy advocacy"
"PQ_ETH-03_10","D","L2","Conceptual","The student believed that strict adherence to policy is the primary role in advocacy.","Policy advocacy strategies in school psychology"
"PQ_ETH-03_11","A","L2","Conceptual","The student believed that the newest research is always the most reliable and should be used exclusively.","evidence-based practice integration principles"
"PQ_ETH-03_11","C","L2","Conceptual","The student believed that avoiding unvalidated practices is a safeguard in evidence-based practice.","evidence-based practice decision-making process"
"PQ_ETH-03_11","D","L2","Conceptual","The student believed that uniform application of practices ensures ethical compliance.","Individualized education program (IEP) customization"
"PQ_ETH-03_12","A","L2","Conceptual","The student believed that networking is the sole benefit of joining professional organizations.","Benefits of professional organization membership"
"PQ_ETH-03_12","C","L3","Conceptual","The student believed that joining committees is a waste of time without tangible benefits.","Understanding professional development benefits"
"PQ_ETH-03_12","D","L3","Conceptual","The student believed that leadership roles are the sole benefit of joining professional organizations.","Understanding benefits of professional organization membership"
"PQ_ETH-03_13","A","L2","Conceptual","The student believed that data collection is solely for meeting regulatory requirements.","Data-driven decision-making process"
"PQ_ETH-03_13","C","L2","Conceptual","The student believed that maintaining confidentiality is more important than transparency in data advocacy.","Data transparency in educational settings"
"PQ_ETH-03_13","D","L3","Conceptual","The student believed that data is irrelevant to policy and systemic change.","Data-driven decision-making in education"
"PQ_ETH-03_14","A","L1","Conceptual","The student believed it is acceptable to avoid admitting professional limitations to maintain reputation.","NASP ethical standards on professional competence"
"PQ_ETH-03_14","C","L2","Conceptual","The student believed that avoiding work in an area of incompetence is a valid professional strategy.","NASP ethical obligation for professional competence"
"PQ_ETH-03_14","D","L2","Procedural","The student believed informal advice from colleagues suffices for professional competence.","NASP ethical standards for professional competence"
"PQ_ETH-03_15","C","L2","Conceptual","The student believed that passive consumption of research is sufficient for professional growth.","Active engagement in research activities"
"PQ_ETH-03_15","D","L2","Conceptual","The student believed that data collected in schools lacks significance for research purposes.","Value of school-based data in research"
"PQ_ETH-03_16","A","L1","Conceptual","The student believed that a single training session fulfills the requirement for cultural responsiveness.","Ongoing professional development in cultural competence"
"PQ_ETH-03_16","C","L2","Conceptual","The student believed that cultural knowledge does not require ongoing updates or interventions.","Cultural competence development process"
"PQ_ETH-03_16","D","L3","Conceptual","Cultural responsiveness is only necessary for those who share the same background.","universal applicability of cultural competence"
"PQ_ETH-03_17","A","L3","Conceptual","The student believed that professional development can occur without any external input or collaboration.","importance of collaborative professional development"
"PQ_ETH-03_17","C","L2","Conceptual","The student believed that formal supervision is only necessary when mandated.","importance of ongoing peer consultation"
"PQ_ETH-03_17","D","L2","Conceptual","The student believed that peer consultation means relying solely on peers for decision-making.","balanced decision-making in peer consultation"
"PQ_ETH-03_18","A","L3","Conceptual","The student believed that reflective practice means maintaining confidence without self-evaluation.","Reflective practice in school psychology"
"PQ_ETH-03_18","C","L2","Conceptual","The student believed reflective practice is only necessary after failures.","Continuous professional self-assessment"
"PQ_ETH-03_18","D","L1","Conceptual","The student believed that confidence in one's methods equates to reflective practice.","Reflective practice self-assessment techniques"
"PQ_ETH-03_19","A","L1","Conceptual","The student believed that fulfilling CEU requirements automatically ensures professional competence.","Distinction between compliance and competence in professional development"
"PQ_ETH-03_19","C","L2","Conceptual","The student believed that meeting compliance requirements is prioritized over developing professional competence.","importance of professional competence in psychology"
"PQ_ETH-03_19","D","L2","Conceptual","The student believed that professional growth for compliance and competence are entirely separate processes.","Understanding the relationship between compliance and competence in professional development"
"PQ_ETH-03_20","A","L1","Procedural","The student believed that recognizing and understanding issues was sufficient without advocating for services.","advocacy for student services in emerging issues"
"PQ_ETH-03_20","C","L2","Procedural","The student believed that waiting for established best practices is a responsible approach to professional development.","Proactive professional development in emerging issues"
"PQ_ETH-03_20","D","L3","Conceptual","The student believed that school psychologists should focus only on established practices and avoid new challenges.","NASP ethical standards for professional competence"
"item_062","B","L1","Conceptual","The student believed that the APA does not acknowledge school psychologists with less than a doctoral degree.","APA recognition of school psychology credentials"
"item_062","C","L3","Conceptual","The student believed that NASP and APA serve identical roles and functions.","Differences between NASP and APA roles"
