"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SWP-04_1","This is a Recall item because it asks for accurate identification of the foundational definition of MTSS components—integrated academic and behavioral support with screening and monitoring—without requiring scenario analysis.","Core structural components of MTSS: definition and integration of academic, behavioral, universal screening, progress monitoring"
"PQ_SWP-04_2","This is a Recall item because it asks for accurate identification of the defined purpose of universal screening—identifying students needing Tier 2/3 support—without requiring scenario interpretation.","Primary purpose of universal screening in MTSS: identification and benchmark-based decision criteria for tier placement"
"PQ_SWP-04_3","This is an Application item because the student must evaluate a realistic school scenario showing 40% below benchmark, interpret what this means for MTSS response, and select the action aligned with evidence-based practice.","Appropriate MTSS response to universal screening data: distinguishing tier adjustment from Tier 1 quality improvement when prevalence is high"
"PQ_SWP-04_4","This is a Recall item because it asks for accurate identification of the defined criteria for Tier 1-to-Tier 2 movement—screening benchmark plus lack of response to Tier 1—without requiring scenario analysis.","Decision criteria for tier movement: integration of universal screening data with Tier 1 intervention response evidence"
"PQ_SWP-04_5","This is a Recall item because it asks for accurate identification of the defined purpose and frequency of progress monitoring—systematic measurement during intervention—without requiring scenario interpretation.","Progress monitoring in MTSS: definition, frequency, and function in guiding intervention adjustment during Tier 2/3"
"PQ_SWP-04_6","This is an Application item because the student must recognize which problem-solving step is most critical by evaluating the consequences of skipping or prioritizing each step in a decision-making context.","Problem-solving sequence in MTSS: criticality of problem definition and baseline establishment before intervention selection"
"PQ_SWP-04_7","This is a Recall item because it asks for accurate identification of the key difference between MTSS and wait-to-fail models—early support in general education—a defined conceptual distinction.","Conceptual contrast between MTSS and wait-to-fail models: early intervention location and timing in educational placement sequence"
"PQ_SWP-04_8","This is a Recall item because it asks for accurate identification of the defined role and composition of data teams—multidisciplinary, meeting regularly, reviewing data for decisions—without scenario analysis.","Data team function in MTSS: composition, meeting frequency, and decision-making scope across academic and behavioral domains"
"PQ_SWP-04_9","This is an Application item because the student must identify the proactive equity monitoring strategy by recognizing what examining disaggregated data by demographic groups accomplishes in preventing disproportionality.","Equity monitoring in MTSS: using disaggregated data to identify and prevent disproportionate representation across demographic groups and tiers"
"PQ_SWP-04_10","This is an Application item because the student must evaluate a realistic scenario where Tier 2 intervention over 12 weeks shows no progress, then select the decision-making approach aligned with evidence-based RTI logic.","Response to inadequate progress in Tier 2: fidelity check, intervention modification, intensity adjustment, or special education evaluation sequence"
"PQ_SWP-04_11","This is an Application item because the student must evaluate the correct systems-level response when many students do not meet benchmarks, recognizing that Tier 1 quality requires examination before assuming individual deficit.","Tier 1 modification logic in MTSS: distinguishing when widespread low performance signals Tier 1 quality issues versus individual student needs"
"PQ_SWP-04_12","This is a Recall item because it asks for accurate identification of the defined relationship—MTSS provides documentation of general education intervention prior to special education referral—without scenario complexity.","Relationship between MTSS documentation and special education referral: sequencing of general education intervention before formal evaluation"
"PQ_SWP-04_13","This is a Recall item because it asks for accurate identification of the defined benchmark-selection principle—research-based, grade-level appropriate, adjusted for growth—a standard MTSS practice definition.","Benchmark selection in universal screening: research basis, grade-level alignment, and meaningful growth target calibration"
"PQ_SWP-04_14","This is a Recall item because it asks for accurate identification of the critical sustainability component—shared ownership and capacity across staff through professional development—a defined MTSS principle.","MTSS sustainability infrastructure: distributed leadership, staff capacity building, and sustained professional development requirements"
"PQ_SWP-04_15","This is a Recall item because it asks for accurate identification of the defined relationship between special education and MTSS—continuing services while integrating data—a standard practice without scenario complexity.","Special education and MTSS integration: concurrent service delivery and complementary data use within MTSS framework"
"PQ_SWP-04_16","This is a Recall item because it asks for accurate identification of how MTSS integrates academic and behavioral support—same three-tier structure, universal screening, progress monitoring—a defined principle.","Academic-behavioral integration in MTSS: parallel three-tier structures, unified screening protocols, and shared problem-solving processes"
"PQ_SWP-04_17","This is an Application item because the student must analyze a realistic pattern of racial disparities in Tier 2 behavioral referrals and interpret what this suggests about implementation fidelity and potential bias.","Disproportionality detection in behavioral referral: interpreting disparities as evidence of referral-decision bias requiring investigation"
"PQ_SWP-04_18","This is a Recall item because it asks for accurate identification of the school psychologist's systems-level role in MTSS—leadership in data, problem-solving, staff development, and equity—a defined professional position.","School psychologist systems role in MTSS: collaborative leadership across data management, team problem-solving, and equity implementation"
"PQ_SWP-04_19","This is a Recall item because it asks for accurate identification of the defined frequency for system-level MTSS review—monthly or quarterly—a standard implementation practice requirement.","System-level MTSS data review frequency and purpose: monthly/quarterly cycle for instruction and intervention adjustment decisions"
"PQ_SWP-04_20","This is an Application item because the student must evaluate resistance to MTSS based on teacher beliefs about readiness, then select the appropriate systems-level response that addresses the misconception through professional development.","Implementation barrier management in MTSS: addressing readiness misconceptions through professional development on MTSS philosophy"
"item_004","This is a Recall item because it asks for accurate identification of the two primary data types collected in RTI—universal screening and progress monitoring—a foundational definitional distinction.","Primary data collection methods in RTI: universal screening and progress monitoring as distinct assessment purposes and instruments"
"item_008","This is a Recall item because it asks for accurate identification of what is NOT a Tier 1 MTSS component by retrieving the defined list of Tier 1 elements—explicit instruction, evidence-based interventions, and learning expectations.","Tier 1 universal support components in MTSS: identification of essential elements and exclusion of Tier 2/3-specific features"
"item_053","This is a Recall item because it asks for accurate identification of the curriculum model associated with CASEL—social-emotional learning—a direct factual association without requiring scenario interpretation or analysis.","CASEL curriculum model classification: association with social-emotional learning competencies and integration approach"
"item_076","This is an Application item because the student must evaluate a bullying scenario and select the school psychologist's appropriate proactive systems-level intervention aligned with evidence-based prevention logic.","School-wide intervention response to identified bullying: selecting proactive, universal prevention approaches over exclusively individual interventions"
"item_108","This is a Recall item because it asks for accurate identification of Tier 2 MTSS characteristics—targeted support for small groups, additional services—a defined tier-level description.","Tier 2 MTSS characteristics: targeted support intensity, group size, and service types in the three-tier structure"
"item_121","This is a Recall item because it asks for accurate identification of what is NOT typically part of effective MTSS—distinguishing core MTSS components from related but separate programs—by retrieving defined elements.","Core MTSS components versus ancillary programs: RTI, PBIS, school-based mental health as integrated versus after-school programs as separate"
"item_122","This is a Recall item because it asks for accurate identification of school-wide policies that impact all students—high standards and curricula—a defined characteristic of universal MTSS implementation.","School-wide policy alignment with MTSS Tier 1: high standards, rigorous curricula, and equitable access for all students"
"item_123","This is an Application item because the student must evaluate what is important to discuss when presenting behavior intervention needs assessment findings, selecting the element that addresses implementation barriers and equity.","Critical discussion elements in behavior intervention review: cultural sensitivities and staff bias as implementation and equity factors"
"item_183","This is an Application item because the student must identify what goodness-of-fit analysis examines when implementing a school-wide intervention, recognizing cost, duplication, and feasibility as critical review factors.","Implementation feasibility and goodness-of-fit analysis: examining cost, duplication, and alignment with existing school capacity"
"item_234","This is an Application item because the student must evaluate a realistic case of a struggling reader with family collaboration and barriers, then select the appropriate RTI-aligned response rather than premature special education referral.","RTI-aligned response to reading difficulty with family collaboration and socioeconomic factors: intervention before special education evaluation"
"item_239","This is a Recall item because it asks for accurate identification of Tier 2 characteristics—strategic interventions for at-risk students serving 5-8% of population—a defined tier profile.","Tier 2 RTI characteristics: student prevalence estimate, intervention intensity level, and targeted group composition"
"item_247","This is a Recall item because it asks for accurate identification of which RTI tier includes small-group remedial instruction—Tier 2—a straightforward, factual tier-placement definition without requiring scenario analysis.","Tier placement of small-group remedial intervention: distinguishing Tier 2 targeted support from Tier 1 universal and Tier 3 intensive"
