UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_ACA-07_1","Conflating single-word production with readiness for two-word combinations, reflecting misalignment with developmental timeline milestones.","developmental-stage-mismatch","When students select option A (two-word combinations), they may confuse the sequence of oral language milestones. Explicitly teach the 12-18 month window for single-word semantics versus the 24-30 month emergence of multiword utterances. Use timeline charts or developmental progression visuals to anchor expectations to age-based norms."
"PQ_ACA-07_10","Attributing listening comprehension failure to phonemic awareness or phonics gaps while overlooking working memory constraints in oral language processing.","prerequisite-skipping","Students selecting options A or D often bypass the role of cognitive load in comprehension. Teach the difference between decoding ability and the mental workspace required to hold information during listening. Explicitly link working memory assessments to comprehension patterns—show students that phonics and vocabulary alone cannot compensate for processing capacity limits."
"PQ_ACA-07_11","Narrowing morphological awareness to single-syllable decoding or rhyme patterns instead of recognizing its role in multisyllabic fluency and vocabulary growth.","scope-undergeneralization","Distractors A and C show students treating morphology as foundational only to early phonics. Redirect by teaching morpheme families (e.g., un-/re-/pre- prefixes, -tion/-ness suffixes) in grade 2–3 multisyllabic words. Use morpheme-based decoding (break complex words into roots + affixes) in fluency passages to show how structural awareness accelerates polysyllabic reading."
"PQ_ACA-07_12","Jumping to special education referral without comprehensive screening, bypassing evidence-based assessment as the mandatory first step in decision-making.","eligibility-criteria-confusion","Option A signals premature pathologizing. Teach students the pre-referral requirement: screeners and informal language sampling must occur before any special education eligibility conversation. Role-play the appropriate sequence with a teacher concern, have students write out the screening tools they would use, and explain why blanket referral without data violates IDEA's child-find mandate."
"PQ_ACA-07_13","Treating oral language and reading as independent skill domains rather than foundational interdependency in early literacy.","model-conflation","Option A directly contradicts the empirical relationship. Use classroom data showing students with strong vocabulary/narrative skills transitioning more smoothly to phonics. Explicitly teach that oral language is the bedrock—phonics instruction will stall without it. Compare two case studies: one with rich language history (success) and one with limited input (struggles despite phonics exposure)."
"PQ_ACA-07_14","Conflating phonological awareness (broader sound structure) with phonemic awareness (individual phoneme manipulation) or phonics instruction (letter-sound mapping).","label-retrieval","Distractors A, C, and D show common term-swapping. Teach three nested circles: phonological awareness (largest—rhyme, syllables, initial sound) contains phonemic awareness (middle—individual sound blending/segmentation), and phonics (smallest—visual letter symbols). Use the term distinctions in a guided chart-building activity: students classify examples (rhyming words, blending, letter-sound pairs) into the correct circle."
"PQ_ACA-07_15","Misidentifying systematic phonics instruction as a feature of whole language or balanced literacy frameworks rather than structured literacy.","purpose-confusion","Options A, B, and D indicate students confuse instructional philosophies. Use comparison matrix: Whole language (literature-driven, meaning-first) vs. Balanced Literacy (mix of methods) vs. Structured Literacy (explicit sequence, systematic phonics). Have students sort real classroom lesson examples into the correct category, then explain why each framework leads to different reading outcomes."
"PQ_ACA-07_16","Attributing accurate decoding paired with poor comprehension to dyslexia or working memory failure rather than language comprehension deficits alone.","scope-overgeneralization","Options B and C overgeneralize beyond the Simple View framework. Teach the two-factor model: Decoding × Language Comprehension = Reading Comprehension. If decoding is strong and comprehension is weak, language comprehension is the isolated bottleneck. Use the framework to analyze student profiles: map profiles onto the grid (strong/weak decoding vs. strong/weak comprehension) to make the second-order reasoning explicit."
"PQ_ACA-07_17","Narrowing pragmatic language to syntax or conflating it with phonemic decoding, missing its function as social-communicative rule systems distinct from structural literacy.","component-confusion","Options A, C, and D misconstrue pragmatics. Teach pragmatic skills as conversation rules, turn-taking, nonverbal cues, and contextual language adjustment—separate from decoding or fluency. Use video clips of conversation breakdowns due to pragmatic failures (not understanding sarcasm, interrupting, tone mismatches) versus phonics-level errors to make the distinction concrete."
"PQ_ACA-07_18","Conflating Tier 2 targeted interventions with special education placement or Tier 1 core instruction, misunderstanding the MTSS progression logic.","tier-level-confusion","Options A and C suggest students reverse the MTSS hierarchy. Teach the flow: Tier 1 = core for all (universal screening, baseline instruction); Tier 2 = for non-responders (small group, evidence-based protocol, ~20 min/day); Tier 3 = intensive (individual, specialist involvement). Use a pyramid diagram and place real student scenarios at each level; explain why skipping Tier 2 assessment violates MTSS logic."
