"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_FAM-02_1","This is an Application item because the stem embeds a procedural requirement in 'A school psychologist needs to conduct an IEP meeting with parents whose primary language is Spanish' and requires selecting the legally correct interpreter protocol. The student must apply IDEA and FAPE language access requirements to select appropriate accommodation, not merely retrieve a definition.","IDEA interpreter requirements: qualified versus untrained personnel, family member versus professional status, and legal language access obligations"
"PQ_FAM-02_2","This is an Application item because the stem embeds a procedural-dispute scenario in 'Under IDEA, what is the school's legal obligation when a parent disagrees with the proposed IEP' and requires selecting proper documentation and implementation protocol. The student must apply IDEA dispute-resolution procedures, not simply recall a definition.","IDEA parent disagreement procedures: documentation obligations, parental consent scope, and conditional implementation authority"
"PQ_FAM-02_3","This is an Application item because the stem presents a cultural context ('family from a high-context culture') and asks 'best represents a culturally responsive approach' requiring the student to apply cultural knowledge to family engagement strategy selection. Distinguishing high- versus low-context communication patterns requires contextual judgment.","High-context culture engagement practices: relationship-building primacy, indirect communication preference, and processing-time accommodation"
"PQ_FAM-02_4","This is an Application item because the stem embeds a consent-refusal scenario ('A parent refuses to sign the consent form') and requires selecting the procedurally appropriate next step. The student must apply IDEA due-process and informed-consent principles, not retrieve a simple definition.","Parental consent refusal: re-engagement obligation, due-process hearing avoidance, and relationship-centered procedural approach"
"PQ_FAM-02_5","This is an Application item because the stem presents a specific family context (trauma and homelessness) and asks which family systems concept 'is most relevant.' The student must interpret case characteristics and select the matching theoretical construct, requiring conceptual matching rather than definition recall.","Family systems concept application: adaptability versus cohesion distinction in crisis-response capacity assessment"
"PQ_FAM-02_6","This is an Application item because the stem asks 'Which statement best reflects current research' on parent-school partnerships, requiring the student to identify evidence-based partnership principles beyond simple knowledge retrieval. Distinguishing effective from ineffective partnership models requires research interpretation.","Evidence-based parent-school partnership characteristics: shared power, mutual expertise recognition, and collaborative decision-making"
"PQ_FAM-02_7","This is an Application item because the stem embeds a cultural values conflict ('parent from a collectivist cultural background expresses discomfort') and requires selecting a response that balances cultural responsiveness with IDEA compliance. The student must apply both frameworks simultaneously to choose appropriate action.","Collectivist-individualist value reconciliation: cultural accommodation within IDEA constraints and IEP goal-reframing strategies"
"PQ_FAM-02_8","This is a Recall item because the stem asks for the specific legal obligation under FERPA ('Under FERPA, what is a school psychologist's obligation when a parent requests') regarding record access. The student primarily retrieves the statutory access-provision rule without interpreting case-specific context or competing principles.","FERPA parental access rights: timeline requirements, inclusion-exclusion scope, and raw-data-interpretation disclosure obligations"
"PQ_FAM-02_9","This is an Application item because the stem presents a disagreement scenario ('A parent advocates strongly at an IEP meeting for services the school psychologist believes are not appropriate') and requires selecting the professionally appropriate response stance. The student must balance professional expertise, parent advocacy, and collaborative problem-solving.","IEP disagreement navigation: professional recommendation assertion, parent-concern legitimacy acknowledgment, and consensus-building technique"
"PQ_FAM-02_10","This is a Recall item because the stem asks 'Which of the following best demonstrates cultural humility in parent communication' with a straightforward definitional boundary. The student primarily retrieves the core principle of cultural humility (recognizing limits of knowledge) versus confusing it with cultural competence (knowing all facts about a culture).","Cultural humility foundational principle: epistemological self-awareness, knowledge-limit recognition, and personal-assumption reflection practice"
