UNIQUEID,item_format,is_multi_select,correct_answer_count,option_count_expected,has_case_vignette,case_text,question_stem,A,B,C,D,E,F,correct_answers,CORRECT_Explanation,core_concept,content_limit,DOMAIN,domain_name,domain_weight,nasp_domain_primary,original_skill_id,current_skill_id,skill_name,skill_domain_code,skill_nasp_domain,was_remapped,cognitive_complexity,complexity_rationale,outcome,construct_actually_tested,rationale,distractor_tier_A,distractor_error_type_A,distractor_misconception_A,distractor_skill_deficit_A,distractor_tier_B,distractor_error_type_B,distractor_misconception_B,distractor_skill_deficit_B,distractor_tier_C,distractor_error_type_C,distractor_misconception_C,distractor_skill_deficit_C,distractor_tier_D,distractor_error_type_D,distractor_misconception_D,distractor_skill_deficit_D,distractor_tier_E,distractor_error_type_E,distractor_misconception_E,distractor_skill_deficit_E,distractor_tier_F,distractor_error_type_F,distractor_misconception_F,distractor_skill_deficit_F,is_foundational,prereq_chain_narrative,dominant_error_pattern,error_cluster_tag,audit_status,dominant_failure_mode_tier,top_misconception_themes,instructional_red_flags,skill_prerequisites,is_human_verified,domain_rationale,skill_rationale,primaryModuleId,primarySnippet,moduleRefs_json
"PQ_CON-01_1","Single-Select","False","1","4","False","","A school psychologist utilizes consultee-centered consultation to help a teacher who lacks objectivity regarding a student's behavior. The primary goal is:","To change the student's behavior through direct environmental modification and behavioral intervention strategies implemented in the classroom setting.","To address the teacher's internal barriers (e.g., lack of skill or objectivity) to improve their service to the student.","To refer the student for a comprehensive special education evaluation and eligibility assessment through the individualized education program process.","To provide direct individual counseling and mental health services to the student to address emotional and behavioral concerns.","","","B","Caplan's model specifically targets the consultee's ""internal"" barriers (lack of knowledge, skill, confidence, or objectivity) rather than just the student's behavior.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the stem presents a teacher objectivity barrier and asks for the model's primary goal in that scenario. The student must map case details to Caplan's target of changing consultee factors, not student behavior.","","Model-goal discrimination in Caplan consultation: identifying consultee internal-barrier focus versus student-focused intervention or referral pathways","","L1","Conceptual","The student believed consultee-centered consultation directly modifies student behavior through environmental interventions rather than transforming the teacher's internal capacity.","Caplan model indirect service delivery: teacher change versus direct student behavior modification","","","","","L2","Procedural","The student thought consultee-centered consultation precedes special education evaluation rather than serving as a consultation-before-referral screening process.","Consultation-before-referral sequence in school problem-solving frameworks","L2","Conceptual","The student assumed consultee-centered consultation involves direct counseling services to students rather than indirect teacher-focused professional development.","Distinction between indirect consultation versus direct service delivery models","","","","","","","","","false","","Students conflate indirect teacher-focused capacity building (consultee-centered) with direct environmental behavior modification strategies applied by the teacher to the student.","indirect-direct-confusion","","","","Show distractor A: 'direct environmental modification.' Anchor teaching: Consultee-centered = teacher change, Behavioral consultation = student behavior change. Use comparison: 'Who's the target of growth? The teacher's thinking or the student's behavior?' Have students sort consultation models by target.","","","","","MOD-D2-01","the psychologist and the consultee (teacher) are treated as equal experts","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""the psychologist and the consultee (teacher) are treated as equal experts""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""the goal is not just to fix one student's problem — it is to develop the consultee's (usually the teacher's) own skills and capacities""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""They are driven by three specific questions: What do we want each student to learn? How will we know when each student has learned it? How will we respond when a student experiences difficulty in learning?""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""To address the teacher's internal barriers (e.g., lack of confidence, resistance)""}]"
"PQ_CON-01_2","Single-Select","False","1","4","False","","During the first meeting with a teacher to address a student's disruptive behavior, what should be the school psychologist's FIRST priority?","Recommend a specific behavior intervention strategy","Collaboratively define the specific target behavior in operational terms","Review all prior test scores and discipline records","Schedule direct classroom observations","","","B","Behavioral consultation follows a structured sequence: problem identification (defining the behavior operationally) must come before problem analysis, intervention design, and evaluation. Without a clear operational definition of what behavior is being targeted, all subsequent steps lack focus. Option A jumps prematurely to intervention recommendations. Option C (records review) is important but happens alongside problem definition, not before. Option D (observations) are data-gathering tools but should follow clear problem definition.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because it asks for the first action in an initial meeting, requiring sequence judgment rather than term recall. The student must prioritize operational problem definition before records review, observation, or intervention advice.","","Behavioral consultation sequencing: prioritizing operational target-behavior definition during problem identification before analysis and intervention planning","","L1","Procedural","The student believed behavioral consultation can begin with intervention recommendations before establishing operational behavioral definitions.","Bergan behavioral consultation four-stage sequence: problem identification precedes intervention","","","","","L2","Procedural","The student assumed background record review should occur before collaborative problem definition in behavioral consultation.","Problem identification interview as foundation step in behavioral consultation","L2","Procedural","The student thought direct observation must precede operational definition establishment in behavioral consultation.","Operational definition specification before observation design in behavioral consultation","","","","","","","","","false","","Students skip the problem identification stage and jump directly to intervention recommendation, underestimating the foundational role of operational behavioral definition in all downstream consultation work.","tier-level-confusion","","","","Distractors B, C, D each defer the core task. Correct answer (B) = define first. Sequence poster: 'Problem Identification → Problem Analysis → Intervention → Evaluation.' Yellow highlight box 1. Drill: 'Before any intervention, say: \","","","","","MOD-D2-01","both the psychologist and the consultee (teacher) are treated as equal experts","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""both the psychologist and the consultee (teacher) are treated as equal experts""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""the goal is not just to fix one student's problem — it is to develop the consultee's (usually the teacher's) own skills and capacities""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""They are driven by three specific questions: What do we want each student to learn? How will we know when each student has learned it? How will we respond when a student experiences difficulty in learning?""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Collaboratively define the specific target behavior in observable, measurable terms""}]"
"PQ_CON-01_3","Single-Select","False","1","4","False","","A school psychologist initiates consultation with both a teacher AND a parent simultaneously to address a student's homework completion difficulties. The psychologist facilitates discussion among all three parties to develop a coordinated intervention plan. Which model of consultation is being implemented?","Behavioral consultation","Conjoint behavioral consultation","Consultee-centered consultation","Preventive mental health consultation","","","B","Conjoint behavioral consultation (CBC) involves the simultaneous participation of the consultant, consultee(s) from school (teacher), and consultees from home (parent) in the consultation process to develop coordinated interventions across settings. Option A (behavioral consultation) typically involves a single consultee (teacher or parent, not both). Option C (consultee-centered) focuses on building consultant's capacity but doesn't specifically involve coordinated school-home planning. Option D (preventive mental health) is broader and not specific to this coordinated model.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the learner must classify a described multi-party process, not recall an isolated definition. Correct responding requires recognizing simultaneous teacher-parent participation as the defining feature.","","Identification of conjoint behavioral consultation from scenario cues involving coordinated parent-teacher-consultant intervention planning across settings","","L1","Conceptual","The student conflated standard behavioral consultation with conjoint behavioral consultation, missing the simultaneous home-school coordination feature.","Conjoint behavioral consultation simultaneous parent-teacher involvement versus sequential consultation","","","","","L2","Conceptual","The student assumed consultee-centered consultation involves simultaneous parent and teacher participation in coordinated intervention planning.","Consultee-centered model focus on teacher knowledge and confidence versus cross-setting coordination","L2","Conceptual","The student mistook preventive mental health consultation for the simultaneous tri-party format that defines conjoint behavioral consultation.","Caplan mental health consultation universal prevention versus Sheridan CBC cross-setting coordination","","","","","","","","","false","","Students fail to recognize the simultaneous home-school coordination of CBC, instead conflating it with standard behavioral consultation or consultee-centered models that may involve parents sequentially.","population-confusion","","","","Distractors A, C, D all involve parents but lack the triad structure. Correct answer (B) specifies Sheridan CBC. Teach: 'CBC = 3-way meeting. Home, school, consultant. Same problem, same goals, same intervention. Not sequential. Not just the teacher.' Use venn diagram showing overlap of home-school goals in CBC.","","","","","MOD-D2-01","the recommended starting framework is nonhierarchical and collaborative","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""the recommended starting framework is nonhierarchical and collaborative""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""This is different from a student-centered model (focused on the individual child) or a systems-level model (focused on the organization)""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""PLCs are collaborative professional development structures in which staff meet regularly to examine data and improve student outcomes.""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Conjoint behavioral consultation""}]"
"PQ_CON-01_4","Single-Select","False","1","4","False","","A teacher tells the school psychologist, ""I've already tried everything with this student, and nothing works."" The psychologist recognizes this as a barrier to effective consultation. Which approach best addresses this barrier?","Immediately implementing a more intensive behavior plan","Validating the teacher's concern while exploring specific strategies already attempted and why they may not have been effective","Suggesting the student should be referred for special education evaluation instead","Recommending the student be removed from the regular classroom","","","B","This barrier reflects teacher discouragement and potential lack of self-efficacy. The appropriate consultative response is to validate feelings while working collaboratively to analyze what was actually attempted and explore why strategies may not have achieved expected results—this builds the collaborative relationship and problem-solving capacity. Option A bypasses the consultation process. Option C and D are premature referral recommendations that don't address the teacher's underlying concern.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the consultant must choose a response to teacher discouragement in context, not name a model. The decision hinges on relationship-preserving exploration of attempted strategies before escalation.","","Consultee self-efficacy barrier management: validating frustration while eliciting prior strategy analysis to restore collaborative problem solving","","L1","Conceptual","The student assumed intensified behavior plans address teacher hopelessness without first validating concerns or analyzing prior interventions.","Consultee barriers: lack of confidence and objectivity requiring validation before intensity escalation","","","","","L2","Procedural","The student believed special education referral appropriately responds to teacher-expressed treatment failure rather than collaborative analysis of prior efforts.","Consultation-before-referral framework: exhausting consultative options before special education evaluation","L2","Conceptual","The student thought classroom removal is the appropriate response to teacher-reported ineffectiveness without exploring intervention fidelity or function.","Behavioral consultation problem analysis: identifying implementation barriers versus placement changes","","","","","","","","","false","","Students respond to teacher hopelessness with intensification or referral instead of using validation and exploratory dialogue to restore collaborative problem-solving capacity and objective perspective.","purpose-confusion","","","","Distractors A, C, D escalate or exit. Correct answer (B) = validate + explore. Teach: 'Hopelessness = consultee barrier (Caplan!). Your job: restore confidence. Ask: \","","","","","MOD-D2-01","the psychologist brings psychological knowledge; the teacher brings knowledge of the student and classroom context","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""the psychologist brings psychological knowledge; the teacher brings knowledge of the student and classroom context""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""develop the consultee's (usually the teacher's) own skills and capacities so they can address similar situations independently in the future""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""They are driven by three specific questions: What do we want each student to learn? How will we know when each student has learned it? How will we respond when a student experiences difficulty in learning?""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Validating the teacher's concern while exploring specific data about the behavior""}]"
"PQ_CON-01_5","Single-Select","False","1","4","False","","In behavioral consultation, what is the primary purpose of the problem analysis stage?","To teach the teacher how to praise student behavior more effectively","To gather data about antecedents, consequences, and function of the behavior","To implement the first intervention trial","To determine whether the student qualifies for special education","","","B","Problem analysis in behavioral consultation involves systematically gathering information about when the behavior occurs (antecedents), what maintaining it (consequences), and what function it serves. This informs intervention design. Option A is a potential intervention strategy but not the purpose of problem analysis. Option C occurs after problem analysis and intervention design. Option D involves eligibility determination, not behavioral consultation analysis.","","","","","","","CON-01","CON-01","","CON","","","Recall","This is a Recall item because it asks directly for the purpose of the problem analysis stage. The student retrieves what that phase is for rather than selecting among competing actions in a case.","","Knowledge of problem analysis function in behavioral consultation: antecedent-consequence-function data gathering to guide intervention design","","L1","Conceptual","The student conflated skill-building for positive reinforcement with the function-based analysis of antecedents and consequences in problem analysis.","Bergan problem analysis interview: behavior function assessment versus behavioral classroom management skills","","","","","L2","Procedural","The student thought implementation should begin during problem analysis before completing systematic data collection about behavior function.","Behavioral consultation stage sequence: analysis must precede treatment implementation","L2","Conceptual","The student assumed special education eligibility determination is the purpose of behavioral problem analysis rather than function identification.","Behavioral consultation functional assessment versus special education evaluation determination","","","","","","","","","false","","Students confuse skill-building with specific classroom behavior management techniques, failing to recognize antecedent-consequence-function analysis as the primary purpose of behavioral consultation problem analysis.","treatment-assessment-confusion","","","","Distractors A, C, D are off-topic or wrong sequence. Correct answer (B) = function-based analysis. Teach: 'Problem analysis = detective work: Why is the behavior happening? Antecedents? Consequences? Function? Only then design an intervention that addresses the function.'","","","","","MOD-D2-01","shared problem ownership, which makes intervention follow-through far more likely","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""shared problem ownership, which makes intervention follow-through far more likely""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""When the question mentions building a teacher's skills or reducing dependence on the psychologist, consultee-centered is the answer""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""PLCs are collaborative professional development structures in which staff meet regularly to examine data and improve student outcomes.""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""To gather data about antecedents, consequences, and functional aspects of the behavior""}]"
"PQ_CON-01_6","Single-Select","False","1","4","False","","A school psychologist engages a teacher in a discussion about the teacher's beliefs about student motivation and learning capacity before discussing a specific student's difficulties. This approach most aligns with which consultation model?","Behavioral consultation","Organizational consultation","Consultee-centered mental health consultation","Problem-solving RTI consultation","","","C","Consultee-centered mental health consultation addresses the consultee's (teacher's) understanding, beliefs, and skills before or during problem-solving about a specific client (student). This model recognizes that the teacher's perspective, beliefs, and capacity influence intervention effectiveness. Option A focuses on the student's behavior and environmental factors. Option B targets organizational systems. Option D focuses on data-driven problem-solving protocols.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the stem describes consultant behavior and asks which model it aligns with. The student applies model distinctions to a teacher-belief-focused interaction before student-level planning.","","Model recognition of consultee-centered mental health consultation when the consultant targets teacher beliefs, assumptions, and capacity drivers","","L1","Conceptual","The student confused behavioral consultation's behavior-focused approach with discussing the teacher's general beliefs about learning and motivation.","Consultee-centered consultation addressing teacher beliefs versus Bergan behavioral consultation problem analysis","L2","Conceptual","The student mistook organizational consultation's systems-level intervention for individual consultee belief exploration.","Consultee-centered model teacher-focused barriers versus organizational systems consultation","","","","","L2","Lexical","The student conflated RTI problem-solving with consultee-centered mental health consultation's internal barrier focus.","Consultee-centered consultation Caplan model versus response-to-intervention tiered decision-making","","","","","","","","","false","","Students struggle to distinguish consultee-centered mental health consultation (teacher beliefs, internal barriers, confidence) from behavioral consultation, conflating the target-of-change dimension.","scope-overgeneralization","","","","Distractors A, B, D reference behavioral/organizational/RTI frameworks. Correct answer (C) pinpoints Caplan model's belief-and-barrier focus. Teach: 'Caplan = What's in the teacher's head? Beliefs? Confidence? Blocks? Bergan = What's the student doing? Behavior? Antecedents? Function?'","","","","","MOD-D2-01","the recommended starting framework is nonhierarchical and collaborative","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""the recommended starting framework is nonhierarchical and collaborative""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""develop the consultee's (usually the teacher's) own skills and capacities so they can address similar situations independently in the future""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""They are driven by three specific questions: What do we want each student to learn? How will we know when each student has learned it? How will we respond when a student experiences difficulty in learning?""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Consultee-centered mental health consultation""}]"
"PQ_CON-01_7","Single-Select","False","1","4","False","","A school psychologist is initiating a consultation with a teacher about a student's reading difficulties in a school where several initiatives have generated controversy. What is MOST important as a first step?","Conduct classroom observations and collect baseline data on the student's reading performance and classroom behavior patterns","Build a collaborative relationship by understanding the teacher's perspective and concerns about the initiative","Review the research-based reading interventions available and present evidence-supported options that align with the school's literacy initiatives","Schedule a parent conference to discuss the reading difficulties, explain the intervention plan, and establish home-school communication strategies","","","B","In controversial or high-stakes contexts, establishing trust and understanding stakeholder concerns is essential before proceeding with assessment or intervention planning. This collaborative entry acknowledges the teacher's position and builds the consultative relationship. Option A jumps to data gathering. Option C is premature without understanding current context and concerns. Option D should follow collaborative planning with the teacher.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the question asks for the most important first step under a controversial initiative context. The student must prioritize trust-building entry actions over immediate data collection or intervention pitching.","","Collaborative entry prioritization in resistant contexts: establishing teacher perspective-taking and alliance before technical consultation tasks","","L1","Procedural","The student assumed classroom observations and baseline data collection should precede relationship-building in controversial implementation contexts.","Collaborative entry: establishing trust before data collection in high-stakes environments","","","","","L2","Procedural","The student believed presenting research and evidence-supported options should occur before understanding stakeholder concerns and perspectives.","Consultee-centered relationship building before intervention recommendation in consultation","L2","Procedural","The student thought parent conference scheduling is the appropriate first step rather than building collaborative relationships with the primary consultee.","Initial consultation entry: teacher relationship before expanding to parent involvement","","","","","","","","","false","","Students prioritize data collection and evidence-based recommendations before establishing collaborative trust, underestimating the relational foundation required in high-stakes or controversial change contexts.","consent-confidentiality-confusion","","","","Distractors A, C, D all jump to technical tasks. Correct answer (B) = relationship first in controversy. Teach: 'In a controversy, your first 15 minutes is listening: What's the teacher concerned about? What happened before? Why did it fail? Then you can talk research.'","","","","","MOD-D2-01","both the psychologist and the consultee (teacher) are treated as equal experts","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""both the psychologist and the consultee (teacher) are treated as equal experts""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""Psychologist teaches skills and frameworks so the teacher can handle future cases independently""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""PLCs are collaborative professional development structures in which staff meet regularly to examine data and improve student outcomes.""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Build a collaborative relationship by understanding the consultee's perspective and concerns""}]"
"PQ_CON-01_8","Single-Select","False","1","4","False","","A school psychologist observes that during consultation meetings, the teacher frequently blames the student for behavior problems without considering environmental factors. What is the BEST way to address this without damaging the collaborative relationship?","Tell the teacher they are wrong and present ecological factors directly","Acknowledge the teacher's observations while asking questions about specific situations, antecedents, and what works in other settings","Discontinue consultation and recommend special education evaluation","Provide the teacher with research articles about behavior determinants","","","B","This uses consultee-centered techniques to gently expand the teacher's perspective through Socratic questioning and collaborative inquiry. It maintains the collaborative relationship while shifting the teacher's thinking about causation. Option A is confrontational and damages the relationship. Option C is avoidance. Option D is passive and unlikely to shift thinking without dialogue.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the consultant must choose a tactful strategy for attributional blame while preserving collaboration. It requires selecting guided inquiry over confrontation, withdrawal, or passive information transfer.","","Relationship-preserving cognitive reframing through consultative questioning about antecedents, context variability, and effective conditions","","L1","Conceptual","The student assumed direct confrontation of teacher attribution errors maintains collaboration while shifting ecological perspective.","Consultee-centered Socratic inquiry: gentle perspective expansion versus direct contradiction","","","","","L2","Procedural","The student believed discontinuing consultation and recommending evaluation appropriately responds to limited ecological thinking.","Consultation persistence despite consultee limitations using collaborative inquiry techniques","L2","Conceptual","The student thought providing research articles alone shifts teacher attribution patterns without collaborative Socratic dialogue.","Consultee-centered consultation: relational dialogue versus didactic information provision","","","","","","","","","false","","Students default to direct contradiction or information provision when teachers make attributional errors, failing to use Socratic questioning and relational safety to shift ecological thinking collaboratively.","validity-reliability-confusion","","","","Distractors A, D are confrontational or passive. Correct answer (B) = guided discovery. Teach: 'Ask, don't tell. \","","","","","MOD-D2-01","the teacher brings knowledge of the student and classroom context","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""the teacher brings knowledge of the student and classroom context""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""develop the consultee's (usually the teacher's) own skills and capacities so they can address similar situations independently in the future""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""They are driven by three specific questions: What do we want each student to learn? How will we know when each student has learned it? How will we respond when a student experiences difficulty in learning?""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Acknowledge the teacher's observations while asking questions to clarify and deepen understanding""}]"
"PQ_CON-01_9","Single-Select","False","1","4","False","","In the context of home-school collaboration, what is a key advantage of conjoint behavioral consultation compared to separate teacher and parent consultations?","It reduces the number of meetings needed and creates more consistent behavioral expectations across home and school environments","It allows the consultant to work collaboratively with both the teacher and parent to develop shared goals and coordinated intervention strategies","It ensures that interventions are coordinated across settings and increases intervention integrity through shared understanding","It eliminates the need for separate consultations and ensures that both home and school settings implement interventions with fidelity","","","C","Conjoint behavioral consultation's primary advantage is coordinated intervention planning across home and school settings with shared understanding of the target behavior and rationale, which improves intervention integrity and outcomes. Option A is a minor advantage. Option B is inappropriate and not a consultation goal. Option D is incorrect; observation is still needed.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because the learner evaluates relative advantages of CBC across home and school conditions. The choice depends on understanding cross-setting coordination and integrity effects, not procedural trivia.","","Core advantage of conjoint consultation: shared cross-setting goals and coordinated implementation that improves intervention integrity","","L2","Conceptual","The student assumed reducing meeting number is the primary CBC advantage rather than coordinated home-school intervention consistency.","Conjoint behavioral consultation cross-setting coordination benefit versus meeting efficiency gain","L1","Procedural","The student conflated collaborating with both parents and teachers with shared goal development, missing the unified intervention implementation focus.","CBC coordinated intervention fidelity across settings versus collaborative stakeholder partnerships","","","","","L2","Conceptual","The student assumed eliminating separate consultations and ensuring fidelity through unified participation represents CBC's mechanism.","CBC coordinated understanding and goal alignment versus elimination of independent problem-solving","","","","","","","","","false","","Students view conjoint behavioral consultation's primary advantage as meeting efficiency rather than the cross-setting intervention coordination and shared goal-alignment that produces intervention integrity.","norm-criterion-confusion","","","","Distractors A, B, D emphasize meeting reduction or collaboration tone; miss shared implementation. Correct answer (C) = coordinated understanding + fidelity. Teach: 'CBC wins because both home and school use the SAME plan. Same rules, same rewards, same consequences. That consistency is why it works.'","","","","","MOD-D2-01","shared problem ownership, which makes intervention follow-through far more likely","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""shared problem ownership, which makes intervention follow-through far more likely""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""This is different from a student-centered model (focused on the individual child) or a systems-level model (focused on the organization)""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""PLCs are collaborative professional development structures in which staff meet regularly to examine data and improve student outcomes.""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""It ensures that interventions are coordinated across settings and supported consistently""}]"
"PQ_CON-01_10","Single-Select","False","1","4","False","","A school psychologist implements a coaching model where she observes a teacher delivering a specific intervention, provides specific feedback on implementation, and gradually reduces her involvement as the teacher becomes proficient. This approach reflects which consultation concept?","Dependency on the consultant","Problem-centered case consultation","Skill transfer and capacity building","Crisis intervention","","","C","This describes consultative coaching that emphasizes the transfer of skills from consultant to consultee, building teacher capacity and gradually reducing consultant dependency. This is a hallmark of effective consultation models. Option A describes the opposite of what good consultation achieves. Option B doesn't capture the skill-building emphasis. Option D is not relevant to ongoing coaching.","","","","","","","CON-01","CON-01","","CON","","","Application","This is an Application item because it asks the student to interpret a coaching sequence with fading support. Correct response requires linking observable steps to capacity-building principles rather than crisis or case-label terms.","","Skill transfer construct in consultation: coached implementation feedback with gradual release to build consultee independent competence","","L1","Conceptual","The student confused consultant dependency with gradual withdrawal as coaching progresses toward teacher proficiency and independence.","Consultative coaching: capacity building through graduated consultant involvement reduction","L2","Conceptual","The student mistook problem-centered case consultation for ongoing coaching that focuses on skill transfer rather than problem resolution.","Consultee capacity building coaching versus problem-specific consultation case work","","","","","L3","Conceptual","The student conflated crisis intervention with systematic coaching addressing skill development through observation and feedback.","Crisis intervention acute response model versus consultative capacity-building coaching","","","","","","","","","false","","Students misinterpret graduated consultant withdrawal and skill-building coaching as evidence of continued dependency or crisis-level intervention necessity rather than capacity building success.","component-confusion","","","","Distractor A reveals confusion about withdrawal timing. Teach explicitly: 'Reduced consultant involvement = teacher learned the skill.' Use video clip: coach gradually steps back. Have learners trace the consultant's role across time—when visible, when invisible.","","","","","MOD-D2-01","the nonhierarchical collaborative model is the go-to starting framework","[{""moduleId"":""MOD-D2-01"",""moduleTitle"":""The Nonhierarchical Collaborative Consultation Model"",""snippet"":""the nonhierarchical collaborative model is the go-to starting framework""},{""moduleId"":""MOD-D2-02"",""moduleTitle"":""Consultee-Centered Consultation: Building the Teacher, Not Solving the Problem"",""snippet"":""Psychologist teaches skills and frameworks so the teacher can handle future cases independently""},{""moduleId"":""MOD-D2-03"",""moduleTitle"":""Professional Learning Communities (PLCs): The Three Driving Questions"",""snippet"":""They are driven by three specific questions: What do we want each student to learn? How will we know when each student has learned it? How will we respond when a student experiences difficulty in learning?""},{""moduleId"":""MOD-D2-04"",""moduleTitle"":""Systemic Drug Prevention: Community Coalition Over Classroom Talks"",""snippet"":""Skill transfer and capacity building""}]"
