"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"item_003","Students assume that resistance management requires only selective engagement with concerned stakeholders, failing to recognize the broader participatory requirement that all constituencies have structured input opportunities.","eligibility-criteria-confusion","Distractor A limits voice to concerned parents only; correct answer (B) = all stakeholders must have voice. Teach: 'When you only meet with the resisters, you amplify resistance. You need all groups—supporters, neutral, skeptical—to weigh in. Democratic input, not just complaint management.'"
"item_015","Students identify data collection and presentation procedures as core PLC driving questions, missing the focus on learning targets, verification methods, and response protocols that guide professional learning.","label-retrieval","Distractor D (data collection) is procedural, not conceptual. The three questions: What do we want students to learn? How will we know they learned it? How do we respond when they don't? Teach: 'D is about logistics. A, B, C are about learning. The PLC asks about goals and proof and response, not filing.'"
"item_032","Students conflate specific intervention approaches (student-centered, cognitive-behavioral, ecologic) with the foundational collaborative entry stance, misunderstanding that nonhierarchical partnership precedes model selection.","scope-undergeneralization","Distractors B, C, D name specific models; correct answer (A) identifies the relational foundation. Teach: 'Before you pick a fancy intervention model, start nonhierarchical: You and I as equals, figuring this out together. That's the entry mode. The model comes later, once relationship is solid.'"
"item_068","Students misidentify direct service skill-building as the mechanism when the actual impact is the teacher's independent capacity gain, conflating the direct teaching act with the indirect service model outcome.","prerequisite-skipping","Distractors A, C, D use wrong terminology or miss the capacity outcome. Correct answer (B) = consultee-centered (indirect service that builds teacher capacity). Teach: 'Consultee-centered doesn't mean the teacher is the client. It means the teacher is the target of growth. The psych builds THEIR skills so THEY solve future problems alone.'"
"item_091","Students prioritize communication frequency and accessibility over the relational qualities that research identifies as foundational to partnership trust and safety.","causation-correlation","Distractors A, C emphasize frequency/frequency/liveliness; correct answer (B) = sensitivity, trust, respect. Teach: 'You can meet with parents 10 times a month. If there's no trust, nothing happens. But even one conversation grounded in respect builds partnership. Quality over quantity. Feeling heard matters more than being seen.'"
"item_201","Students conflate professional competence traits (assertiveness, knowledge, efficiency) with the personal relational traits (empathy, trustworthiness) that are the psychological foundation for consultation safety and alliance.","component-confusion","Distractors B, C, D mix competence with relationship. Correct answer (A) = empathetic + trustworthy (the people skills, not the job skills). Teach: 'You can be the smartest, fastest, most knowledgeable consultant. But if a teacher doesn't feel you care or trust you, they won't buy in. Empathy and trust unlock everything.'"
"item_202","Students misidentify stakeholder involvement or data review as the opening step of behavioral consultation, failing to prioritize operational problem definition as the non-negotiable gating requirement.","sequence-inversion","Distractors A, B, D include problem identification but wrongly sequence consultation before definition. Correct answer (C) = define → implement → monitor → evaluate. Teach: The sequence is locked: 1) Define the problem (what exactly?). 2) Implement (do the plan). 3) Monitor (is it working?). 4) Evaluate (did it work?). No shortcuts."
"item_203","Students assume that direct intervention with students is the mechanism of consultee-centered consultation, rather than recognizing teacher capacity building as the defining characteristic.","model-conflation","Distractors B, C, D are wrong models or vague frameworks; correct answer (A) correctly names and defines. Teach: 'Consultee-centered = teacher becomes the problem-solver for future issues. You teach the teacher to fish, not catch one fish for them. The teacher walks out knowing how to handle similar problems alone next time.'"
"item_204","Students misclassify direct intervention provision as consultee-centered or student-centered when the consultant is teaching the student directly; conflate consultation models with service delivery targets.","role-confusion","Distractors A, B, C miss direct service. Correct answer (D) = client-centered (direct service to the client). Teach: 'If you're teaching the student directly, you're not consulting anymore. You're doing therapy or coaching. Consultation = working through the consultee. Direct service = you work with the client.'"
"item_205","Students fail to identify the multi-stakeholder meeting structure as the defining feature of CBC, confusing simultaneous parent-teacher-consultant coordination with other consultation models or systems-level frameworks.","tier-level-confusion","Distractors B, C, D name wrong models. Correct answer (A) = CBC specifically. Teach: 'Conjoint = three people in the room solving together. Parent, teacher, consultant. Same problem, same plan. Not one at a time. Not just one setting. Both.'"
