"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ACA-03_1","A","L1","Conceptual","The student believed that forethought is not part of self-regulated learning.","Zimmerman's SRL model phase identification"
"PQ_ACA-03_1","B","L1","Conceptual","The student believed that executing the strategy is not part of self-regulated learning.","Zimmerman's SRL model phase identification"
"PQ_ACA-03_1","C","L1","Conceptual","The student believed self-reflection is not part of self-regulated learning.","Zimmerman's SRL model phase identification"
"PQ_ACA-03_2","A","L1","Procedural","The student believed that executing the strategy is part of planning.","Phases of self-regulated learning"
"PQ_ACA-03_2","B","L2","Procedural","The student believed that evaluating the strategy is part of planning.","Phases of self-regulated learning"
"PQ_ACA-03_2","D","L2","Conceptual","The student believed that reflection is part of the planning phase.","Phases of self-regulated learning"
"PQ_ACA-03_3","C","L2","Conceptual","The student believed metacognition is synonymous with general intelligence.","Distinction between metacognition and intelligence"
"PQ_ACA-03_3","D","L2","Conceptual","The student believed metacognition involves the speed of cognitive processing.","Metacognition definition and components"
"PQ_ACA-03_4","A","L2","Conceptual","The student believed that verbalizing steps reflects confidence in ability.","Bandura's self-efficacy theory"
"PQ_ACA-03_4","C","L2","Conceptual","The student believed that verbalizing steps is primarily about setting goals.","self-regulation strategy differentiation"
"PQ_ACA-03_4","D","L3","Conceptual","The student believed that verbalizing steps indicates reliance on external factors.","Internal vs. external locus of control distinction"
"PQ_ACA-03_5","A","L3","Conceptual","The student believed that high ability test scores can coexist with low general intelligence.","Understanding of intelligence test score interpretation"
"PQ_ACA-03_5","C","L2","Conceptual","The student believed that specific learning disabilities are linked to self-regulation issues.","Understanding of self-regulation versus learning disabilities"
"PQ_ACA-03_5","D","L2","Conceptual","The student believed that motivation directly correlates with academic performance regardless of cognitive ability.","Understanding of self-regulation and metacognition"
"PQ_ACA-03_6","A","L1","Conceptual","The student believed self-efficacy is about actual ability rather than belief in ability.","Bandura's self-efficacy theory"
"PQ_ACA-03_6","C","L2","Conceptual","The student believed self-efficacy is related to motivation rather than belief in ability.","Bandura's self-efficacy theory"
