"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_DIV-01_1","Students mistakenly equate cultural adaptation with removing core intervention components or stereotyping cultural groups as uniformly possessing certain traits, rather than preserving evidence-based mechanisms while altering framing and contextual fit.","model-conflation","Distractor A assumes dropping activities = cultural respect; redirect by explaining cultural adaptation as preserving EBP dose and active ingredients while reframing goals (e.g., individual assertiveness → group advocacy). For Distractor C, address stereotype conflation: use data to determine intensity, not cultural labels. Teach functional adaptation matrix."
"PQ_DIV-01_10","Respondents either abandon reinforcement systems entirely or compartmentalize school and home incentives when facing cultural conflicts, rather than redesigning contingencies to preserve behavioral principles within a family-centered social unit.","overgeneralization","Distractor C opts for complete strategy removal instead of contingency redesign; teach that abandonment wastes evidence-based mechanisms. Distractor D splits systems causing measurement and generalization loss; show how coherent family-level incentive structures (group progress celebration) maintain fidelity while honoring cultural values. Demo concrete examples (household goal charts vs individual sticker charts)."
"PQ_DIV-01_11","Examiners locate underidentification disparities in student ability rather than examining systemic gatekeeping, measurement bias, opportunity-to-learn gaps, and expectancy effects that suppress referrals and advancement.","eligibility-criteria-confusion","Distractor A attributes disparity to ability differences; reframe as pipeline audit (referral sources, screening thresholds, teacher recommendations). Distractor C uses unverified family-preference narrative; teach hypothesis testing: collect disaggregated referral data by source and student group. Distractor D misconstrues prevention as equitable access; clarify that representation equity means removing barriers, not limiting identification."
"PQ_DIV-01_12","Students assume English-only schooling satisfies intervention requirements or delay support until English proficiency is achieved, ignoring bilingual rights, concurrent language development, and disorder-versus-difference diagnosis.","population-confusion","Distractor A restricts to English only; teach that IDEA and EL law require bilingual approaches where staffing permits. Distractor C delays intervention pending English mastery; explain that IDEA requires concurrent support during L2 acquisition. Distractor D swings to L1-only without planning academic language and bilingual pathways; use bilingual frameworks (simultaneous vs sequential bilingualism) in case formulation."
"PQ_DIV-01_13","Practitioners dismiss indigenous healing practices as illegitimate, avoid discussing them, or force false choices between school and traditional approaches rather than collaboratively integrating complementary systems.","treatment-assessment-confusion","Distractor A rejects healing practices as unscientific; model integrative planning language (validate approach, explore alignment with goals, identify contraindications and safety). Distractor C uses silence instead of active engagement; teach that healing beliefs belong in functional assessment interviews. Distractor D forces binary choice; show how care agreements clarify roles and sequencing, not cancellation of one system."
"PQ_DIV-01_14","Raters assume standardized norms apply universally, artificially inflate scores to account for culture, or discard quantitative data altogether instead of contextualizing cultural influences on emotional expression within multilevel interpretation.","norm-criterion-confusion","Distractor A applies norms without cultural fit checks; teach norm-sample alignment (do published norms include your student's cultural group?) and qualitative validation. Distractor C invents score adjustments; explain why this violates interpretation standards—use multi-method convergence instead. Distractor D abandons standardized scores; clarify that scores + cultural context + setting observations = valid interpretation."
"PQ_DIV-01_15","Educators either apply uniform rules (treating identical with fair) or reduce expectations by group stereotype or disconnect PBIS from culturally sustaining behavior definitions, instead of co-constructing norms with community and monitoring equitable outcomes.","role-confusion","Distractor A equates uniform application with fairness; teach disparate impact analysis and outcome disaggregation by group. Distractor C lowers expectations as accommodation; reframe high expectations + intensive support + barrier removal. Distractor D drops PBIS for academics only; show how tiered behavior systems with community-defined norms and disproportionality data review operationalize culturally sustaining practice."
"PQ_DIV-01_16","Evaluators treat low scores as direct proxies for ability while ignoring testwiselessness, language demands, and anxiety effects, or withhold evaluation to avoid labeling rather than conducting transparent, accessible comprehensive assessment.","validity-reliability-confusion","Distractor A conflates obtained scores with latent ability; teach test fairness threats (format, language, anxiety) in cognitive interpretation. Distractor C denies access to avoid deficit labels; explain that comprehensive evaluation with family-accessible explanations fulfills child-find and informed-consent obligations. Distractor D relies on standardized scores alone; remind that IDEA requires multidisciplinary, multi-method evidence for eligibility."
"PQ_DIV-01_17","Practitioners categorically deny cultural accommodations citing secular policy, automatically approve unvetted requests, or defer accountability to external specialists instead of analyzing feasibility, safety, and intervention integrity on a case-by-case basis.","consent-confidentiality-confusion","Distractor A blocks all accommodations; teach reasonable-accommodation analysis (undue hardship? safety? fidelity risk?). Distractor B auto-approves; show frameworks for bounded negotiation (preserve core components; clarify contraindications). Distractor D shifts accountability; clarify that schools retain responsibility for FAPE-consistent implementation even when consulting community providers or healers."
"PQ_DIV-01_18","Clinicians pathologize context-specific behavior as disorder, attribute competence in culturally congruent settings to malingering, or declare students non-responsive without testing culturally responsive instructional and environmental modifications.","developmental-stage-mismatch","Distractor A diagnoses disorder from cross-setting variation; teach cultural discontinuity hypothesis (skills intact in matched peer contexts = environmental fit issue, not disorder). Distractor C calls competence 'faking'; teach defensive attribution errors and code-switching as developmentally normal. Distractor D gives up on intervention; frame as signal to adjust instructional ecology and cultural bridges, not responder status."
