UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_LEG-01_19","Students over-restrict information sharing by treating any disclosure as a FERPA violation, missing the legitimate educational interest exception that permits oral sharing.","scope-overgeneralization","Distractor A (all sharing violates FERPA) and D (verbal = violation) both misread FERPA's scope. Teach: legitimate educational interest is the gatekeeper. A teacher explaining results to another teacher with pedagogical need is compliant, even if verbal."
"PQ_LEG-01_2","Students narrow the definition of educational records to academic metrics only, overlooking records' broader scope: anything directly related to the student in school possession.","scope-undergeneralization","Distractor A (only test scores and grades) undershoots scope; C (only teacher-created) adds a false creator criterion. Expand: educational records include counselor notes, special education files, disciplinary records, etc.—any school-held document about the student."
"PQ_LEG-01_20","Students default to denial or passivity when facing unauthorized access concerns, bypassing the investigation and remediation steps FERPA requires.","prerequisite-skipping","Distractors A (deny) and D (ignore) skip investigation entirely; C (increase security without probing) treats symptoms without diagnosing cause. Teach a protocol: access logs → verification → remediation → family notification. Emphasize accountability."
"PQ_LEG-01_3","Students over-apply FERPA to all school personnel notes, conflating professional memory aids with official educational records.","scope-overgeneralization","Distractor A (all notes = records) over-applies FERPA; C and D add false criteria (test scores, disability status). Isolate the sole possession note exception: private, not shared, memory-aid-only notes are exempt. Contrast with notes later shared or filed."
"PQ_LEG-01_4","Students wrongly deny parental access to educational records, confusing privacy protection with access denial.","scope-undergeneralization","Distractor A (auto-deny) inverts parental rights; C (student must be present) and D (attorney required) add false conditions. Establish: parents have a baseline right to access; schools must provide records within reasonable time. Access denial requires documented justification."
"PQ_LEG-01_5","Students over-constrain or under-constrain schools' discretion in amendment procedures, missing the procedural middle ground: consider and address, but do not auto-agree.","scope-overgeneralization","Distractor A (deny if disagree) over-constrains; C (auto-agree) over-expands parent power. Teach: schools must consider requests and follow a dispute procedure if disagreement exists; they do not unilaterally approve or deny."
"PQ_LEG-01_6","Students assume age 18 is a hard transfer of rights, overlooking state law nuance and the exceptions (emancipation, court order) that keep parents as rights-holders.","scope-undergeneralization","Distractor A (auto-transfer at 18) and C/D (school or superintendent gets rights) mishandle rights transfer. Clarify: high school seniors aged 18 typically remain under parental rights unless emancipated or state law differs. Postsecondary students trigger full transfer."
"PQ_LEG-01_7","Students conflate a vague desire or general interest with the FERPA criterion of legitimate educational interest, broadening access to information unnecessarily.","scope-overgeneralization","Distractors A (desire), C (general interest), and D (request) are proxies that miss the core: job-related need to know the information to serve the student. Teach the three-part test: staff role + job duty + student-serving purpose."
"PQ_LEG-01_8","Students misidentify the severity threshold for health/safety emergencies, conflating subjective concern with objective immediacy.","scope-overgeneralization","Distractor A (anyone's opinion) over-lowers the bar; C (student request) and D (attorney suggestion) remove the emergency requirement. Build the gate: is there a genuine, immediate health/safety threat? Only then does the emergency exception apply."
"PQ_LEG-01_9","Students misclassify academic performance or disciplinary data as directory information, conflating low-sensitivity identifiers with high-stakes educational metrics.","scope-overgeneralization","Distractor A (test scores, grades) and C (disciplinary records) wrongly categorize sensitive data as directory. Establish: directory info is limited to name, address, phone, DOB, activities. Academic performance and discipline are not directory; they require consent to disclose."
