"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_DBD-05_19","Student treats cross-battery disagreement (e.g., average WISC-V FR, low NEPSY-II problem-solving) as grounds for global test invalidity, discarding interpretable task-specific variance.","validity-reliability-confusion","Normalize cross-battery variance: both batteries measure overlapping constructs but differ in task format, pacing, and ecological demand. Present a profile: WISC-V MR average, NEPSY Visual Puzzles low. Ask: ""Invalid or informative?"" Walk through: task differences (speed pressure, visual load, feedback) explain variance. Teach students to parse context, not assume blanket invalidity."
"PQ_DBD-05_2","Student maps digit-span recall primarily to processing speed rather than the capacity to hold and manipulate information in working memory.","component-confusion","Address with a motor-speed manipulation task: administer digit span twice—once at normal pace, once ultra-slow. Scores stay consistent, proving speed ≠ the limiting factor. Then compare to true PSI (symbol-coding) where pace heavily influences performance, illustrating the dissociation."
"PQ_DBD-05_20","Student selects intensive processing-intervention targets based on average processing scores in unrelated domains or high scores in areas orthogonal to the academic concern.","tier-level-confusion","Build a matching matrix: left column lists academic deficits (low reading fluency, low math accuracy); right column lists processing profiles. Ask student to match each academic weakness to the processing deficit that most directly causes it (RAN→fluency, WM→math). Show that a high score in an unrelated domain (good VC, poor math achievement) does NOT warrant VC-focused intervention."
"PQ_DBD-05_3","Student collapses rapid-automatized naming (speed of lexical retrieval) with phoneme manipulation and auditory discrimination.","scope-overgeneralization","Create a three-way contrast task: (1) Say if two words start with the same sound [discrimination]; (2) Say /c/ /a/ /t/ in order [sequencing]; (3) Name pictures as fast as possible [RAN]. Use concrete examples and timing differences to illustrate why RAN is retrieval-speed specific, not phonological awareness."
"PQ_DBD-05_4","Student confuses a comprehensive memory battery with reasoning or achievement composites, misidentifying TOMAL-2's primary construct focus.","model-conflation","Prompt a side-by-side taxonomy walk: memory batteries (TOMAL-2, WMS) vs. reasoning (WISC Fluid Reasoning, Matrix Reasoning) vs. achievement (WJ-IV ACH). Ask student to categorize 10 real subtests (e.g., Paired Associates, Matrix Reasoning, Reading Fluency) into bins, then check answers against manuals."
"PQ_DBD-05_5","Student selects Processing Speed Index for visual-spatial reasoning assessment, inverting the cognitive domain that best aligns with geometry and spatial tasks.","tier-level-confusion","Build a processing-domain reference card linking WISC-V indices to math constructs: PRI/FR (visuospatial, geometry) vs. PSI (graphomotor speed, timed output). Present a child with spatial-math weakness (drawing angles, understanding transformations). Ask: ""Which index reveals the root weakness?"" Then walk through why PRI > PSI for this referral."
"PQ_DBD-05_6","Student prioritizes fine-motor or adaptive functioning assessment over phonological processing in a reading-disability evaluation, misranking processing-domain priorities.","purpose-confusion","Use a two-column workup: left side lists reading-SLD core processing (phonology, RAN, orthographic mapping); right side lists supplemental domains (motor, behavior, adaptation). Ask student to design a reading-evaluation battery, then highlight where phonology must appear first, prior to secondary assessments."
"PQ_DBD-05_7","Student interprets Beery VMI (motor-perceptual task) as a global intellectual-ability proxy, rather than a measure specific to integration of perception and motor output.","purpose-confusion","Deliver a hands-on contrast: have student attempt Beery VMI copy tasks, then a WISC-V Matrix Reasoning item. Debrief: both involve visual inputs, but Beery requires motor output + perception while Matrix is purely reasoning/nonverbal. Use this lived experience to cement the distinction between construct domains."
"PQ_DBD-05_8","Student applies PSW logic by pairing globally low cognition with uneven achievement, conflating the model's requirement for circumscribed processing-achievement inconsistency.","validity-reliability-confusion","Present three case profiles: (A) average Fluid Reasoning, low reading + RAN; (B) low Fluid Reasoning, low reading + RAN; (C) high Fluid Reasoning, low math + low working memory. Ask student to identify which meet PSW criteria. Emphasize that PSW requires strengths in unaffected domains, not global impairment."
"PQ_DBD-05_9","Student misclassifies NEPSY-II as a narrow behavior-rating tool for ADHD, overlooking its comprehensive neuropsych-performance battery structure.","treatment-assessment-confusion","Create a matrix of major batteries by class: cognitive (WISC), achievement (WJ-IV ACH), neuropsych (NEPSY), memory (TOMAL-2), behavior (CONNERS). Have student place real examples into bins, then validate against test manuals. Stress performance-based vs. informant-rating distinction."
