"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_SWP-04_1","A","L2","Conceptual","The student believed that MTSS addresses only academic support, overlooking behavioral integration as an equally essential component.","Comprehensive integrated MTSS definition"
"PQ_SWP-04_1","C","L2","Conceptual","The student believed that behavioral support can function independently from academic systems without integrated universal screening mechanisms.","MTSS integration academic-behavioral systems"
"PQ_SWP-04_1","D","L3","Conceptual","The student conflated special education placement (an outcome) with MTSS definition (a prevention and early intervention framework).","MTSS and special ed process distinction"
"PQ_SWP-04_10","A","L1","Procedural","The student believed that extending the same intervention without examining fidelity follows responsible RTI protocol.","Fidelity monitoring prerequisite in RTI"
"PQ_SWP-04_10","C","L2","Procedural","The student assumed immediate special education referral is warranted when Tier 2 progress is lacking without investigating fidelity first.","RTI fidelity investigation before referral"
"PQ_SWP-04_10","D","L3","Conceptual","The student conflated lack of response to one intervention with lack of capacity to benefit from intervention overall.","Intervention non-response adjustment strategy"
"PQ_SWP-04_11","A","L2","Conceptual","The student believed that Tier 1 instruction should remain static regardless of screening data indicating systemic inadequacy.","Tier 1 improvement preceding tier 2 placement"
"PQ_SWP-04_11","C","L3","Conceptual","The student assumed lowering academic standards is an appropriate response to widespread student difficulty with content.","Curriculum quality adjustment not standards"
"PQ_SWP-04_11","D","L2","Procedural","The student believed eliminating universal instruction and moving directly to targeted support is efficient and appropriate.","Tier 1 universality precedes targeting"
"PQ_SWP-04_12","A","L2","Conceptual","The student believed MTSS and special education referral are completely unrelated processes with no shared data sources.","MTSS special education data linkage"
"PQ_SWP-04_12","C","L3","Conceptual","The student thought that MTSS participation precludes special education evaluation and eligibility determination.","Parallel MTSS special ed processes"
"PQ_SWP-04_12","D","L1","Conceptual","The student conflated Tier 3 intensive general education support with special education as identical service models.","Tier 3 versus special ed distinction"
"PQ_SWP-04_13","A","L2","Procedural","The student believed benchmarks should be identical across all grades despite developmental differences between grade levels.","Grade-level and growth benchmarking"
"PQ_SWP-04_13","C","L3","Conceptual","The student assumed that excessively high benchmarks serve a helpful motivational function for all students.","Attainable benchmark setting principle"
"PQ_SWP-04_13","D","L3","Procedural","The student believed allowing each teacher to determine benchmarks independently prevents systemic inconsistency problems.","Research-based universal benchmarking schools"
"PQ_SWP-04_14","A","L2","Conceptual","The student believed one individual can sustain MTSS implementation without distributed team leadership and shared responsibility.","Shared distributed leadership sustainability model"
"PQ_SWP-04_14","C","L2","Procedural","The student assumed that staff can implement MTSS with fidelity and integrity without receiving professional development.","Professional training and coaching requirements"
"PQ_SWP-04_14","D","L3","Conceptual","The student believed minimal time allocation preserves sustainability in complex organizational system change efforts.","MTSS implementation resource commitment"
"PQ_SWP-04_15","A","L2","Conceptual","The student believed MTSS enrollment requires terminating all existing special education services for those students.","MTSS parallel not replacement systems"
