"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_SAF-03_1","Students conflate any threat statement with automatic law enforcement response, failing to distinguish transient expressions from substantive risks requiring investigation.","scope-undergeneralization","Choice A assumes all threats mandate arrest without assessment. Choice D assumes automatic expulsion follows substantive threats. Teach the three-level Virginia Model (transient/substantive/imminent) and emphasize that threat assessment determines response intensity—not that severity is predetermined. Role-play: Show students a vague threat and walk through intent + context + capability factors to reach different conclusions."
"PQ_SAF-03_10","Learners assume that stated joking or ambiguity eliminates the need for structured professional judgment, collapsing context-intent-capability analysis into surface-level denial.","sequence-inversion","Choice C skips assessment entirely because the student said 'just joking.' Choice A jumps to law enforcement without preliminary review. Misconception: 'They said it was a joke, so no assessment needed.' Teach: Joking is a *claim* that must be tested against context, peer reactions, and prior behavior. Walk through a case where joking claims masked actual planning (e.g., Safe School Initiative examples)."
"PQ_SAF-03_11","Students overgeneralize warning signs as reliable predictors, reversing the research finding that presence of signs does not ensure violence while absence does not rule it out.","overgeneralization","Choice A assumes clear recognition and reporting of warning signs. Choice D assumes impulsivity without warning signs. Choice C treats signs as deterministic. Misconception: 'Warning signs = will commit violence.' Teach Safe School Initiative data: 81% of perpetrators showed warning signs, but thousands of students show the same signs annually without violence. Distinguish sensitivity (catching cases) from specificity (avoiding false alarms)."
"PQ_SAF-03_12","Practitioners select interventions based on individual categories (mental health alone, or surveillance-heavy approaches) rather than coordinating law enforcement, safety planning, mental health, and family involvement simultaneously.","component-confusion","Choice A assumes counseling is primary despite weapons access. Choice C adds surveillance as a complement, missing that surveillance is monitoring, not intervention. Choice D lists all elements but frames documentation as primary. Teach: Multiagency response is *concurrent* and *proportionate*. Law enforcement assesses capability; mental health addresses intent/ideation; family participates in planning; school implements restrictions."
"PQ_SAF-03_13","Learners reverse epidemiological research by treating mental illness as a strong causal predictor of school violence rather than a relevant-but-insufficient risk factor.","causation-correlation","Choice A claims mental illness predicts violence. Choice B asserts it is a 'strong predictor.' Choice D claims zero relevance. Misconception: 'Mental illness = violent.' Teach: Mental illness is *common* in perpetrators but *rare* as a sole predictor; most violence perpetrators are not mentally ill. Mental health assessment informs safety planning (addressing suicidal ideation, impulsivity) but cannot identify who will act. Use base-rate reasoning: 1% of mentally ill persons commit violence; >99% never do."
"PQ_SAF-03_14","Students collapse structured professional judgment into a binary—either treating all threats as substantive out of caution or relying solely on denial, skipping systematic evidence gathering.","treatment-assessment-confusion","Choice A over-classifies via caution. Choice C under-classifies via denial. Choice D centers victim emotion over objective criteria. Misconception: 'Caution = safety' or 'Denial = no risk.' Teach the structured professional judgment model: gather intent (Does the student want to harm?), means (Can they access weapons?), context (What triggered the threat?), planning (Is there a plan?). Each factor independently informs risk, not emotion or reflexive escalation."
"PQ_SAF-03_15","Students narrow threat assessment interviews to confession of intent or academic data, overlooking the full constellation of psychological state, stressors, planning, and capability factors.","scope-undergeneralization","Choice A demands confessional statements; Choice C relies on grades/discipline only; Choice D excludes the student's own voice. Misconception: 'We just need them to admit they want to harm someone.' Teach: Interview covers *circumstances* (what happened?), *stressors* (what's going on at home?), *understanding of impact* (do they know how the target felt?), *emotional state* (are they dysregulated?), *planning* (any concrete steps?), *access to means* (guns, knives, explosives?). Each informs decision-making; confession alone is insufficient."
"PQ_SAF-03_16","Learners equate physical security or lack of weapon access with elimination of mental health intervention need, treating containment as a substitute for threat assessment.","role-confusion","Choice A assumes security removes intervention need. Choice C treats weapon access as the sole risk factor. Choice D defers assessment to post-release. Misconception: 'Locked up = no risk.' Teach: A confined student with violent ideation still requires mental health intervention to address underlying intent and ideation; confinement is containment, not treatment. Re-assessment must occur if release is planned. Security enables *temporary* safety; mental health addresses *underlying* factors."
"PQ_SAF-03_17","Students misframe target identification as victim-blaming or overweight its importance in determining school-wide protective scope, rather than viewing it as investigation guidance.","purpose-confusion","Choice A conflates identification with blame. Choice C narrows protective focus to named targets only. Choice D assumes identification predicts violence certainty. Misconception: 'If we identify who they might harm, we can focus all safety measures on those kids.' Teach: Target identification *informs investigation scope and notification needs*; it does not permit ignoring school-wide safety or predicting whether violence will occur. Example: If a student threatens specific peers, those peers are notified, but the school maintains general readiness."
"PQ_SAF-03_18","Students extract low-risk determinations as closure signals rather than transition points, presuming that low risk eliminates ongoing monitoring and mental health follow-up responsibilities.","prerequisite-skipping","Choice A closes assessment entirely. Choice B closes with no monitoring. Choice D applies expulsion despite low-risk rating. Misconception: 'Low risk = we're done.' Teach: Low risk determinations are not *conclusions* but *interim snapshots*. Follow-up includes monitoring for warning sign *changes*, offering mental health support, and re-assessing if new concerning behaviors emerge. Create a written follow-up plan (frequency, triggers for re-assessment)."
"PQ_SAF-03_19","Learners treat threat assessment and threat evaluation as interchangeable terminology rather than understanding evaluation as the assessment process plus documented safety planning and intervention.","label-retrieval","Choice A claims they are identical. Choice C confuses focus (student vs. building) with process difference. Choice D incorrectly ties assessment/evaluation to threat *type* rather than process *scope*. Misconception: 'Assessment and evaluation are the same.' Teach: *Assessment* = determining risk level via structured interview and evidence gathering. *Evaluation* = assessment + documented safety plan + assigned responsibility for monitoring/follow-up. Evaluation is assessment in context of action."
