"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_PSY-01_19","Practitioners rely on standard scores alone when explaining results to non-technical audiences, assuming professional terminology is self-explanatory without translating to accessible reference frames like percentiles and confidence bands.","purpose-confusion","Distractor A insists on standard-score-only reporting without translation. Distractor C suggests withholding scores to protect parents, which avoids the real task—clear communication. Distractor D uses absolute scores without normative anchors. Teach: standard scores (M=100, SD=15) are meaningless to parents; always pair with percentiles (ordinal position), descriptive language (below average), and confidence intervals (band of reasonable scores). Provide a 3-frame template: 'Your child scored ___ (standard score), which means they performed better than ___% of peers (percentile), placing them in the ___ range.'"
"PQ_PSY-01_2","Test-takers collapse percentile rank into percentage-correct, misunderstanding that a percentile represents a *relative position* in a norm group, not an *absolute accuracy rate*.","label-retrieval","Distractor A treats percentile 75 as 75% items correct. Distractor C wrongly maps percentile to grade equivalent (7.5). Distractor D conflates percentile with stanine (9-point scale). Use a concrete contrasting example: same student might score 75% on a hard test (few others do well) or 75% on an easy test (many others do well). The percentile tells you *relative standing*, not the % of items right. Practice: given a norm distribution, identify percentile and item accuracy separately."
"PQ_PSY-01_20","Students attribute genuine score improvement to regression to the mean—a statistical pull toward the average—without weighing the *magnitude* of change against the size of the regression effect expected for that score range.","causation-correlation","Distractor A assumes all improvement is genuine progress, ignoring regression. Distractor C dismisses both scores as error, overreacting to measurement noise. Distractor D interprets the 3rd percentile as necessitating more intervention despite a retest showing change. Teach: regression to the mean is *automatic* when initial scores are extreme, but real improvement can *also* occur. With initial score at 3rd percentile, expect some retest rise (~5–10 percentile points) just from regression; changes larger than this may indicate genuine gains. Calculate expected regression: regression = r(X₁ - M), where r = reliability."
"PQ_PSY-01_3","Examinees treat scaled scores as if one unit above the mean indicates severe impairment, conflating the direction and magnitude of standard deviation without calculating actual distance from the mean.","tier-level-confusion","Distractor A (significantly impaired) overgeneralizes one SD below average as pathological. Distractor C (70% correct) wrongly maps scaled scores to item accuracy. Distractor D (7th-grade level) confuses age-based scales with grade-based scales. Reteach: scaled score 7 = mean 10 − (3 × 1) = one SD below, which is low-normal (roughly 16th percentile), not impaired. Show the normal distribution with marked bands (impaired: <−2 SD; below average: −1 to −2 SD; average: ±1 SD)."
"PQ_PSY-01_4","Students apply z-score directionality rules incorrectly, choosing a positive z-score for scores below the mean or miscalculating the magnitude by confusing the SD unit with the raw-score difference.","scope-undergeneralization","Distractor B (+0.33) reverses the sign (95 is below 100, so z must be negative). Distractor C (−1.0) miscalculates: (95−100)/15 = −5/15 = −0.33, not −1.0. Distractor D (+1.5) compounds both errors. Anchor the formula: z = (X − M) / SD = (95 − 100) / 15 = −0.33. Drill: negative z when X < M (always); magnitude is raw difference *divided by* SD (not multiplied). Practice with multiple examples varying direction and magnitude."
"PQ_PSY-01_5","Test-takers miscalculate how many standard deviations a T-score is from the mean by dividing the distance by the SD incorrectly or confusing T-score points with SD units.","prerequisite-skipping","Distractor A (3.5 SD below) assumes each T-score point is 1 SD (50−35=15, divided by 5 = 3, but SD=10). Distractor C treats T=35 as average, forgetting the mean is 50. Distractor D assigns an unrealistically high percentile (93rd) to a very low score. Teach: T-score formula is T = 50 + 10z, so z = (T−50)/10. For T=35: z = (35−50)/10 = −1.5 SD. Drill: identify z first, *then* map z to percentile (−1.5 SD ≈ 6th–7th percentile, not 93rd)."
"PQ_PSY-01_6","Practitioners prescribe instructional level directly from age-equivalent scores, treating AE as a placement criterion rather than a descriptive statistic reflecting performance on *a single task* at *a single point in time*.","treatment-assessment-confusion","Distractor A (move to 4th grade) and B (use 4th-grade materials) wrongly use AE as a curriculum guide. Distractor D (reading exactly at 8.5-year level in all components) over-generalizes the AE across reading domains (fluency, comprehension, phonics all differ). Emphasize: AE is *descriptive*, not *prescriptive*. A 10-year-old with AE 8.5 is performing like a typical 8.5-year-old on *this specific subtest only*; may be stronger in comprehension or weaker in fluency. Use: 'The student's reading *on this measure* resembles an 8.5-year-old's, but we need more data on other reading skills before setting curriculum.'"
"PQ_PSY-01_7","Examiners misinterpret small variability in test scores as evidence of uniform cognitive performance, overlooking that consistency within a narrow range (scaled 8–12) reflects *reliable measurement*, not absence of strengths or weaknesses.","scope-overgeneralization","Distractor A (significant LD) assumes any variation signals a disorder. Distractor C (specific strengths and weaknesses) wrongly infers meaningful differentiation from small scatter (range 4 points). Distractor D (special education) jumps from score variability to eligibility. Teach the threshold for *clinically meaningful* scatter: typically ≥1.5 SD between highest and lowest scores. Range of 8–12 scaled points = roughly 0.67 SD, well within normal variation. Use statistical language: 'Consistent performance across subtests suggests stable, reliable cognitive functioning across these domains.'"
"PQ_PSY-01_8","Students misinterpret a confidence interval as a statement about the probability that a *specific point estimate* (102) is exact, when it is actually a probability band reflecting measurement error around the obtained score.","validity-reliability-confusion","Distractor A (90% chance true score is exactly 102) conflates the interval with a point estimate. Distractor C describes the norm-group distribution rather than the individual's measurement band. Distractor D treats the confidence level as a predictor of score stability over time. Clarify: 90% CI means 'if we were to test this student repeatedly under identical conditions, 90 out of 100 times their true score would fall within this range.' Example: IQ 102 ± 7 (90% CI) means true score likely between 95–109, not that 102 is the bullseye. Anchor: CI captures *measurement error*, not norm distribution or longitudinal change."
"PQ_PSY-01_9","Practitioners treat a single very low standard score as diagnostic evidence without conducting comprehensive multi-method assessment, conflating a *data point* with a *diagnosis*.","eligibility-criteria-confusion","Distractor A (report only standard score) avoids parental engagement. Distractor C (meets criteria for intellectual disability) and D (recommend immediate placement) both misuse a single low score as a diagnostic threshold. Teach IDEA's Comprehensive Evaluation Requirement: intellectual disability diagnosis requires *multiple* measures across cognitive, adaptive, and developmental domains plus clinical judgment. Show: one low score ≠ disability. Always use: pattern analysis (are other scores low?), adaptive functioning assessment (daily living skills, social functioning), and developmental/medical history before concluding disability."
