"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DBD-07_1","This is a Recall item because it requires direct retrieval of the foundational definition and primary purpose of functional behavioral assessment from training or textbooks without requiring application to a scenario.","Definition and primary purpose of functional behavioral assessment in identifying behavioral antecedents, behavior patterns, and maintaining consequences"
"PQ_DBD-07_2","This is a Recall item because it assesses memorized definition of ""behavior function"" as the reinforcement maintaining a behavior and student motivation without requiring interpretation or application to a scenario.","Definition of behavioral function as the reinforcement or motivation maintaining a specific behavior in operant learning theory"
"PQ_DBD-07_3","This is an Application item because it requires interpreting a real-world scenario of classroom behavior to identify which teacher response would functionally reinforce the student behavior of calling out.","Ability to identify functional reinforcers in classroom settings based on discriminating which teacher responses increase or maintain student behavior"
"PQ_DBD-07_4","This is an Application item because it requires interpreting an FBA result showing escape function and selecting an appropriate replacement behavior that serves the same function appropriately in a realistic scenario.","Selection of functionally equivalent replacement behaviors that serve the same escape function as problem behavior in behavior intervention planning"
"PQ_DBD-07_5","This is an Application item because it requires analyzing a presented antecedent-behavior-consequence sequence to infer the specific behavioral function being reinforced by the consequence in the ABC relationship.","Ability to infer behavioral function from antecedent-behavior-consequence sequences in typical classroom contexts"
"PQ_DBD-07_6","This is an Application item because it requires synthesizing knowledge of indirect assessment methods (interviews) and direct methods (observation) to identify complementary roles in verification and hypothesis generation.","Integration of indirect and direct functional behavioral assessment methods to generate and verify hypotheses about behavioral functions and patterns"
"PQ_DBD-07_7","This is a Recall item because it requires retrieving the definition of setting event and identifying an example that increases behavior likelihood from provided options without analysis or application.","Definition and identification of setting events as antecedent conditions that increase the probability of subsequent behavior occurrence"
"PQ_DBD-07_8","This is an Analysis item because it requires evaluating why an extinction intervention would be ineffective when peer reinforcement continues, synthesizing multiple contingencies affecting one behavior.","Analysis of factors preventing intervention effectiveness when multiple reinforcement sources maintain behavior beyond the targeted consequence manipulation"
"PQ_DBD-07_9","This is a Recall item because it requires memorized knowledge of the definitional relationship between FBA as assessment and BIP as intervention planning without requiring application or comparison.","Sequential relationship between functional behavioral assessment findings and behavior intervention plan design"
"PQ_DBD-07_10","This is an Application item because it requires identifying the sensory stimulation function and selecting an appropriate intervention providing legitimate sensory input rather than punishment or isolation.","Selection of reinforcing replacement activities matched to sensory stimulation function of behavior in designing comprehensive interventions"
"PQ_DBD-07_11","This is an Application item because it requires interpreting a scatter plot data pattern showing contextual variation to identify that specific activities and transitions trigger the off-task behavior.","Interpretation of scatter plot data to identify contextual and environmental factors triggering behavior occurrence in functional behavioral assessment"
"PQ_DBD-07_12","This is a Recall item because it requires retrieving specific federal regulatory knowledge about IDEA FBA requirements related to placement changes without requiring application or interpretation.","Specific IDEA regulations requiring functional behavioral assessment when student behavior leads to placement change decisions"
"PQ_DBD-07_13","This is an Analysis item because it requires evaluating how to address escape-maintained refusal when underlying fine motor difficulty contributes, synthesizing both function and skill factors.","Integration of functional analysis findings with skill deficits in designing interventions addressing both behavioral function and underlying performance limitations"
"PQ_DBD-07_14","This is an Application item because it requires identifying a replacement behavior that serves the same function as the problem behavior in an appropriate manner within realistic behavioral intervention context.","Concept of competing pathways and selection of replacement behaviors maintaining equivalence of function to problem behavior"
"PQ_DBD-07_15","This is an Application item because it requires determining how to respond appropriately to informal teacher observations by seeking specific operational definitions while validating input in collaborative consultation.","Ability to balance stakeholder input with objective data collection by operationalizing vague behavioral descriptions in functional behavioral assessment"
"PQ_DBD-07_16","This is a Recall item because it requires identifying the definitional characteristics of functional analysis (systematic manipulation of conditions to test hypotheses) from provided options.","Definition of functional analysis as systematic experimental manipulation of conditions to test behavioral hypotheses about maintaining functions"
"PQ_DBD-07_17","This is an Application item because it requires interpreting a scenario where setting events (peer conflict arousal) precede behavior, selecting intervention modifying both antecedent conditions and skills.","Application of setting event analysis to intervention design by addressing antecedent conditions and teaching coping skills for emotional dysregulation"
"PQ_DBD-07_18","This is a Recall item because it requires understanding how specific FBA components (behavior description, frequency, contexts, functions) inform intervention design without requiring comparative analysis.","Recognition that comprehensive functional behavioral assessment data on topography, functions, and contexts directly inform specific intervention selection"
"PQ_DBD-07_19","This is an Application item because it requires interpreting a behavioral scenario and determining the appropriate intervention strategy when a behavior serves multiple distinct functions, then selecting an approach that teaches a single replacement behavior addressing both functions.","Intervention planning for behaviors serving multiple functions by selecting replacement behaviors that satisfy multiple behavioral reinforcement functions"
"PQ_DBD-07_20","This is an Analysis item because it requires evaluating why the replacement behavior is not increasing despite FBA-based intervention implementation, considering both implementation fidelity issues and whether replacement behavior reinforcement is weaker than problem behavior reinforcement.","Analysis of intervention failure attributing to implementation fidelity or insufficient reinforcement strength for replacement behavior relative to problem behavior"
"item_005","This is a Recall item because it requires retrieving foundational knowledge from school psychology that functional behavioral assessment must precede formal behavior support plan development in standard professional practice.","Prerequisite assessment type required before developing formal behavior intervention plans for students with behavioral difficulties"
"item_071","This is a Recall item because it requires retrieving standard behaviorist categories of primary motivations (attention, affiliation, control) as taught in school psychology without requiring application.","Major behavioral motivations in school settings according to behaviorist theory: attention, affiliation, and control functions"
"item_087","This is a Recall item because it requires identifying that observing antecedents and consequences in the natural classroom setting exemplifies functional behavioral assessment methodology from the definition.","Recognition that systematic antecedent-behavior-consequence observation in natural settings constitutes functional behavioral assessment"
"item_112","This is a Recall item because it requires retrieving standard behavioral observation documentation and analysis practices including frequency, intensity, and duration parameters from foundational school psychology knowledge.","Standard behavioral observation parameters including frequency, intensity, and duration for documenting and analyzing target behavior"
"item_140","This is a Recall item because it requires sequencing the standard FBA procedural steps (define, observe, develop hypothesis, plan) from established FBA methodology without application.","Correct sequence of functional behavioral assessment procedural steps from problem definition through hypothesis development to planning"
"item_141","This is an Application item because it requires interpreting Sally's FBA result showing social motivation for her behavior and then selecting environmental modification as the appropriate first intervention strategy.","Selection of environmental modifications as appropriate initial strategy when behavior is maintained by social motivation functions"
