UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
"PQ_CON-01_1","A","L1","Conceptual","The student believed consultee-centered consultation directly modifies student behavior through environmental interventions rather than transforming the teacher's internal capacity.","Caplan model indirect service delivery: teacher change versus direct student behavior modification"
"PQ_CON-01_1","C","L2","Procedural","The student thought consultee-centered consultation precedes special education evaluation rather than serving as a consultation-before-referral screening process.","Consultation-before-referral sequence in school problem-solving frameworks"
"PQ_CON-01_1","D","L2","Conceptual","The student assumed consultee-centered consultation involves direct counseling services to students rather than indirect teacher-focused professional development.","Distinction between indirect consultation versus direct service delivery models"
"PQ_CON-01_10","A","L1","Conceptual","The student confused consultant dependency with gradual withdrawal as coaching progresses toward teacher proficiency and independence.","Consultative coaching: capacity building through graduated consultant involvement reduction"
"PQ_CON-01_10","B","L2","Conceptual","The student mistook problem-centered case consultation for ongoing coaching that focuses on skill transfer rather than problem resolution.","Consultee capacity building coaching versus problem-specific consultation case work"
"PQ_CON-01_10","D","L3","Conceptual","The student conflated crisis intervention with systematic coaching addressing skill development through observation and feedback.","Crisis intervention acute response model versus consultative capacity-building coaching"
"PQ_CON-01_11","A","L1","Conceptual","The student confused resistance to process with the requirement for operationally defined behavioral targets in consultation.","Bergan behavioral consultation operational definition as prerequisite for measurement and observation"
"PQ_CON-01_11","C","L2","Procedural","The student assumed parent consultation must precede operational definition clarification in behavioral consultation.","Behavioral consultation problem definition stage versus parent involvement sequencing"
"PQ_CON-01_11","D","L2","Procedural","The student believed school psychologist observation should occur before obtaining operational behavioral definitions from the consultee.","Problem identification interview definition before observation design in behavioral consultation"
"PQ_CON-01_12","A","L2","Conceptual","The student assumed inconsistent descriptions primarily threaten collaboration rather than shared understanding of behavioral reality.","Communication clarity and shared perception versus collaborative relationship establishment"
"PQ_CON-01_12","B","L2","Conceptual","The student thought professional respect and expertise recognition suffers from inconsistent reporting rather than shared understanding.","Shared understanding of behavioral information versus professional respect within relationships"
"PQ_CON-01_12","D","L2","Lexical","The student conflated trustworthiness in maintaining consistency with clear communication and joint behavioral understanding.","Communication clarity shared understanding versus personal trustworthiness relationship traits"
"PQ_CON-01_13","A","L1","Procedural","The student assumed acknowledging and explaining environmental differences meets consultee-centered validation requirements without collaborative exploration.","Consultee-centered consultation validation plus collaborative inquiry versus unilateral explanation"
"PQ_CON-01_13","C","L1","Procedural","The student conflated validating while exploring with extended explanatory detail rather than collaborative mutual inquiry.","Collaborative exploration dialogue versus detailed validation explanation in consultee-centered entry"
"PQ_CON-01_13","D","L1","Procedural","The student confused positive recognition with validation while using explanatory language rather than true collaborative inquiry framing.","Collaborative inquiry framing versus validation with investigative terminology in consultee-centered consultation"
"PQ_CON-01_14","A","L2","Conceptual","The student thought excluding parent consultation ensures teacher implementation integrity rather than building teacher capacity.","Intervention integrity home-school coordination versus unilateral teacher responsibility"
"PQ_CON-01_14","C","L1","Conceptual","The student assumed teacher implementation will remain consistent without monitoring and feedback, overestimating intrinsic adherence.","Fidelity monitoring and specific feedback as intervention integrity requirement"
"PQ_CON-01_14","D","L2","Conceptual","The student believed intervention complexity increases teacher adherence by emphasizing importance rather than clarity and feedback.","Intervention integrity: clear procedures and monitoring versus complexity-driven importance perception"
"PQ_CON-01_15","A","L1","Procedural","The student assumed comprehensive program development and immediate implementation appropriately initiates consultation with skeptical staff.","Consultee-centered relationship building before implementing schoolwide initiatives"
"PQ_CON-01_15","C","L1","Procedural","The student thought presenting research and requiring training precedes understanding teacher concerns in resistant contexts.","Consultee-centered entry: understanding concerns before data presentation and training"
"PQ_CON-01_15","D","L2","Procedural","The student believed identifying supportive teachers and creating isolated pilots appropriately avoids addressing broader staff concerns.","Consultation entry broad stakeholder relationship building versus targeted early-adopter focus"
"PQ_CON-01_16","A","L1","Conceptual","The student confused collaborative consultation that values teacher expertise with consultant authority establishment through assessment.","Collaborative consultation equal expertise recognition versus expert-based assessment authority"
"PQ_CON-01_16","C","L2","Procedural","The student assumed standardized testing quickly identifies reading difficulty root causes before consultee perspective exploration.","Collaborative consultation teacher expertise first versus assessment before consultation"
"PQ_CON-01_16","D","L2","Procedural","The student believed comprehensive assessment should precede collaborative entry conversations in consultation.","Collaborative consultation entry conversation versus comprehensive assessment timing"
"PQ_CON-01_17","A","L1","Procedural","The student assumed interventions should be discontinued without examining implementation fidelity and student response data.","Bergan behavioral consultation treatment evaluation interview: fidelity analysis before modification"
"PQ_CON-01_17","C","L2","Procedural","The student thought special education evaluation appropriately follows intervention trial without analyzing fidelity or response data.","Consultation-before-referral comprehensive behavior analysis before special education evaluation"
"PQ_CON-01_17","D","L2","Procedural","The student assumed increasing intervention intensity occurs before examining whether original intervention was implemented with fidelity.","Behavioral consultation fidelity analysis before intervention intensity modification"
"PQ_CON-01_18","A","L1","Conceptual","The student conflated rapid direct intervention with consultee development, missing the core distinction between client and consultee focus.","Behavioral consultation student behavior analysis versus consultee-centered teacher capacity building distinction"
"PQ_CON-01_18","C","L2","Conceptual","The student assumed consultee-centered models require fewer meetings because they focus on consultation hours rather than data collection demands.","Data collection intensity and measurement across consultation models"
"PQ_CON-01_18","D","L1","Conceptual","The student conflated both models' targets while perceiving them as equivalent rather than distinguishing student behavior versus consultee growth.","Behavioral consultation client focus (student behavior) versus consultee-centered focus (teacher knowledge/confidence)"
"PQ_CON-01_19","A","L1","Conceptual","The student assumed the teacher demonstrates consultation progress and behavioral understanding when suggesting punitive office removal.","Function-based intervention approach versus punitive response focus in behavioral consultation"
"PQ_CON-01_19","C","L2","Procedural","The student believed special education placement is appropriate without completing functional behavioral assessment and consultative problem-solving.","Consultation-before-referral and functional assessment before special education consideration"
"PQ_CON-01_19","D","L2","Conceptual","The student confused teacher skepticism or limited understanding with unwillingness to engage in collaborative problem-solving processes.","Teacher consultation readiness assessment versus resistance and cooperation evaluation"
"PQ_CON-01_2","A","L1","Procedural","The student believed behavioral consultation can begin with intervention recommendations before establishing operational behavioral definitions.","Bergan behavioral consultation four-stage sequence: problem identification precedes intervention"
"PQ_CON-01_2","C","L2","Procedural","The student assumed background record review should occur before collaborative problem definition in behavioral consultation.","Problem identification interview as foundation step in behavioral consultation"
"PQ_CON-01_2","D","L2","Procedural","The student thought direct observation must precede operational definition establishment in behavioral consultation.","Operational definition specification before observation design in behavioral consultation"
"PQ_CON-01_20","A","L2","Conceptual","The student assumed parent observation inaccuracy explains home-school behavioral discrepancy rather than setting environmental differences.","Environmental context behavioral variation across settings versus parent perception accuracy"
