"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_DIV-01_1","A","L2","Procedural","Equated cultural adaptation with dropping core intervention elements (e.g., collaborative practice) rather than preserving active ingredients while adjusting framing and fit.","Functional cultural adaptation: maintain EBP core components while aligning language, goals, and social context"
"PQ_DIV-01_1","C","L3","Conceptual","Overgeneralized a cultural label into a trait stereotype about social skills, conflating group norms with uniform individual capability.","Bias reduction: avoid stereotype-driven intensity or eligibility decisions; use individual data and culturally informed hypotheses"
"PQ_DIV-01_1","D","L2","Conceptual","Treated manualized fidelity as permission to ignore mismatch in how skills are defined, valued, and practiced across contexts.","Implementation fidelity with cultural fit: adapt delivery without abandoning evidence-based mechanisms"
"PQ_DIV-01_2","A","L1","Lexical","Reversed definitional roles, swapping the construct centered on limits and lifelong learning for the label often critiqued as mastery-oriented.","Discriminating cultural humility (ongoing self-reflection, power awareness) from competence-as-endpoint framings"
"PQ_DIV-01_2","C","L1","Conceptual","Collapsed two distinct constructs by treating a broad educational movement as interchangeable with practitioner stance toward culture and power.","Construct precision: humility as professional stance vs multicultural education as structural/curricular approach"
"PQ_DIV-01_2","D","L1","Conceptual","Narrows both ideas into false roles (individual-only vs systems-only) instead of recognizing humility and competence discourse across ecological levels.","Ecological validity: culture processes operate at child, family, classroom, and system levels simultaneously"
"PQ_DIV-01_3","A","L2","Conceptual","Misread strength-based assessment as relaxing standards or expectations rather than broadening the database of assets that explain performance and intervention response.","Strength-based assessment: document protective factors and cultural funds of knowledge alongside needs—not instead of—objective problem identification"
"PQ_DIV-01_3","C","L1","Conceptual","Conflated asset focus with assessment avoidance, as if identifying strengths precludes documenting impairments when present.","Comprehensive evaluation: integrate strengths and weaknesses for eligibility, programming, and progress monitoring"
"PQ_DIV-01_3","D","L1","Conceptual","Reduced a clinical method to impression management with families rather than using strengths to inform valid decisions and partnerships.","Authentic family engagement vs performative cultural competence"
"PQ_DIV-01_4","A","L1","Conceptual","Used single-axis planning (one identity at a time), missing that compounded advantage/disadvantage emerges from interacting memberships.","Intersectional analysis: joint effects of race, class, disability, language, gender, and context"
"PQ_DIV-01_4","C","L2","Conceptual","Privately prioritized disability category over co-occurring contextual stressors and cultural demands that shape presentation and barrier removal.","Disability determination within context: avoid collapsing a child to one label when barriers are multidimensional"
"PQ_DIV-01_4","D","L2","Procedural","Proposed parallel siloed services per identity rather than integrated planning for overlapping needs and constraints.","Coordinated intervention design for interacting risk and protective factors"
"PQ_DIV-01_5","A","L1","Conceptual","Treated a Western individual-decision norm as non-negotiable CBT content instead of validating collectivist decision processes in goal selection.","Culturally informed CBT: align autonomy support with family/kin decision structures"
"PQ_DIV-01_5","C","L2","Conceptual","Declared an entire evidence family culturally incompatible rather than modifying alliance, homework, and stakeholder inclusion routines.","Model adaptation vs model rejection in culturally responsive practice"
"PQ_DIV-01_5","D","L2","Procedural","Over-individualized the case formulation while omitting stakeholders who legitimize change and sustain practice outside session.","CBT implementation with culturally valid accountability agents"
"PQ_DIV-01_6","A","L1","Conceptual","Set up a hierarchy that dismisses culturally mediated explanations of disability and help-seeking, increasing mistrust and procedural harm.","Cultural humility in consent conversations: validate worldview while clarifying educational rights and supports"
"PQ_DIV-01_6","C","L1","Procedural","Shortcut Child Find and comprehensive evaluation by documenting refusal without continued good-faith assessment and engagement obligations.","IDEA evaluation procedures and parent participation versus passive documentation"
"PQ_DIV-01_6","D","L1","Procedural","Bypassed shared decision-making and procedural safeguards for developing or changing educational programs.","IEP process integrity and informed consent; cannot impose placement absent required processes"
"PQ_DIV-01_7","A","L2","Conceptual","Reduced SES to a single direct cause of achievement, ignoring mediating mechanisms and within-group variability.","SES as proxy: specify access, stress, health, and opportunity pathways—not fatalism about individuals"
"PQ_DIV-01_7","C","L3","Conceptual","Attributed group achievement patterns to fixed ability rather than opportunity, measurement bias, and structural inequality.","Deficit ideology vs evidence on malleability, support, and bias in schooling outcomes"
"PQ_DIV-01_7","D","L2","Conceptual","Attributed racial/ethnic disparities entirely to SES, erasing discrimination, cultural loading, and institutional variance beyond economics.","Multi-factor equity analysis: racism, language, family capital, and school quality intersect with poverty"
"PQ_DIV-01_8","A","L2","Procedural","Sidelined caregivers to avoid stigma conversations, weakening hypothesis validity, consent, and culturally valid implementation.","Family-centered planning under privacy norms: shared goals with clear confidentiality limits"
