"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_LEG-03_1","A","L1","Conceptual","The student believed that accommodations are only provided through an IEP.","Section 504 eligibility criteria"
"PQ_LEG-03_1","C","L2","Conceptual","The student believed that separating the child is necessary for health protection.","Section 504 accommodation requirements"
"PQ_LEG-03_1","D","L3","Conceptual","The student believed that accommodations are contingent on parental financial contribution.","Section 504 of the Rehabilitation Act requirements"
"PQ_LEG-03_2","A","L1","Conceptual","The student believed Section 504 provides individualized instruction similar to IDEA.","Differences in service provision under Section 504 and IDEA"
"PQ_LEG-03_2","C","L2","Conceptual","The student believed that Section 504 imposes stricter requirements than IDEA.","Section 504 vs. IDEA reevaluation requirements"
"PQ_LEG-03_2","D","L2","Conceptual","The student believed that the services provided under IDEA and Section 504 are the same.","Differences in service provision under IDEA and Section 504"
"PQ_LEG-03_3","A","L2","Conceptual","The student believed that any medical diagnosis automatically qualifies for Section 504 protections.","ADA Amendments Act criteria for Section 504 eligibility"
"PQ_LEG-03_3","C","L1","Conceptual","The student believed that temporary conditions are not covered under Section 504.","ADA Amendments Act temporary condition coverage"
"PQ_LEG-03_3","D","L2","Conceptual","The student believed that allergies are categorically excluded from ADA protections.","ADA Amendments Act definition of disability"
"PQ_LEG-03_4","A","L2","Procedural","The student believed that IQ and academic scores alone determine 504 eligibility.","Section 504 evaluation criteria"
"PQ_LEG-03_4","C","L2","Conceptual","The student believed that a medical diagnosis is sufficient for 504 eligibility.","Section 504 eligibility criteria"
"PQ_LEG-03_4","D","L2","Procedural","The student believed IDEA eligibility must be determined before 504 consideration.","Section 504 eligibility determination process"
"PQ_LEG-03_5","A","L2","Conceptual","The student believed that the school psychologist has unilateral authority over 504 plans.","Collaborative nature of Section 504 plan development"
"PQ_LEG-03_5","B","L2","Conceptual","The student believed that only school staff are involved in 504 plan development.","Section 504 plan development team composition"
"PQ_LEG-03_5","D","L2","Conceptual","The student believed that a single teacher can independently manage a 504 plan.","Collaborative team approach in 504 plan development"
"PQ_LEG-03_6","A","L1","Conceptual","The student believed that 504 plans do not legally require accommodations like IEPs do.","Legal requirements for 504 plans versus IEPs"
"PQ_LEG-03_6","C","L2","Conceptual","The student believed that accommodations are temporary and dependent on academic progress.","Section 504 accommodation permanence"
"PQ_LEG-03_6","D","L3","Conceptual","The student believed that 504 plans are flexible and can be altered by school staff consensus.","Legal requirements of Section 504 plans"
"PQ_LEG-03_7","A","L2","Conceptual","The student believed that potential future health issues determine ADA eligibility.","ADA definition of disability based on past conditions"
"PQ_LEG-03_7","C","L2","Conceptual","The student's eligibility is based on the school's perception of potential illness.","ADA eligibility criteria for students in remission"
"PQ_LEG-03_7","D","L3","Conceptual","The student believed that any history of cancer automatically qualifies as a disability under ADA.","ADA disability qualification criteria"
"PQ_LEG-03_8","A","L1","Conceptual","The student believed that Section 504 and IDEA provide the same disciplinary protections.","Differences between Section 504 and IDEA discipline procedures"
"PQ_LEG-03_8","C","L1","Conceptual","The student believed that Section 504 offers no additional protections for students with disabilities.","Section 504 disciplinary procedures"
"PQ_LEG-03_8","D","L3","Conceptual","Students on a 504 plan are completely exempt from disciplinary actions.","Section 504 disciplinary procedures"
"PQ_LEG-03_9","B","L2","Conceptual","The student believed that a history of a disability qualifies as 'regarded as having a disability'.","ADA Amendments Act 'regarded as' criteria"
