"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_FAM-02_1","A","L1","Procedural","The student believed that any bilingual staff member can serve as an interpreter.","IDEA qualified interpreter requirement"
"PQ_FAM-02_1","C","L2","Procedural","The student believed that providing translated documents after the meeting fulfills IDEA requirements.","IDEA requirement for real-time interpretation"
"PQ_FAM-02_1","D","L2","Procedural","The student believed that a family member can serve as an official interpreter.","IDEA qualified interpreter requirement"
"PQ_FAM-02_2","A","L2","Conceptual","The student believed that parental requests must be immediately accommodated in the IEP.","IDEA procedural safeguards for IEP development"
"PQ_FAM-02_2","B","L2","Conceptual","The student believed that agreement from one parent is sufficient for IEP implementation.","IDEA parental consent requirements"
"PQ_FAM-02_2","D","L2","Conceptual","The student believed that any parental disagreement requires a new IEP development.","IDEA procedural safeguards for IEP disagreements"
"PQ_FAM-02_3","A","L2","Conceptual","The student believed that providing written information alone is sufficient for engagement.","Culturally responsive communication strategies"
"PQ_FAM-02_3","B","L2","Conceptual","The student believed that formal meetings are universally effective for all cultures.","Cultural competence in family engagement strategies"
"PQ_FAM-02_3","D","L3","Conceptual","The student believed that using standardized assessments without modification is culturally responsive.","Cultural adaptation of assessment practices"
"PQ_FAM-02_4","A","L1","Procedural","The student believed that educational needs override parental consent requirements.","IDEA parental consent requirement for evaluations"
"PQ_FAM-02_4","B","L2","Procedural","The student believed that documenting refusal ends the school's responsibility.","IDEA parental consent procedures"
"PQ_FAM-02_4","C","L2","Procedural","The student believed that a due process hearing can force parental consent.","IDEA parental consent procedures"
"PQ_FAM-02_5","B","L2","Conceptual","The student believed that emotional bonds are the primary factor in family resilience.","Family adaptability versus cohesion distinction"
"PQ_FAM-02_5","C","L2","Conceptual","The student believed that addressing individual pathology is key in family trauma cases.","Family systems theory application"
"PQ_FAM-02_5","D","L3","Conceptual","The student believed that aligning school and family goals is crucial for family functioning.","Family systems theory application"
"PQ_FAM-02_6","A","L2","Conceptual","The student believed that school professionals' expertise should override parental input.","Collaborative decision-making in IEP processes"
"PQ_FAM-02_6","C","L2","Conceptual","The student believed that minimal parental involvement is sufficient for effective partnerships.","IDEA parental involvement requirements"
"PQ_FAM-02_6","D","L2","Conceptual","The student believed that school and home responsibilities should be strictly separated.","Collaborative family-school partnership model"
"PQ_FAM-02_7","A","L1","Procedural","The student believed that IDEA mandates cannot be adapted for cultural considerations.","IDEA flexibility for cultural responsiveness"
"PQ_FAM-02_7","C","L1","Conceptual","The student believed that resistance to individual goals indicates a lack of educational value.","Cultural competence in IEP development"
"PQ_FAM-02_7","D","L3","Conceptual","The student believed that opting out of services is a valid solution to cultural discomfort.","Cultural competence in special education"
"PQ_FAM-02_8","A","L2","Conceptual","The student believed that personal notes are part of education records under FERPA.","FERPA definition of education records"
"PQ_FAM-02_8","B","L2","Conceptual","The student believed that raw test data and interpretations are not part of education records under FERPA.","FERPA definition of education records"
"PQ_FAM-02_8","D","L3","Conceptual","The student believed that parental access to records requires a signed release.","FERPA parental rights to access education records"
"PQ_FAM-02_9","A","L2","Conceptual","The student believed that parent advocacy should always override professional judgment in IEP decisions.","IDEA collaborative decision-making process"
"PQ_FAM-02_9","C","L2","Procedural","The student believed that asserting authority would resolve the disagreement.","collaborative problem-solving in IEP meetings"
"PQ_FAM-02_9","D","L2","Conceptual","The student believed that a compromise is always a fair resolution in IEP meetings.","IEP decision-making process and consensus-building"
"PQ_FAM-02_10","A","L1","Conceptual","The student believed that ethnic labels provide sufficient understanding of cultural backgrounds.","Cultural humility in diverse family engagement"
"PQ_FAM-02_10","C","L2","Conceptual","The student believed that cultural competence is achieved by acquiring complete factual knowledge.","dynamic nature of cultural humility"
"PQ_FAM-02_10","D","L2","Conceptual","The student believed that language use alone is sufficient to demonstrate cultural humility.","Cultural humility in communication practices"
"PQ_FAM-02_11","A","L1","Conceptual","The student believed the psychologist should unilaterally decide services for the student.","Collaborative transition planning process"
"PQ_FAM-02_11","C","L2","Conceptual","The student believed that only parents need to be informed about transition planning.","IDEA student involvement in transition planning"
"PQ_FAM-02_11","D","L3","Conceptual","The student believed that transition goals should be standardized by disability category.","Individualized Education Program (IEP) customization"
"PQ_FAM-02_12","B","L2","Conceptual","The student believed that the school psychologist's role is limited to making referrals.","comprehensive role of school psychologists in wraparound services"
"PQ_FAM-02_12","C","L2","Conceptual","The student believed the primary role of the psychologist is to protect academic time.","wraparound services implementation framework"
"PQ_FAM-02_12","D","L2","Conceptual","The student believed that the school psychologist is responsible for directly managing all services within the school.","wraparound services coordination role"
"PQ_FAM-02_13","A","L1","Conceptual","The student believed that documenting non-compliance is an appropriate first step.","Family engagement strategies in special education"
"PQ_FAM-02_13","B","L2","Conceptual","The student believed that logistical barriers are irrelevant for this family.","Family engagement barrier identification"
"PQ_FAM-02_13","D","L2","Conceptual","The student believed that mandatory parenting classes are an appropriate prerequisite for school services.","IDEA parental involvement requirements"
"PQ_FAM-02_14","A","L2","Conceptual","The student believed that avoiding labels entirely prevents stigma and is best practice.","Effective communication of diagnostic information"
"PQ_FAM-02_14","C","L2","Conceptual","The student believed that highlighting deficits helps parents grasp the seriousness of the diagnosis.","Effective communication strategies in IEP meetings"
"PQ_FAM-02_14","D","L2","Conceptual","The student believed that excluding the child from discussions would facilitate open communication.","IEP meeting participation guidelines"
"PQ_FAM-02_15","A","L1","Conceptual","The student believed that parental disagreement should halt all evaluation processes.","IDEA parental consent and evaluation procedures"
"PQ_FAM-02_15","C","L1","Procedural","The student believed that asserting authority would convince the parent.","Collaborative communication strategies with parents"
"PQ_FAM-02_15","D","L2","Procedural","The student believed that bypassing school involvement is a valid option.","IDEA parental consent and involvement requirements"
"PQ_FAM-02_16","A","L2","Conceptual","The student believed that attendance at meetings equates to meaningful engagement.","Family-school partnership engagement strategies"
"PQ_FAM-02_16","C","L2","Conceptual","The student believed that uniform communication ensures effective family engagement.","differentiated communication strategies in family engagement"
"PQ_FAM-02_16","D","L2","Conceptual","The student believed that schools should control the scope of family involvement.","Collaborative decision-making in family-school partnerships"
"PQ_FAM-02_17","A","L1","Conceptual","The student believed that any available person can serve as an interpreter regardless of qualifications.","Interpreter qualification and confidentiality standards"
"PQ_FAM-02_17","B","L2","Procedural","The student believed that using the same interpreter ensures better communication.","IEP meeting interpreter selection criteria"
"PQ_FAM-02_17","D","L2","Conceptual","The student believed that only professional interpreters can ensure confidentiality and accuracy.","IDEA regulations on interpreter qualifications"
"PQ_FAM-02_18","A","L2","Conceptual","The student believed that uniformity ensures fairness and effectiveness in parent training.","Cultural responsiveness in parent training programs"
"PQ_FAM-02_18","B","L2","Conceptual","The student believed that professional expertise alone ensures program effectiveness.","Collaborative family engagement strategies"
"PQ_FAM-02_18","D","L2","Conceptual","The student believed that changing child behavior alone is sufficient for effective parent training.","Ecological systems theory application"
"PQ_FAM-02_19","A","L2","Conceptual","The student believed that simply involving families in problem discussions indicates resilience partnerships.","Family-school partnership development principles"
"PQ_FAM-02_19","C","L2","Conceptual","The student believed that professional assessment alone ensures effective family support.","Family resilience partnership principles"
"PQ_FAM-02_19","D","L2","Conceptual","The student believed that critiquing family approaches is part of building resilience partnerships.","Family resilience partnership principles"
"PQ_FAM-02_20","A","L1","Conceptual","The student believed that demonstrating expertise through technical language is most effective.","Effective communication strategies with parents"
"PQ_FAM-02_20","C","L2","Conceptual","The student believed that emphasizing the diagnosis ensures parents grasp the seriousness of the issue.","Collaborative communication strategies in feedback sessions"
"PQ_FAM-02_20","D","L2","Procedural","The student believed that brevity is more important than thoroughness in feedback sessions.","Effective communication strategies in feedback sessions"
"item_040","A","L1","Conceptual","The student believed that cognitive engagement is not a recognized type of engagement.","Types of student engagement"
"item_040","B","L1","Conceptual","The student believed emotional engagement is not a recognized category.","Types of student engagement in educational settings"
"item_040","C","L1","Conceptual","The student believed that behavioral engagement is not a recognized type of engagement.","Types of student engagement in educational settings"
"item_040","E","L3","Lexical","The student believed that 'unused' could be a type of engagement.","Types of student engagement"
"item_040","F","L3","Lexical","The student believed that 'unused' is a valid category of engagement.","Types of student engagement in educational settings"
"item_192","B","L1","Conceptual","The student believed that socioeconomic status is a direct factor in student success or failure.","Understanding indirect influences on student outcomes"
"item_192","C","L3","Conceptual","The student believed that gender is a primary determinant of academic success.","understanding factors influencing student achievement"
"item_192","D","L2","Conceptual","The student believed that a standardized curriculum directly impacts individual student success.","Understanding of factors influencing student success"
"item_192","E","L3","Lexical","The student believed that any unused option could be a valid answer.","Understanding of test-taking strategies"
"item_192","F","L3","Lexical","The student believed that all options must be used in the question.","Understanding of multiple-choice question format"
