UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_MBH-02_1","Conflates psychodynamic unconscious exploration with evidence-based anxiety treatment for school-age children, underestimating the superiority of behavioral and cognitive approaches in childhood contexts.","treatment-assessment-confusion","When students choose Option A (psychodynamic therapy), ask: 'What is the evidence base for psychodynamic work in childhood social anxiety versus CBT?' Have them compare first-line recommendations from APA and SAMHSA guidelines. Then map CBT components (exposure, cognitive work) to this specific case of a fifth-grader refusing to raise her hand."
"PQ_MBH-02_10","Fails to distinguish between severity thresholds (when to refer due to acute risk) and scope limitations (treatment complexity exceeding school capacity), conflating communication with external providers as the primary referral driver rather than clinical criteria.","eligibility-criteria-confusion","Distractor A mentions severity but omits scope. Show students the three-part decision tree: (1) Severity—suicidal ideation, psychosis? (2) Intensity—does it need weekly individual therapy for months? (3) Scope—does the school have this expertise? Only Option B captures all three. Use a case: depression (school can handle) vs. bipolar disorder with medication management (needs specialist)."
"PQ_MBH-02_11","Confuses behavioral contingency systems (token economy) with exposure-based anxiety reduction or unstructured psychoeducation, missing the core mechanism of reinforcement-based behavior change.","indirect-direct-confusion","Distractor C (exposure therapy) is a common trap. Ask: 'In exposure therapy, what causes change?' (Habituation to feared stimulus.) 'In this token system, what causes change?' (Reinforcement for on-task behavior.) They are different mechanisms. Use a video clip showing a token economy, then ask students to narrate the mechanism (reinforcement, not habituation)."
"PQ_MBH-02_12","Drastically underestimates the session window required for brief intervention, believing 1-3 sessions can produce meaningful change in solution-focused therapy, suggesting misunderstanding of even 'brief' work.","tier-level-confusion","Distractor A is tempting because SFBT is 'brief.' Show the contrast: 1-3 sessions is crisis counseling (one emergency visit); 5-10 sessions is SFBT (concentrated weekly work). Have students research published SFBT case examples and count actual session numbers. Then discuss: why does even 'brief' therapy require 5-10 sessions?"
"PQ_MBH-02_13","Equates direct confrontation and external pressure with motivational interviewing, fundamentally misunderstanding MI's core principle of autonomy support and intrinsic motivation activation.","role-confusion","Distractor A misrepresents MI as directive pressure. Role-play: one counselor uses 'You must change' (distractor), another uses 'Tell me what brought you here' (MI). Ask: which created engagement? Then teach the four MI components (OARS: Open questions, Affirmations, Reflections, Summaries). Show how each creates autonomy rather than compliance."
"PQ_MBH-02_14","Believes forced speech through consequences is appropriate for selective mutism, reversing the evidence-based principle that coercion increases anxiety and blocks the graduated exposure necessary for speech development.","sequence-inversion","Distractor A suggests force—the opposite of shaping. Create a graduated exposure ladder (0=silent at desk, 3=one-word answer to teacher, 5=sentence in small group, 7=speaking in class). Ask: at what point would forcing speech backfire? Discuss how anxiety-driven avoidance requires building, not pressure."
"PQ_MBH-02_15","Assumes documentation can omit essential elements (date, duration, topics, response, plans) or contains non-essential verbatim transcripts, suggesting unclear understanding of what constitutes complete, defensible records.","label-retrieval","Distractor B (verbatim transcripts) sounds 'complete' but is actually excessive and privacy-problematic. Show a template: Date, Duration, Topics (3 bullet points), Student Response/Progress, Plan/Referral. Then show why verbatim transcripts aren't necessary: they're memory-intensive and legally risky if sensitive material is transcribed. Have students audit their own notes."
"PQ_MBH-02_16","Treats confidentiality as an absolute shield against safety assessment, misunderstanding that safety concerns override confidentiality and mandate assessment and selective disclosure.","consent-confidentiality-confusion","Distractor A is seductive because it promises the student her disclosure won't be shared. But safety changes that promise. Ask: 'If a student discloses peer violence, does confidentiality prevent reporting to parents?' (No.) Teach the exception: 'Confidentiality is maintained, except when a student or others face safety risk.' Then walk through the scenario: assess first, then decide disclosure scope."
"PQ_MBH-02_17","Misidentifies Acceptance and Commitment Therapy as a standard exposure-avoidance or cognitive-change-only approach, missing ACT's distinctive integration of acceptance, mindfulness, and values-based action.","model-conflation","Distractors A, C, D each describe separate pieces (elimination, unconscious, cognition) but ACT uniquely marries acceptance with values. Show the ACT hexagon: mindfulness, acceptance, values, committed action, self-as-context. Then ask: 'How is accepting anxiety while pursuing values different from eliminating anxiety?' Use an example: student with social anxiety accepts nervousness, commits to joining the art club (valued goal)."
"PQ_MBH-02_18","Confuses lecture-only instruction with interactive practice, or assumes students can apply coping skills without rehearsal, underestimating the necessity of hands-on skill practice in group intervention.","component-confusion","Distractor C (lecture-only) sounds educational but skips practice. Ask: 'If the group only teaches breathing but doesn't practice it, will students remember it under stress?' (Rarely.) Teach the evidence: psychoeducation + practice + feedback = skill acquisition. Then design a 30-minute group module: 5 min psychoed, 20 min skill practice (breathing, then apply to student's real scenario), 5 min debrief."
