UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_CON-01_19","Teachers' preference for immediate punitive removal reflects incomplete uptake of function-based problem-solving principles, indicating insufficient consultee understanding of antecedent-consequence relationships and behavioral function analysis.","overgeneralization","Distractor A conflates surface resistance with lack of understanding. Teach explicitly: 'Sending to office = consequence-only thinking. We need function: Why is he disruptive?' Use behavior chain: Antecedent → Behavior → Consequence. Ask: 'What does the office removal tell us about function? (Nothing!) What do we need instead?'"
"PQ_CON-01_2","Students skip the problem identification stage and jump directly to intervention recommendation, underestimating the foundational role of operational behavioral definition in all downstream consultation work.","tier-level-confusion","Distractors B, C, D each defer the core task. Correct answer (B) = define first. Sequence poster: 'Problem Identification → Problem Analysis → Intervention → Evaluation.' Yellow highlight box 1. Drill: 'Before any intervention, say: \"What exactly are we measuring?\"'"
"PQ_CON-01_20","Students misinterpret cross-setting behavioral variation as evidence of parental observation errors or neurological disorder rather than recognizing predictable environmental antecedent-consequence differences across home and school.","developmental-stage-mismatch","Distractor A blames observer; distractor B pathologizes. Correct answer (C) = environment explains variation. Teach: 'Home has different rules, people, activities, structure. School is totally different. Same kid, different reinforcements. That's normal.' Compare: Does a dog obey a friend like its owner? (Skill = context-dependent, not disorder.)"
"PQ_CON-01_3","Students fail to recognize the simultaneous home-school coordination of CBC, instead conflating it with standard behavioral consultation or consultee-centered models that may involve parents sequentially.","population-confusion","Distractors A, C, D all involve parents but lack the triad structure. Correct answer (B) specifies Sheridan CBC. Teach: 'CBC = 3-way meeting. Home, school, consultant. Same problem, same goals, same intervention. Not sequential. Not just the teacher.' Use venn diagram showing overlap of home-school goals in CBC."
"PQ_CON-01_4","Students respond to teacher hopelessness with intensification or referral instead of using validation and exploratory dialogue to restore collaborative problem-solving capacity and objective perspective.","purpose-confusion","Distractors A, C, D escalate or exit. Correct answer (B) = validate + explore. Teach: 'Hopelessness = consultee barrier (Caplan!). Your job: restore confidence. Ask: \"Of everything you've tried, what came closest? What got in the way?\" Revive, don't replace.'"
"PQ_CON-01_5","Students confuse skill-building with specific classroom behavior management techniques, failing to recognize antecedent-consequence-function analysis as the primary purpose of behavioral consultation problem analysis.","treatment-assessment-confusion","Distractors A, C, D are off-topic or wrong sequence. Correct answer (B) = function-based analysis. Teach: 'Problem analysis = detective work: Why is the behavior happening? Antecedents? Consequences? Function? Only then design an intervention that addresses the function.'"
"PQ_CON-01_6","Students struggle to distinguish consultee-centered mental health consultation (teacher beliefs, internal barriers, confidence) from behavioral consultation, conflating the target-of-change dimension.","scope-overgeneralization","Distractors A, B, D reference behavioral/organizational/RTI frameworks. Correct answer (C) pinpoints Caplan model's belief-and-barrier focus. Teach: 'Caplan = What's in the teacher's head? Beliefs? Confidence? Blocks? Bergan = What's the student doing? Behavior? Antecedents? Function?'"
"PQ_CON-01_7","Students prioritize data collection and evidence-based recommendations before establishing collaborative trust, underestimating the relational foundation required in high-stakes or controversial change contexts.","consent-confidentiality-confusion","Distractors A, C, D all jump to technical tasks. Correct answer (B) = relationship first in controversy. Teach: 'In a controversy, your first 15 minutes is listening: What's the teacher concerned about? What happened before? Why did it fail? Then you can talk research.'"
"PQ_CON-01_8","Students default to direct contradiction or information provision when teachers make attributional errors, failing to use Socratic questioning and relational safety to shift ecological thinking collaboratively.","validity-reliability-confusion","Distractors A, D are confrontational or passive. Correct answer (B) = guided discovery. Teach: 'Ask, don't tell. \"Tell me about the last time he acted out. What happened right before? Did the same antecedent always lead to the behavior, or did it depend on something?\" Let the teacher rediscover context.'"
"PQ_CON-01_9","Students view conjoint behavioral consultation's primary advantage as meeting efficiency rather than the cross-setting intervention coordination and shared goal-alignment that produces intervention integrity.","norm-criterion-confusion","Distractors A, B, D emphasize meeting reduction or collaboration tone; miss shared implementation. Correct answer (C) = coordinated understanding + fidelity. Teach: 'CBC wins because both home and school use the SAME plan. Same rules, same rewards, same consequences. That consistency is why it works.'"
