"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ACA-06_1","This is a Recall item because the student must retrieve the direct textbook definition of classical conditioning outcomes: pairing a neutral stimulus with an unconditioned stimulus results in the neutral stimulus eliciting the conditioned response.","Retrieval of Pavlovian classical conditioning outcome definition when neutral stimulus is paired with food stimulus"
"PQ_ACA-06_2","This is a Recall item because the student must retrieve the definition of positive reinforcement from Skinner operant conditioning theory without any case scenario context.","Retrieval of positive reinforcement definition from Skinner operant conditioning theoretical framework perspective"
"PQ_ACA-06_3","This is a Recall item because the student must retrieve the definition of continuous reinforcement schedule based on a straightforward behavioral classroom scenario without interpretation.","Identification of continuous reinforcement schedule from teacher provided praise reinforcement pattern description"
"PQ_ACA-06_4","This is a Recall item because the student must retrieve factual knowledge about the behavioral effects of variable ratio reinforcement schedules without interpretation of context.","Retrieval of variable ratio schedule behavioral effects producing high steady extinction resistant responding patterns"
"PQ_ACA-06_5","This is a Recall item because the student must retrieve the specific mechanism of negative reinforcement in increasing target behavior without requiring contextual application or interpretation.","Retrieval of negative reinforcement mechanism definition removing aversive stimulus to increase behavior frequency"
"PQ_ACA-06_6","This is a Recall item because the student must retrieve the definition of extinction in operant conditioning theory without scenario context or application or interpretation.","Retrieval of extinction procedure definition cessation of reinforcement producing behavioral frequency decrease response"
"PQ_ACA-06_7","This is a Recall item because the student must retrieve the definition and purpose of ABAB reversal design in single case research methodology without application.","Retrieval of ABAB reversal design definition alternating baseline intervention conditions to demonstrate control"
"PQ_ACA-06_8","This is a Recall item because the student must retrieve the definition of multiple baseline design across behaviors without requiring scenario interpretation or analysis or synthesis.","Retrieval of multiple baseline design definition staggering intervention across behaviors without reversal phase"
"PQ_ACA-06_9","This is a Recall item because the student must retrieve the definition and primary purpose of Functional Behavior Assessment without scenario application or contextual interpretation.","Retrieval of Functional Behavior Assessment definition identifying antecedents functions maintaining problem behaviors"
"PQ_ACA-06_10","This is a Recall item because the student must retrieve the four established behavioral functions of problem behavior in school settings framework without scenario interpretation.","Retrieval of four behavioral function categories attention escape tangible access automatic sensory reinforcement"
"PQ_ACA-06_11","This is a Recall item because the student must retrieve the definition of differential reinforcement of other behaviors procedure without scenario context or application or interpretation.","Retrieval of DRO procedure definition reinforcing absence of problem behavior during specified time intervals"
"PQ_ACA-06_12","This is a Recall item because the student must retrieve the definition of behavioral generalization across settings people or stimuli without application or contextual interpretation.","Retrieval of behavioral generalization definition occurrence across different settings people or stimuli contexts"
"PQ_ACA-06_13","This is an Application item because the student must interpret the function of disruptive behavior from context and select an intervention matching that specific function.","Application of function-based intervention logic to attention motivated classroom disruption by teaching appropriate replacement"
"PQ_ACA-06_14","This is a Recall item because the student must retrieve the definition of token economy systems without requiring situational analysis or interpretation of scenario context.","Retrieval of token economy definition using conditioned reinforcers exchangeable for backup reinforcers items"
"PQ_ACA-06_15","This is a Recall item because the student must retrieve the definition of the Premack Principle without applying it to a specific scenario or interpretation.","Retrieval of Premack Principle definition using preferred activities to reinforce less preferred activities"
"PQ_ACA-06_16","This is a Recall item because the student must retrieve the key mechanism of social learning theory and modeling without scenario interpretation or application analysis.","Retrieval of social learning theory mechanism observational learning and behavioral modeling acquisition processes"
"PQ_ACA-06_17","This is a Recall item because the student must retrieve the definition of most-to-least prompting hierarchy procedure without case application or scenario interpretation or analysis.","Retrieval of most-to-least prompt hierarchy definition fading from most supportive less intrusive prompts"
"PQ_ACA-06_18","This is a Recall item because the student must retrieve the definition of shaping as reinforcing successive approximations without scenario context or interpretation or analysis.","Retrieval of shaping procedure definition reinforcing successive approximations toward terminal target behavior criteria"
"PQ_ACA-06_19","This is a Recall item because the student must retrieve the definition of behavioral chaining for teaching complex multi step sequences without interpretation or scenario.","Retrieval of behavioral chaining definition linking discrete behaviors into complex sequential behavioral task chains"
"PQ_ACA-06_20","This is an Application item because the student must interpret the specific pattern of observed behavior clustering during difficult academic tasks to identify escape avoidance function.","Identification of escape avoidance function inferred from problem behavior clustering during difficult academic demands"
"PQ_ACA-06_21","This is an Application item because the student must recognize the specific combination of fixed ratio schedule and token economy system from behavioral scenario context.","Recognition of fixed ratio reinforcement schedule combined with token economy system in sticker exchange arrangement"
"PQ_ACA-06_22","This is an Application item because the student must evaluate competing behavioral definitions to identify replacement behavior serving the identical function appropriately and very effectively.","Discrimination of function matched replacement behavior from superficially similar behaviors incompatible with disruption"
"PQ_ACA-06_23","This is a Recall item because the student must retrieve the definition of stimulus control in operant behavior without scenario application or interpretation or analysis.","Retrieval of stimulus control definition behavior occurring reliably with discriminative stimuli paired reinforcement"
"PQ_ACA-06_24","This is an Application item because the student must interpret the specific escape avoidance motivation and design intervention incorporating task modification support and replacement behavior.","Design of escape function intervention modifying academic demand providing instructional support teaching appropriate help seeking"
"PQ_ACA-06_25","This is a Recall item because the student must retrieve the definition of response cost as a behavior reduction procedure without scenario context interpretation analysis.","Retrieval of response cost definition removing previously earned reinforcer contingent upon problem behavior occurrence"
"PQ_ACA-06_26","This is a Recall item because the student must retrieve the goal and scope of PBIS Tier 1 universal intervention without situational analysis or interpretation.","Retrieval of PBIS universal tier goal establishing positive predictable school wide behavioral environment"
"PQ_ACA-06_27","This is an Application item because the student must evaluate which specific contract elements should be included for effective behavior intervention planning and implementation details.","Identification of required behavior contract components target behavior criteria conditions reinforcement contingencies details"
"PQ_ACA-06_28","This is an Application item because the student must evaluate specific conditions for maintaining behavior after intervention withdrawal using intermittent reinforcement and natural environmental consequences.","Evaluation of maintenance strategies combining intermittent reinforcement schedules with natural environmental consequences"
