"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ETH-01_1","A","L1","Conceptual","The student believed confidentiality is an absolute principle with no exceptions for mandatory reporting situations.","NASP mandatory reporting exception to confidentiality"
"PQ_ETH-01_1","B","L2","Procedural","The student thought contacting the parent first is appropriate before fulfilling the mandatory reporting duty.","Mandated reporter independence from administrative chain"
"PQ_ETH-01_1","D","L2","Procedural","The student assumed the principal should decide whether to report abuse instead of the psychologist reporting directly.","School psychologist direct reporting obligation vs. delegation"
"PQ_ETH-01_10","A","L2","Conceptual","The student believed parental signature alone satisfies informed consent without requiring comprehension and understanding.","Informed consent comprehension vs. pro forma signature"
"PQ_ETH-01_10","C","L1","Conceptual","The student thought schools have blanket authority to conduct psychological services without any consent requirement.","Parental consent and informed consent requirements"
"PQ_ETH-01_10","D","L2","Procedural","The student assumed consent is needed only for formal evaluations but not for classroom interventions.","Scope of consent requirements across service types"
"PQ_ETH-01_11","A","L1","Procedural","The student thought providing advice without full assessment data is acceptable in time-limited consultation.","Competence boundary and assessment adequacy standard"
"PQ_ETH-01_11","C","L2","Procedural","The student assumed recommending evidence-based interventions addresses the core ethical concern about limited information.","Honest acknowledgment of limitation vs. generic recommendations"
"PQ_ETH-01_11","D","L3","Procedural","The student believed deferring consultation without accountability fulfills the ethical obligation.","Consultation competence and professional responsibility"
"PQ_ETH-01_12","A","L1","Conceptual","The student thought bartering is ethical if it helps a family and improves access to services.","NASP prohibition on bartering and conflict of interest"
"PQ_ETH-01_12","C","L1","Conceptual","The student believed administrative approval transforms a problematic boundary arrangement into an ethical one.","Administrative approval does not override ethical boundary standards"
"PQ_ETH-01_12","D","L2","Conceptual","The student assumed reduced-fee service maintains ethical boundaries equivalent to declining barter.","Barter prohibition vs. legitimate fee-based service arrangement"
"PQ_ETH-01_13","A","L1","Conceptual","The student thought minimizing contact is a sufficient response to burnout affecting competence.","Burnout impact on competence and ethical disclosure obligation"
"PQ_ETH-01_13","C","L1","Conceptual","The student believed concealing burnout from supervisors allows continuation of practice without compromise.","Ethical obligation to disclose competence limitations"
"PQ_ETH-01_13","D","L3","Procedural","The student assumed immediate resignation without notice is the appropriate response to burnout.","Professional transition responsibility and continuity of care"
"PQ_ETH-01_14","B","L2","Procedural","The student thought rapid decision-making bypasses the need for careful ethical reasoning.","Systematic ethical decision-making process vs. expedient choices"
"PQ_ETH-01_14","C","L2","Procedural","The student assumed consulting only a lawyer provides sufficient ethical guidance.","Multidisciplinary ethical consultation vs. legal-only consultation"
"PQ_ETH-01_14","D","L3","Procedural","The student believed making unilateral decisions avoids complications of collaborative decision-making.","Consultation and documentation in ethical decision-making"
"PQ_ETH-01_15","A","L1","Conceptual","The student thought duty to warn does not override confidentiality for serious threats of violence.","Duty to warn/protect exception to confidentiality"
"PQ_ETH-01_15","C","L1","Procedural","The student assumed reporting only to the principal satisfies the duty to warn and protect obligation.","Complete notification requirement for duty to warn"
"PQ_ETH-01_15","D","L2","Conceptual","The student believed a violence threat is a minor matter that does not require formal reporting.","Risk assessment and reporting standard for threats"
"PQ_ETH-01_16","A","L2","Procedural","The student thought automatic refusal to grandparents is the correct FERPA procedure without verification.","FERPA custody verification and presumptive parent determination"
"PQ_ETH-01_16","C","L1","Conceptual","The student believed non-custodial relatives have automatic access to FERPA records.","FERPA presumptive parent and custodial rights"
"PQ_ETH-01_16","D","L2","Conceptual","The student assumed the student's own consent overrides parental rights regardless of age.","Parental vs. student consent rights under FERPA for minors"
"PQ_ETH-01_17","A","L1","Procedural","The student thought minimal oversight allows trainees to practice independently.","Active supervision standard for trainee competence"
"PQ_ETH-01_17","C","L2","Procedural","The student assumed supervision is reactive rather than proactive and continuous.","Proactive ongoing supervision vs. reactive crisis response"
"PQ_ETH-01_17","D","L2","Procedural","The student believed delegating most work reduces supervisor responsibility for trainee oversight.","Supervisor responsibility for trainee practice quality"
"PQ_ETH-01_18","A","L2","Conceptual","The student thought avoiding any possibility of bias requires completely declining committee service.","Management of conflicts vs. absolute avoidance"
"PQ_ETH-01_18","C","L1","Conceptual","The student assumed committee goals override individual student advocacy obligations.","Dual role priority: student advocacy vs. committee goals"
"PQ_ETH-01_18","D","L1","Conceptual","The student believed advocacy for one's own students compromises committee objectivity.","Transparent conflict management vs. suppressed advocacy"
"PQ_ETH-01_19","A","L1","Procedural","The student thought automatic subpoena compliance eliminates notification requirements.","FERPA notification obligation concurrent with subpoena compliance"
