"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_CON-01_1","This is an Application item because the stem presents a teacher objectivity barrier and asks for the model's primary goal in that scenario. The student must map case details to Caplan's target of changing consultee factors, not student behavior.","Model-goal discrimination in Caplan consultation: identifying consultee internal-barrier focus versus student-focused intervention or referral pathways"
"PQ_CON-01_2","This is an Application item because it asks for the first action in an initial meeting, requiring sequence judgment rather than term recall. The student must prioritize operational problem definition before records review, observation, or intervention advice.","Behavioral consultation sequencing: prioritizing operational target-behavior definition during problem identification before analysis and intervention planning"
"PQ_CON-01_3","This is an Application item because the learner must classify a described multi-party process, not recall an isolated definition. Correct responding requires recognizing simultaneous teacher-parent participation as the defining feature.","Identification of conjoint behavioral consultation from scenario cues involving coordinated parent-teacher-consultant intervention planning across settings"
"PQ_CON-01_4","This is an Application item because the consultant must choose a response to teacher discouragement in context, not name a model. The decision hinges on relationship-preserving exploration of attempted strategies before escalation.","Consultee self-efficacy barrier management: validating frustration while eliciting prior strategy analysis to restore collaborative problem solving"
"PQ_CON-01_5","This is a Recall item because it asks directly for the purpose of the problem analysis stage. The student retrieves what that phase is for rather than selecting among competing actions in a case.","Knowledge of problem analysis function in behavioral consultation: antecedent-consequence-function data gathering to guide intervention design"
"PQ_CON-01_6","This is an Application item because the stem describes consultant behavior and asks which model it aligns with. The student applies model distinctions to a teacher-belief-focused interaction before student-level planning.","Model recognition of consultee-centered mental health consultation when the consultant targets teacher beliefs, assumptions, and capacity drivers"
"PQ_CON-01_7","This is an Application item because the question asks for the most important first step under a controversial initiative context. The student must prioritize trust-building entry actions over immediate data collection or intervention pitching.","Collaborative entry prioritization in resistant contexts: establishing teacher perspective-taking and alliance before technical consultation tasks"
"PQ_CON-01_8","This is an Application item because the consultant must choose a tactful strategy for attributional blame while preserving collaboration. It requires selecting guided inquiry over confrontation, withdrawal, or passive information transfer.","Relationship-preserving cognitive reframing through consultative questioning about antecedents, context variability, and effective conditions"
"PQ_CON-01_9","This is an Application item because the learner evaluates relative advantages of CBC across home and school conditions. The choice depends on understanding cross-setting coordination and integrity effects, not procedural trivia.","Core advantage of conjoint consultation: shared cross-setting goals and coordinated implementation that improves intervention integrity"
"PQ_CON-01_10","This is an Application item because it asks the student to interpret a coaching sequence with fading support. Correct response requires linking observable steps to capacity-building principles rather than crisis or case-label terms.","Skill transfer construct in consultation: coached implementation feedback with gradual release to build consultee independent competence"
"PQ_CON-01_11","This is an Application item because the student must evaluate why a vague teacher statement blocks progress in the process. The decision requires applying operational-definition criteria to determine readiness for measurement.","Operational definition requirement in behavioral consultation: translating global labels into observable, measurable target behavior statements"
"PQ_CON-01_12","This is an Application item because it asks which relationship quality is implicated by inconsistent behavior descriptions. The student must infer the specific collaborative breakdown from interaction evidence.","Consultation relationship diagnostics: identifying communication and shared-understanding failures from inconsistent behavior narratives"
"PQ_CON-01_13","This is an Application item because it asks for the best first response to a parent-school discrepancy in live dialogue. The student must integrate validation with hypothesis-generating inquiry about contextual differences.","Initial discrepant-report response skill: validate caregiver perspective while jointly exploring environment-dependent behavior variation"
