batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
8,11,PQ_SWP-03_11,SWP-03,A school implementing an evidence-based program shows no improvement in student outcomes. What should the school psychologist investigate first?,Whether the program is truly evidence-based,Whether the program is being implemented with adequate fidelity,Whether students are just not capable of improvement,Whether the program needs to be abandoned immediately,,,B,Lack of outcomes often reflects implementation quality rather than program validity; fidelity assessment is the first investigation. Option A may be unnecessary. Option C is incorrect. Option D is premature.,,
8,12,PQ_SWP-03_12,SWP-03,How should schools balance fidelity to an evidence-based program with adaptations for local context?,Maintain 100% fidelity; no adaptations are permitted,"Adapt extensively; fidelity is not necessary, which does not apply in this clinical context.",Maintain core components and essential elements while allowing superficial adaptations for cultural relevance,Make changes based on individual teacher preference,,,C,Research supports maintaining core components while adapting delivery to be culturally responsive. Option A is overly rigid. Option B. risks losing effectiveness. Option D lacks systematic approach.,,DISTRACTOR_B_EXPANDED
8,13,PQ_SWP-03_13,SWP-03,A CASEL-identified SEL program shows strong evidence in research but is expensive. How should the school psychologist advise the district?,"Cost alone should determine adoption, without adequate clinical justification.","Consider cost in context of evidence strength, effect sizes, student population match, and potential long-term savings (graduation, employment)","Cost-effectiveness means least expensive option, without adequate clinical justification.","Expensive programs are always more effective, which does not apply in this clinical context.",,,B,Cost matters but must be balanced against evidence quality and projected impact; cost-effectiveness considers both cost and benefit. Option A is insufficient. Option C is incorrect. Option D is incorrect.,PARTIAL_FIX|margin=51,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,14,PQ_SWP-03_14,SWP-03,"What does it mean when a program shows ""promising"" evidence under ESSA standards?",The program is fully effective,Research shows potential but more rigorous evidence is needed,The program is ineffective,The program has not been studied,,,B,"""Promising"" indicates potential effectiveness with a research rationale but fewer rigorous studies than ""strong"" or ""moderate"" evidence. Option A is incorrect. Option C is incorrect. Option D is incorrect.",,
8,15,PQ_SWP-03_15,SWP-03,A school is evaluating whether to continue an expensive schoolwide intervention with mixed results. What information should guide the decision?,"Seniority of the decision-maker, without adequate clinical justification.","Fidelity level, student outcomes, cost-effectiveness, equity of effects, and sustainability potential","Whether the program is popular with staff, which does not apply in this clinical context.","Cost alone, which is not supported by the available evidence.",,,B,Data-based decision-making considers multiple factors beyond cost. Option A is inappropriate. Option C is insufficient. Option D is insufficient.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,16,PQ_SWP-03_16,SWP-03,How do schools ensure equity when implementing evidence-based programs?,Use the same program for all students regardless of needs,Examine whether program effects are distributed equitably,Exempt certain students from programs believed to be more beneficial,Assume evidence-based programs automatically ensure equity,,,B,Equitable implementation requires examining whether benefits reach all students; disaggregated data reveal disparities requiring attention. Option A is incorrect. Option C is inequitable. Option D is incorrect.,,CORRECT_B_SHORTENED(semicolon trim)
8,17,PQ_SWP-03_17,SWP-03,"What is a ""logic model"" in program evaluation?","A predetermined outcome for a program, without adequate clinical justification.",A visual representation of how a program is hypothesized to create change: inputs → activities → outputs → outcomes,"A list of program costs, which is not supported by the available evidence.",An evaluation tool used only for large national programs,,,B,"Logic models map the causal pathway from program activities to intended outcomes, clarifying how the program produces effects. Option A is incomplete. Option C is not a logic model. Option D is incorrect; logic models apply across contexts.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
8,18,PQ_SWP-03_18,SWP-03,"A school is implementing a new evidence-based reading program. After 8 weeks, teachers report implementation is challenging. What is the appropriate response?",Abandon the program immediately,Acknowledge the implementation curve,Reduce expectations for implementation fidelity,Wait until teachers naturally improve,,,B,Initial implementation challenges are expected; support and coaching are part of effective implementation stages. Option A is premature. Option C may compromise program effectiveness. Option D is passive.,,CORRECT_B_SHORTENED(semicolon trim)
8,19,PQ_SWP-03_19,SWP-03,"How should schools approach ""sustainability"" of evidence-based programs?",Assume programs sustain themselves without gathering data to support or refute that interpretation.,"Plan for sustainability from implementation start: identify resources, develop staff capacity, integrate into existing systems","Sustainability is not a school responsibility, which does not apply in this clinical context.",Sustain programs by making them increasingly complex,,,B,"Sustainability requires intentional planning including resource allocation, capacity-building, and institutional integration. Option A is incorrect. Option C is incorrect. Option D is counterproductive.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
8,20,PQ_SWP-03_20,SWP-03,"When recommending an evidence-based program to school leadership, which information is essential?","Only the program's evidence base, without adequate clinical justification.","Evidence base, effect size, local context fit, implementation requirements, costs, and potential benefits for the student population","The program's popularity, which is not supported by the available evidence.","Cost considerations only, without weighing evidence of effectiveness or contextual fit.",,,B,"Comprehensive recommendations address evidence, feasibility, context, and expected impact on the school's specific students. Option A is incomplete. Option C is insufficient. Option D is insufficient.

---",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
