UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_SWP-04_19","Students apply static annual data review cycles or reactive problem-triggered reviews rather than establishing proactive monthly or quarterly review schedules as the backbone of continuous system improvement in MTSS.","sequence-inversion","Choice A shows students accepting annual review timing, misunderstanding that responsiveness requires frequent cycles. Choice C reveals students viewing data as compliance documentation rather than instructional guidance, suggesting a fundamental purpose-confusion. Choice D shows students restricting review to special education gatekeeping moments, treating data as episodic. Establish a school calendar showing quarterly data review meetings tied to seasonal intervention adjustments (August: baseline/tier placement; November: first check-in; February: mid-year analysis; May: growth and re-planning), then have students map a specific intervention question to the most recent review cycle and describe what adjustment would be evidence-based."
"PQ_SWP-04_2","Students conflate the initial identification purpose of universal screening with formal special education referral criteria, believing that screening results alone constitute sufficient evidence for evaluation eligibility determination.","eligibility-criteria-confusion","Choice A shows students mixing screening purpose with special education referral, indicating they don't distinguish between early-alert tools and legal evaluation triggers. Choice C reveals students using achievement ranking instead of benchmark comparison, treating screening as placement ranking rather than threshold identification. Choice D shows students excluding students from general education based on screening results, conflating low performance with placement decisions. Create a decision tree showing screening outcome → 'student below benchmark' → MTSS tier placement (with benchmarks based on normative data like 10th percentile), explicitly separated from 'refer for special education evaluation' (which requires MTSS response data AND suspected disability). Use a case study where a student is identified below benchmark in screening but shows robust RTI response, so no referral is made."
"PQ_SWP-04_20","Students abandon MTSS in the face of stakeholder resistance or force implementation without collaborative input, rather than recognizing implementation barriers as opportunities for targeted professional development on MTSS philosophy and evidence.","treatment-assessment-confusion","Choice A shows students treating resistance as reason to quit rather than signal for intervention. Choice C reveals students implementing without buy-in, suggesting they don't understand implementation science principles. Choice D shows students lowering standards as problem-solving, conflating teacher concerns with curriculum adequacy. Teach change management by presenting actual teacher objections ('We need students ready first'), then model a professional development response: show MTSS research on early intervention benefits, disaggregate data from the school showing that early support prevents later failure, and establish teacher learning communities where they design Tier 2 interventions collaboratively rather than top-down."
"PQ_SWP-04_3","Students react to widespread screening failure by immediately referring all students to special education or automatically placing all below-benchmark students in Tier 2, skipping the critical diagnosis that poor screening performance indicates Tier 1 instructional quality issues.","tier-level-confusion","Choice A shows students mass-referencing, indicating they don't understand that 40% failure suggests systemic rather than individual problems. Choice C reveals students automatic tier placement without Tier 1 improvement, showing they treat universal and targeted tiers as disconnected. Choice D shows students accepting failure as normal, indicating they lack data-interpretation skills or system awareness. Use a decision algorithm: IF screening failure is widespread (e.g., >30% below benchmark) THEN diagnose Tier 1 first (fidelity observation, curriculum review, teacher skill audit) BEFORE tier movement. Role-play with a reading assessment showing 40% of first-graders below benchmark, have students walk through observation of core reading lessons, identify gaps (e.g., insufficient phonemic awareness time, non-explicit instruction), and design Tier 1 improvements before reconsidering tier movement."
"PQ_SWP-04_4","Students rely on subjective criteria (teacher preference, parental request, chronological age) for tier decisions rather than anchoring movement to objective data integration (screening benchmark status plus Tier 1 quality and response evidence).","norm-criterion-confusion","Choice A shows students prioritizing teacher request without data, indicating they don't know decision criteria. Choice C reveals students using age as automatic placement rule, suggesting they conflate developmental stages with intervention need. Choice D shows students treating parental request as equivalent to data, conflating stakeholder voice with evidence. Build a tier-movement checklist: (1) Universal screening score below established benchmark? (2) Has student received quality Tier 1 instruction for at least 8 weeks? (3) Does progress monitoring show insufficient response? Only if all three are yes does Tier 2 placement proceed. Have students apply this to three case studies: (a) teacher request but screening adequate; (b) screening low but Tier 1 not yet quality-delivered; (c) screening low, Tier 1 quality confirmed, response data absent."
"PQ_SWP-04_5","Students confuse progress monitoring frequency and purpose, believing annual or compliance-driven assessments capture the dynamic adjustment function that requires frequent, systematic measurement-based decision-making during active intervention.","indirect-direct-confusion","Choice A shows students accepting annual measurement, not recognizing that frequent measurement enables intervention adjustment. Choice C reveals students conflating attendance record-keeping with progress monitoring, indicating complete concept confusion. Choice D shows students treating measurement as accountability rather than instructional tool. Introduce progress monitoring using a concrete analogy (temperature taking during an illness—not once per year but daily to guide treatment adjustment). Then use CBM (curriculum-based measurement) tools: administer reading fluency probes every week or biweekly, plot on a graph showing goal line and student trajectory, explicitly model decision rule ('If below goal line for 3 consecutive weeks, adjust intervention'), and have students apply the rule to sample data."
"PQ_SWP-04_6","Students skip critical problem-definition and baseline-establishment steps, rushing to intervention selection or focusing on attribution (blame) rather than data-driven problem framing necessary for aligned goal-setting and baseline comparison.","prerequisite-skipping","Choice A shows students rapid intervention selection without analysis, indicating they don't understand problem-solving prerequisites. Choice C reveals students assigning blame, showing they conflate collaborative inquiry with accountability judgments. Choice D shows students starting intervention without baseline, preventing valid progress evaluation. Use a problem-solving template with non-negotiable sequence: (1) State problem in observable, measurable terms using data (e.g., 'Student reads 35 words correct per minute; benchmark is 60'); (2) Establish baseline (current score); (3) Set SMART goal (60 WCPM in 12 weeks); (4) Hypothesize cause (phoneme segmentation weakness); THEN select intervention. Have students practice steps 1–3 before step 4, rejecting any rushed intervention proposals."
"PQ_SWP-04_7","Students treat MTSS and wait-to-fail models as functionally equivalent or believe both require evaluation prerequisites, misunderstanding MTSS as an early, general education intervention system that proactively supports students before academic failure accumulates.","model-conflation","Choice A shows students seeing no distinction between models, indicating no mental model of MTSS as prevention-focused. Choice C reveals students thinking MTSS requires prior special education evaluation, conflating intervention with eligibility determination. Choice D shows students judging models by resource efficiency rather than outcome effectiveness. Create a timeline showing a student's academic trajectory under both models: (1) Wait-to-fail path: student struggles in grade 1 → no support → grade 2 failure → grade 3 gap widens → grade 4 referral; (2) MTSS path: screening in grade 1 identifies need → Tier 2 intervention begins immediately → progress monitored → response informs further decisions. Have students calculate cumulative deficit in the wait-to-fail path versus early intervention window in MTSS path."
"PQ_SWP-04_8","Students narrow the data team function to a single purpose (accountability reporting, special education assessment) rather than recognizing it as a regular, multidisciplinary body that reviews screening and progress-monitoring data to make instructional and intervention decisions across tiers.","role-confusion","Choice A shows students limiting data teams to accountability, indicating they don't understand their decision-making function. Choice C reveals students conflating MTSS data teams with special education IEP teams, showing role confusion. Choice D shows students restricting analysis to standardized testing, underestimating the breadth of MTSS data sources. Teach data team composition and function using a meeting agenda: (1) Review universal screening results by skill/domain; (2) Identify students needing tier movement; (3) Review progress-monitoring data for students in Tier 2; (4) Adjust interventions based on response; (5) Examine disproportionality patterns. Have students role-play a data team meeting where each role (special educator, general educator, psychologist, administrator) brings specific data and participates in tier placement decisions."
"PQ_SWP-04_9","Students assume universal interventions naturally produce equitable outcomes across demographic groups, rather than actively monitoring disaggregated data to detect and interrupt patterns of disproportionate response or representation across racial, ethnic, gender, and socioeconomic subgroups.","overgeneralization","Choice A shows students believing universality ensures equity without evidence analysis, indicating they conflate access with outcome. Choice C reveals students prioritizing high performers in equity work, suggesting they misunderstand equity as zero-sum or excellence-focused. Choice D shows students exempting groups from intervention, conflating differentiation with exclusion. Introduce disaggregated data practice: show a school's Tier 2 referral rates, break down by race, and calculate referral ratios (e.g., 15% of White students versus 28% of Black students referred for identical behaviors). Have students interpret what differential rates reveal about bias in referral decisions, then design a monitoring protocol (quarterly disaggregated review, racial equity focus, staff training on bias, adjustment of referral criteria to improve equity)."
