"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_MBH-02_1","A","L2","Conceptual","The student believed that psychodynamic exploration of unconscious childhood conflicts is the appropriate first-line intervention for school-age anxiety rather than evidence-based behavioral approaches.","Evidence-based anxiety treatment matching to developmental level"
"PQ_MBH-02_1","C","L2","Conceptual","The student thought play therapy without clear intervention structure is appropriate for social anxiety in a fifth-grader, conflating play-based methods with unstructured therapeutic approaches.","Developmental fit and structured intervention design for anxiety"
"PQ_MBH-02_1","D","L3","Conceptual","The student believed medication alone without behavioral support constitutes appropriate treatment for childhood social anxiety.","Multimodal treatment approach combining psychopharmacology and behavioral intervention"
"PQ_MBH-02_10","A","L2","Conceptual","The student thought external referral only becomes necessary when symptoms are severe or involve safety, missing the criterion that treatment complexity or scope limitations also warrant referral.","Scope of practice boundaries and treatment complexity assessment"
"PQ_MBH-02_10","C","L1","Conceptual","The student believed school counselors should attempt all interventions before any external referral, not recognizing that some conditions immediately exceed school capacity and require specialized external treatment.","Recognition of initial severity thresholds for direct external referral"
"PQ_MBH-02_10","D","L3","Procedural","The student confused communication and collaboration with external providers as the primary determining factor for when to discontinue school counseling, rather than recognizing clinical severity and treatment complexity as the criteria.","Clinical criteria for referral versus administrative communication responsibilities"
"PQ_MBH-02_11","A","L2","Conceptual","The student mistook a behavioral reward system for psychodynamic interpretation, misunderstanding that unconscious conflict exploration is incompatible with contingency-based behavioral interventions.","Behavioral contingency versus psychodynamic interpretive theory"
"PQ_MBH-02_11","C","L3","Conceptual","The student conflated token rewards with exposure therapy, not recognizing that contingency management addresses behavior change while exposure specifically targets anxiety reduction through habituation.","Contingency management versus exposure therapy mechanisms"
"PQ_MBH-02_11","D","L3","Conceptual","The student believed psychoeducational instruction alone, without reinforcement or contingency, constitutes the intervention being described in the token reward scenario.","Behavioral reinforcement as active intervention component versus psychoeducation alone"
"PQ_MBH-02_12","A","L2","Conceptual","The student thought 1-3 sessions might be typical SFBT when standard practice is 5-10 sessions, underestimating the minimum time needed for meaningful progress in brief therapy.","Standard dosing parameters for solution-focused brief therapy"
"PQ_MBH-02_12","C","L3","Conceptual","The student believed SFBT requires 20+ ongoing sessions, contradicting the defining characteristic of brief intervention that distinguishes SFBT from long-term therapy.","Definitional contrast between brief and ongoing therapy models"
"PQ_MBH-02_12","D","L3","Conceptual","The student assumed yearly minimal-contact sessions constitute SFBT, misunderstanding that SFBT requires concentrated, consecutive sessions for problem resolution.","Session frequency and clustering patterns in brief intervention models"
"PQ_MBH-02_13","A","L2","Conceptual","The student believed direct confrontation and external pressure represent motivational interviewing, when MI actually emphasizes autonomy support and intrinsic motivation rather than authoritarian persuasion.","Autonomy support and intrinsic motivation in MI versus directive pressure tactics"
"PQ_MBH-02_13","C","L3","Conceptual","The student thought students change naturally without counselor guidance, negating the collaborative supportive role essential to motivational interviewing practice.","Active counselor engagement role in MI versus passive assumption of spontaneous change"
