UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_FAM-02_1","Students conflate any bilingual staff with qualified interpreters, unaware that IDEA mandates professional credentials with confidentiality protocols.","eligibility-criteria-confusion","Distractor A (staff member): Student missed IDEA's qualification standard. Teach interpreter credential categories—trained translator vs. untrained staff. Ask: 'What makes an interpreter qualified?' Require tracing IDEA language-access rules to specific district policy.
"
"PQ_FAM-02_10","Students reduce cultural humility to surface-level behaviors (using native language or absorbing cultural facts) rather than recognizing the internal reflection and epistemological self-awareness at its core.","model-conflation","Distractor D (language use): Student equated respect behavior with humility. Unpack: cultural humility ≠ cultural competence. Humility is the *process* of recognizing what you don't know. Distractor C (learning all facts): Highlight the impossibility—culture is dynamic, not a closed set. Emphasize ongoing reflection practice.
"
"PQ_FAM-02_11","Students impose professional authority over student voice in transition planning, treating the student as an object to be processed rather than a person whose preferences and goals drive the plan.","role-confusion","Distractor A (psychologist decides): Student elevated psychologist role beyond facilitator. Clarify: transition planning is *student-centered*, not psychologist-centered. Show how student preference assessment precedes service recommendations in evidence-based models. Use case: 'Student wants retail job; psychologist recommends office work. Who should win?'
"
"PQ_FAM-02_12","Students narrow wraparound coordination to a single referral hand-off, missing the multiagency, ongoing assessment and family-centered planning that defines the school psychologist's expanded role.","scope-undergeneralization","Distractor B (refer and step back): Student undersized the scope. Redirect: coordination ≠ referral. Teach wraparound pipeline—needs assessment → goal-setting → service matching → monitoring across systems. Distractor D (direct management): Student over-centralized responsibility. Clarify that the psychologist *convenes and facilitates*, not manages all services.
"
"PQ_FAM-02_13","Students prematurely assign a 'non-compliant' label to families based on absence alone, skipping the diagnostic step of identifying actual engagement barriers (transportation, scheduling, prior trauma, language).","population-confusion","Distractor A (document non-compliance first): Student treated absence as willful. Teach barrier taxonomy—logistical, systemic, relational, linguistic, trauma-informed. Distractor B (assume no barriers): Student assumed barriers don't apply. Use asset-mapping: 'Explore *five* categories of barriers before any judgment.' Model conversation starters for each.
"
"PQ_FAM-02_14","Students prioritize deficit-heavy messaging as a communication tactic, believing that emphasizing limitations will convince parents of urgency, when in fact clear + balanced language builds credibility and partnership.","scope-overgeneralization","Distractor C (emphasize deficits heavily): Student confused severity with detail. Teach: strengths + challenges (not strengths or challenges) open dialogue. Distractor A (avoid labels entirely): Student over-corrected. Clarify that accurate diagnostic labels are *necessary*—the issue is jargon-heavy delivery. Model: 'Your child has a learning disability. That means… [plain language].'
"
"PQ_FAM-02_15","Students retreat from evaluation when parents resist, treating parental skepticism as a veto rather than as an entry point for shared understanding and collaborative problem-solving.","consent-confidentiality-confusion","Distractor A (discontinue on disagreement): Student ceded agency too early. Teach: disagreement signals need to *explain better*, not avoid evaluation. Distractor C (insist and threaten): Student used authority instead of dialogue. Model: 'I hear you—let's talk through what I've observed. Here are the data.' Distractor D (recommend independent eval): Student sidestepped partnership.
"
"PQ_FAM-02_16","Students confuse attendance requirements with power-sharing, unaware that 'meaningful engagement' requires families to have genuine influence over decisions that affect their child's education.","purpose-confusion","Distractor A (ensure attendance): Student counted presence instead of influence. Teach: token input ≠ real engagement. Distractor C (standardized communication): Student missed differentiation. Clarify: real engagement means families help *define* what decisions matter to them. Distractor D (school limits scope): Student allowed schools to gate family involvement.
"
"PQ_FAM-02_17","Students assume availability is sufficient qualification for interpreters and underestimate the confidentiality and accuracy stakes, treating interpretation as a casual favor rather than a regulated professional function.","prerequisite-skipping","Distractor A (any available person): Student skipped qualification check. Teach: qualified ≠ willing/available. Distractor B (designated interpreter for consistency): Student prioritized school convenience over family preference. Clarify: family preference *can* be honored *if* the person is qualified and consents to confidentiality. Frame trade-off: flexibility vs. consistency.
"
"PQ_FAM-02_18","Students treat parent-training standardization as fair and universal, missing that one-size-fits-all programs ignore cultural context, family priorities, and the evidence that collaborative design is essential for program uptake and cultural responsiveness.","overgeneralization","Distractor A (standardized delivery): Student equated uniformity with equity. Teach: standardization ≠ fairness; families need *choice*. Distractor B (minimal family input): Student credited expertise alone. Show: professional knowledge + family knowledge = better outcomes. Distractor D (child behavior only): Student ignored systems. Model an ecological approach to parent training.
"
