UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_DIV-05_19","Treating ESY eligibility as category-bound or age-based rather than needs-based: Students incorrectly limit ESY to academic disabilities only (A), apply age cutoffs (C), or deny it universally (D), missing that ESY criterion is individual regression-recoupment risk—the likelihood the student will lose critical skills over summer break.","population-confusion","Distractor A narrows eligibility to academic categories; C uses age; D denies it outright. All miss the actual criterion: will this individual student regress significantly without services? ESY is function-based, not label-based or age-based. Use case: a student with autism (non-academic category) with severe sensory regulation skills might regress massively over summer gap (B: eligible). A student with mild dyslexia might maintain skills (not ESY-eligible). The question is regression risk, not disability type."
"PQ_DIV-05_2","Confusing language-of-instruction policy with legal requirement: Students treat English-only service delivery as the school standard (C, D) or believe language barriers exempt ELL students from evaluation entirely (A), missing that Lau v. Nichols + IDEA mandate nondiscriminatory evaluation and services in home language when appropriate and available.","validity-reliability-confusion","Distractors A, C, D all dodge the home-language requirement. Lau v. Nichols is case law; IDEA operationalizes it. A exempts students (protective intent gone wrong). C/D enforce English-only (efficiency overrides equity). B integrates legal requirement with practical implementation: assess and serve in home language when available. Use timeline: Lau established right to language services (1974); IDEA codified it. Schools cannot unilaterally choose English-only on efficiency grounds."
"PQ_DIV-05_20","Over-narrowing assessment focus to disproportionality of minorities, nondiscrimination alone, or objective data without context: Students either focus narrowly on special procedures for minorities (A), assume struggling students = special education referral (C), or reduce eligibility to objective assessment minus cultural factors (D), missing that comprehensive, culturally appropriate, multi-source assessment applies universally AND without bias.","treatment-assessment-confusion","Distractors A and C both narrow scope. A says 'focus on minorities' (segmentation error). C assumes all struggling = special ed (overgeneralization). D removes cultural consideration from evaluation (bias). B is the integrative answer: assess every student comprehensively, culturally responsibly, from multiple sources, regardless of demographics. Teach: nondiscrimination is not 'special procedures for minorities'; it's equitable procedures for all."
"PQ_DIV-05_3","Treating disability and giftedness as mutually exclusive categories: Students believe disabilities disqualify from gifted programs (A), that ADHD must be remediated before accessing advanced curriculum (B), or that giftedness eliminates special education need (D), missing that twice-exceptional students require simultaneous access to advanced content AND disability-specific accommodations.","model-conflation","Distractors A, B, D all assume disability → ineligibility or delayed eligibility. 2e is NOT a sequential model (fix ADHD, then enroll in gifted). It is parallel: rich curriculum + executive function support + organization coaching all at once. B says 'remediation' (implies fix); C says 'modifications and support services' (accommodations, not cures). Use script: 'This student has two profiles simultaneously: gifted cognition + ADHD executive dysfunction. We don't turn off the ADHD; we scaffold it while delivering advanced content.'"
"PQ_DIV-05_4","Premature special education referral without evidence-based intervention trials: Students skip RtI/problem-solving by assuming automatic referral (A), blame poverty (C), or outsource assessment (D), missing that IDEA child-find REQUIRES pre-referral intervention with evidence-based strategies and progress monitoring before formal evaluation.","prerequisite-skipping","Distractor A jumps to evaluation immediately. C attributes underachievement to poverty (determinism). D outsources to private assessment. B is the prerequisite: implement high-quality general education interventions, monitor progress, *then* evaluate if response is insufficient. Use RTI flowchart: quality instruction → evidence-based intervention → progress monitoring → *then* referral. Students choosing A bypass problem-solving entirely. Low-income status (C) is a risk factor, not an explanation."
"PQ_DIV-05_5","Isolating a single source of bias rather than integrating multiple mechanisms: Students identify one bias source (A: similar rates but bias possible; D: just culturally responsive assessment), but miss that assessment bias operates through *multiple mechanisms*—norm bias, cultural loading, referral bias—all working simultaneously to cause over- and underidentification.","norm-criterion-confusion","Distractors A and D focus narrowly. A says rates may be similar (misses the bias mechanisms). D emphasizes assessment only (misses systemic bias). C attributes disproportionality to *non-assessment factors* (systemic only). B integrates: multiple bias mechanisms (test norms, item culture, referral process) working in parallel, creating bidirectional distortion (both over- and underidentification). Use: '3 bias points: How I refer (teacher bias), What I test (cultural loading), How I interpret (norm bias). All three push toward wrong conclusions.'"
"PQ_DIV-05_6","Lowering expectations due to SES rather than raising them with barrier mitigation: Students assume poverty justifies reduced academic goals (A), pivot to survival skills (C), or blame family resources (D), missing that IDEA requires *ambitious* outcomes *plus specific strategies to address poverty-related barriers* within the goal itself.","purpose-confusion","Distractors A, C, D all reduce expectations under the guise of compassion. Low-income families do NOT benefit from lower goals; they benefit from explicit barrier-removal strategies embedded in ambitious goals. B: 'ambitious learning outcomes while specifying poverty-barrier mitigation.' Example: Goal is mastery of algebra (ambitious, not survival-skill). Strategy specifies: after-school tutoring access (barrier mitigation), transportation if needed, parent communication in home language. SES is context, not ceiling."
"PQ_DIV-05_7","Confusing overrepresentation with underrepresentation or conflating representation with access: Students select overrepresentation (B: higher rates), understandable in that context but wrong as the answer, or equate equal access with absence of underrepresentation (D), missing that underrepresentation is *lower-than-expected identification rates relative to population proportion*.","label-retrieval","Distractor B is overrepresentation (the opposite), which may seem like it addresses disproportionality but answers the wrong question. C and D describe placement/access outcomes, not representation rates. A is precise: Asian students referred at lower rates than white students = underrepresentation (they should be referred at similar rates if disability prevalence is similar). Use Venn: overrepresentation = higher than expected; underrepresentation = lower than expected. B describes over, not under."
"PQ_DIV-05_8","Conflating tribal sovereignty with abdication of IDEA obligation or assuming cultural practice overrides federal law: Students defer entirely to tribes (A), limit services to academics (C), or assume alternative healing overrides special education (D), missing that schools provide IDEA services *while respecting tribal sovereignty and involving tribal representatives in culturally responsive planning*.","causation-correlation","Distractors A, C, D all create false tradeoffs: tribes versus schools (A), academics versus holistic (C), federal law versus cultural practice (D). B integrates: provide full IDEA services (federal mandate) while consulting tribal authorities and incorporating cultural responsiveness (respect for sovereignty). This is not either-or; it is both-and. Use case: IDEA requires IEP for Native American student with SLD. School involves tribal education representative, considers culturally sustaining goals, ensures access to advanced literacy instruction. No conflict—both mandates are honored."
"PQ_DIV-05_9","Interpreting high restraint rates as acceptable if technically legitimate or documented rather than recognizing them as evidence of systemic inequity: Students accept high rates if emergencies justify them (A), dismiss them if policies exist (C), or assume proper documentation sanitizes disparities (D), missing that restraint *disproportionality by race/disability status* is the primary concern—a red flag for systemic inequity.","tier-level-confusion","Distractors A, C, D accept restraint data at face value (legitimacy, policy, documentation) without interrogating whether the 5:1 disparity is equitable. Legitimate emergency doesn't justify disproportion by race/disability. Clear policy doesn't ensure equitable *application*. Documentation doesn't cure inequity. B shifts the lens: is the 5:1 rate itself *equitable across groups*? If Black students, Indigenous students, or students with EBD are restrained at disproportionately high rates, that disparity IS the concern—an equity violation—regardless of emergency legitimacy."
