"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_DBD-03_1","A","L1","Conceptual","Student believed low verbal scores in an English learner prove global cognitive impairment, ignoring average nonverbal performance and the construct-irrelevant language load embedded in verbal subtests.","Cross-linguistic assessment validity; verbal-loading effects on IQ interpretation"
"PQ_DBD-03_1","C","L2","Procedural","Student assumed language difference rules out eligibility workup and that the evaluation should stop, rather than using nondiscriminatory, linguistically appropriate methods to determine disability versus language acquisition effects.","IDEA nondiscriminatory evaluation procedures for multilingual learners"
"PQ_DBD-03_1","D","L2","Conceptual","Student believed a verbal-nonverbal split directly identifies a language-based learning disability, treating one cognitive pattern as diagnostic without corroborating achievement, history, and exclusionary-factor evidence.","SLD identification requires converging cognitive, achievement, and contextual data"
"PQ_DBD-03_2","A","L2","Conceptual","Student believed parent-friendly communication is the main psychometric reason to prioritize composites, confusing interpretability for stakeholders with the primary technical advantage of greater score reliability.","Composite-score reliability versus communication utility distinction"
"PQ_DBD-03_2","C","L1","Conceptual","Student assumed global composites are exhaustive and eliminate profile analysis, overlooking that broad scores are the starting point and still require follow-up interpretation of meaningful patterns.","Hierarchical interpretation sequence in cognitive batteries"
"PQ_DBD-03_2","D","L3","Conceptual","Student believed subtests are not standardized and therefore psychometrically unusable, confusing lower reliability with absence of norming and standardization.","Subtest standardization versus relative reliability limits"
"PQ_DBD-03_3","A","L1","Conceptual","Student believed an obtained IQ score is exact and fixed, rejecting measurement error and confidence-band logic in high-stakes eligibility interpretation.","Standard error of measurement and confidence interval interpretation"
"PQ_DBD-03_3","C","L2","Conceptual","Student assumed SEM indicates unacceptable test instability, conflating individual-score error bands with poor test-retest reliability of the instrument.","Difference between SEM and reliability coefficients"
"PQ_DBD-03_3","D","L3","Conceptual","Student believed SEM makes all IQ scores unusable for decisions, overgeneralizing measurement error into total interpretive invalidity.","Appropriate use of SEM in eligibility decision-making"
"PQ_DBD-03_4","A","L1","Conceptual","Student assumed nonverbal testing fully removes language modality issues and treated sign language factors as irrelevant, oversimplifying accessibility and linguistic context in deaf assessment.","Language-modality considerations in deaf cognitive assessment"
"PQ_DBD-03_4","C","L2","Conceptual","Student confused a broad equity principle with a specific test-selection rationale and failed to identify why this nonverbal battery is appropriate for the given referral.","Assessment-principle versus instrument-rationale discrimination"
"PQ_DBD-03_4","D","L2","Conceptual","Student believed this battery is uniquely appropriate and ignored that multiple nonverbal instruments can validly assess cognition for deaf students.","Comparative knowledge of nonverbal cognitive test options"
"PQ_DBD-03_5","A","L2","Procedural","Student believed checking discrepancy significance in general is the first move, but skipped the required first technical step of using each index SEM to establish whether observed differences exceed error.","SEM-first discrepancy analysis sequence"
"PQ_DBD-03_5","C","L1","Procedural","Student assumed it is appropriate to interpret causes immediately after noting a discrepancy, compressing sequencing by moving into etiology before fully anchoring psychometric significance procedures.","Ordered workflow for index discrepancy interpretation"
"PQ_DBD-03_5","D","L2","Procedural","Student jumped from discrepancy detection to intervention planning, skipping intermediate interpretive steps needed before translating profile differences into supports.","Assessment-to-intervention sequencing after cognitive profiling"
"PQ_DBD-03_6","A","L2","Conceptual","Student confused CHC with a unitary intelligence model and overlooked CHC's hierarchical broad-and-narrow ability structure.","CHC multidimensional hierarchy versus single-g models"
"PQ_DBD-03_6","C","L3","Conceptual","Student believed intelligence cannot be measured reliably, contradicting core psychometric assumptions behind standardized cognitive assessment.","Foundations of psychometric measurement in intelligence testing"
"PQ_DBD-03_6","D","L2","Conceptual","Student assumed CHC was created for special education eligibility rather than as a general theory organizing cognitive abilities.","Purpose and scope of CHC theory"
"PQ_DBD-03_7","A","L2","Conceptual","Student believed processing speed is the primary cognitive driver of mathematical reasoning, confusing efficiency with higher-order inferential problem solving.","Fluid reasoning versus processing speed in math cognition"
"PQ_DBD-03_7","C","L1","Conceptual","Student confused quantitative knowledge content with reasoning process, selecting learned math facts instead of novel relational reasoning ability.","Gf versus Gq construct distinction"
"PQ_DBD-03_7","D","L2","Conceptual","Student assumed short-term memory is most directly tied to math reasoning, over-weighting storage capacity over rule induction and abstract pattern analysis.","Working-memory support versus primary reasoning constructs"
"PQ_DBD-03_8","A","L2","Lexical","Student confused the Stanford-Binet's broad lifespan range with an early-childhood-only range, likely anchoring on the young referral age in the vignette.","Stanford-Binet 5 age-band norms across lifespan"
"PQ_DBD-03_8","B","L2","Lexical","Student assumed the test begins at age 3 and selected a school-age band, missing the instrument's lower-age boundary and adult extension.","Test age-range boundary knowledge for SB5"
"PQ_DBD-03_8","D","L3","Lexical","Student believed SB5 is a school-age-only battery and ignored that it extends from early childhood into adulthood.","SB5 lifespan applicability facts"
"PQ_DBD-03_9","A","L1","Conceptual","Student believed the discrepancy mainly implies possible giftedness, underusing the profile's practical implication for accommodations tied to processing-speed weakness.","Profile-based educational planning from index discrepancies"
"PQ_DBD-03_9","C","L2","Conceptual","Student assumed a processing-speed weakness confirms a learning disability diagnosis, treating one cognitive discrepancy as diagnostic evidence.","Non-diagnostic status of isolated cognitive index discrepancies"
"PQ_DBD-03_9","D","L3","Conceptual","Student believed a large discrepancy invalidates the lower index entirely, confusing meaningful intra-individual difference with score invalidity.","Validity versus interpretive contrast in WISC index scores"
"PQ_DBD-03_10","A","L1","Conceptual","Student believed average FSIQ nearly rules out intellectual disability and underweighted adaptive deficits as a required co-equal diagnostic dimension.","Dual-criterion framework for intellectual disability determination"
"PQ_DBD-03_10","C","L2","Conceptual","Student treated discordant cognitive and adaptive scores as inherently contradictory rather than clinically interpretable, missing that adaptive deficits can drive concern even with higher cognition.","Interpretation of cognitive-adaptive discrepancy patterns"
"PQ_DBD-03_10","D","L2","Procedural","Student moved rapidly toward medical referral framing without first completing integrated educational eligibility analysis across developmental history and multi-source adaptive data.","IDEA-aligned sequencing for ID eligibility evaluation"
"PQ_DBD-03_11","A","L1","Lexical","Student confused CAS-2 with CHC-organized batteries because both are cognitive frameworks used in school assessment contexts.","CAS PASS model versus CHC framework mapping"
"PQ_DBD-03_11","B","L2","Conceptual","Student assumed CAS-2 reflects a unitary g model, missing its process-based PASS architecture derived from Lurian theory.","PASS process model fundamentals"
"PQ_DBD-03_11","D","L3","Lexical","Student confused Gardner's multiple intelligences with psychometrically normed cognitive battery structure used by CAS-2.","Differences between educational theories and test models"
