UNIQUEID,item_format,is_multi_select,correct_answer_count,option_count_expected,has_case_vignette,case_text,question_stem,A,B,C,D,E,F,correct_answers,CORRECT_Explanation,core_concept,content_limit,DOMAIN,domain_name,domain_weight,nasp_domain_primary,original_skill_id,current_skill_id,skill_name,skill_domain_code,skill_nasp_domain,was_remapped,cognitive_complexity,complexity_rationale,outcome,construct_actually_tested,rationale,distractor_tier_A,distractor_error_type_A,distractor_misconception_A,distractor_skill_deficit_A,distractor_tier_B,distractor_error_type_B,distractor_misconception_B,distractor_skill_deficit_B,distractor_tier_C,distractor_error_type_C,distractor_misconception_C,distractor_skill_deficit_C,distractor_tier_D,distractor_error_type_D,distractor_misconception_D,distractor_skill_deficit_D,distractor_tier_E,distractor_error_type_E,distractor_misconception_E,distractor_skill_deficit_E,distractor_tier_F,distractor_error_type_F,distractor_misconception_F,distractor_skill_deficit_F,is_foundational,prereq_chain_narrative,dominant_error_pattern,error_cluster_tag,audit_status,dominant_failure_mode_tier,top_misconception_themes,instructional_red_flags,skill_prerequisites,is_human_verified,domain_rationale,skill_rationale
PB1,Single-Select,False,1,4,False,,Sue is a second-grade student who struggles with reading. It happens that Sue’s teacher lives next door to a reading specialist in the same school district. Sue’s teacher asked her neighbor to look at Sue’s standardized reading test to offer some advice. What law has Sue’s teacher violated?,The Federal Confidentiality Act (FCA) of 1975,No law was violated because the consultation was relevant for a reading specialist,Individuals with Disabilities Education Act (IDEA) law provision for right to privacy,Family Educational Rights and Privacy Act (FERPA),,,D,The Family Educational Rights and Privacy Act (FERPA) governs student information and confidentiality related to educational records.,FERPA and Educational Records Confidentiality,FERPA governs student information and confidentiality related to educational records; disclosure without consent violates FERPA.,4,Foundations of School Psychological Service Delivery,25,10,LEG-01,LEG-01,FERPA and Educational Records Confidentiality,LEG,10,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,FERPA confidentiality violation through unauthorized sharing of student assessment records.,Explanation directly tests educational records privacy law.,foundational_gap,Lexical,"Student confuses 'The Federal Confidentiality Act (FCA) of 1975' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: FERPA — FERPA governs student information and confidentiality related to educational records; disclosure without consent violates FERPA.,foundational_gap,Lexical,"Student confuses 'No law was violated because the consultation was r' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: FERPA — FERPA governs student information and confidentiality related to educational records; disclosure without consent violates FERPA.,foundational_gap,Lexical,"Student confuses 'Individuals with Disabilities Education Act (IDEA)' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: FERPA — FERPA governs student information and confidentiality related to educational records; disclosure without consent violates FERPA.,CORRECT,CORRECT,,,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,foundational_gap,Law Conflation|Concept Substitution|Role Confusion,Student professes broad knowledge of educational laws but cannot articulate the specifics of FERPA.|Student believes any school personnel can access records without consent.|Student misidentifies laws or invents legal terminologies that don't exist.,,False,,
PB2,Single-Select,False,1,4,False,,Noam Chomsky is known for what psychological idea?,Humans have a predisposition to acquire language,Children who have impoverished backgrounds are more likely to have behavioral and emotional difficulties,Whole-word reading is innate,Children acquire language skills through explicit instruction,,,A,Noam Chomsky is known for concepts related to language development and language acquisition device.,Learning Theories and Cognitive Development,Chomsky proposed innate predisposition to acquire language (language acquisition device).,2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,3,ACA-06,ACA-07,Language Development and Literacy,ACA,3,True,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",MISASSIGNED,Language acquisition theory and Chomsky language acquisition device concept knowledge.,Explanation is language development theorist recall rather than broad learning theory application.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Children who have impoverished backgrounds are mor' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: Chomsky / LAD — Chomsky proposed innate predisposition to acquire language (language acquisition device).,foundational_gap,Lexical,"Student confuses 'Whole-word reading is innate' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: Chomsky / LAD — Chomsky proposed innate predisposition to acquire language (language acquisition device).,foundational_gap,Lexical,"Student confuses 'Children acquire language skills through explicit ' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: Chomsky / LAD — Chomsky proposed innate predisposition to acquire language (language acquisition device).,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L3_concept_substitution,Theory Substitution|Term Confusion|Intervention Misunderstanding,Confusion regarding fundamental literacy concepts|Inability to differentiate related language disorders|Misapplication of assessment and intervention strategies,ACA-02|ACA-03,False,,
PB3,Single-Select,False,1,4,False,,"A school wants to adopt a new but controversial math curriculum. As a school psychologist, you are called in for a consultation. What do you tell the school’s principal about best practices in this situation?","There will be resistance from some parents, so a meeting should be held with concerned parents",Parents need a way to voice their opinions during the adoption phase,The school should seek consensus on this issue because parents must agree on such an important topic,The school needs to consult with curriculum experts so that parents can make informed decisions,,,B,"During a professional consultation situation, parents (not just concerned parents) must have an avenue to express themselves and feel as if their opinions are considered.",Consultation Models and Methods,Parents must have an avenue to express opinions during adoption/change phases.,1,Professional Practices that Permeate All Aspects of Service Delivery,32,2,CON-01,CON-01,Consultation Models and Methods,CON,2,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Stakeholder-inclusive consultation guidance for controversial school initiative.,Primary construct is consultation process quality and participation structure.,L2_near_miss,Procedural,The student believes only concerned parents need a meeting when all parents should have an opportunity to be involved.,Inclusive stakeholder engagement,CORRECT,CORRECT,,,L3_concept_substitution,Conceptual,"The student believes a consensus is needed for curriculum changes, when in fact, it is sufficient that all voices are heard.",Understanding participatory consultation,L1_false_positive,Lexical,"The student believes curriculum experts' input replaces the need for parental expression, when it should complement it.",Balancing expert advice with stakeholder feedback,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,"Understanding emotional and behavioral assessment, and multi-method information gathering prepares one for comprehensive consultation practices.",L3_concept_substitution,role_confusion,AI_GENERATED,L1_false_positive,Theory Substitution|Procedure Inversion|Role Confusion,Inability to correctly identify the steps of a consultation process.|Confusion between direct and indirect service models.|Frequent misunderstanding of consultation terminology and their contextual application.,ACA-02|DBD-01,False,,
PB4,Single-Select,False,1,4,False,,Which type of goal-setting approach is most appropriate when teaching teenage students?,Goal setting that is within the student’s zone of proximal development,Mastery goal setting that increases performance and decreases anxiety,Performance goal setting based on classroom norms,High goals and standards to keep students striving for achievement,,,A,"Although a few other choices are valid, answer “A” is the best response because it has a specific basis in pedagogy. While it is important to have high and realistic goals when teaching students, students perform best when goals are individualized. Educational goals need to be within a student’s specific and attainable limits, which is called the zone of proximal development.",Learning Theories and Cognitive Development,Goals within student's zone of proximal development are most appropriate.,2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,3,ACA-06,ACA-06,Learning Theories and Cognitive Development,ACA,3,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Applying Vygotsky zone of proximal development to individualized student goal setting.,Explanation grounds the best response in a core learning theory and cognitive development principle.,CORRECT,CORRECT,,,L1_false_positive,Conceptual,The student believes mastery goals automatically fit all students equally when in fact they must be personalized to developmental levels.,Understanding the alignment of mastery goals with the zone of proximal development,L3_concept_substitution,Conceptual,The student believes performance goals should be based on classroom norms instead of individualized developmental needs.,Understanding of the importance of individual capabilities over classroom norms in goal setting,L3_concept_substitution,Conceptual,The student believes high goals universally lead to achievement when they need alignment with developmental stages.,Grasping the principle of individualized goal setting within development,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Students progress from understanding cognitive development theories to applying them in context-appropriate goal setting.,L3_concept_substitution,role_confusion,AI_GENERATED,foundational_gap,Theory Substitution|Scope Misapplication|Term Confusion,Confusing elements of different learning theories|Inability to correctly sequence the steps in cognitive processes|Treating all learning theories as interchangeable,,False,,
PB5,Single-Select,False,1,4,False,,Which neurotransmitters are primarily implicated in depression?,"Melatonin, serotonin, and dopamine","Serotonin, dopamine, and endorphins","Serotonin, norepinephrine, and dopamine","Glutamate, dopamine, and melatonin",,,C,"Serotonin is the major brain chemical that is implicated in clinical depression. Although other brain chemicals, such as glutamate, might also play a role in depression, the other answer choices do not support its combination with other neurochemicals. Of the combinations provided, norepinephrine and dopamine are the other two neurotransmitters primarily supported by research. Always choose answers that take precedence in the current body of mainstream research.",Biological Bases of Behavior and Mental Health,"Serotonin, norepinephrine, and dopamine are primarily implicated in depression.",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,MBH-05,MBH-05,Biological Bases of Behavior and Mental Health,MBH,4,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Neurotransmitter mechanisms implicated in depression etiology.,Explanation tests core biological basis knowledge about serotonin norepinephrine and dopamine.,foundational_gap,Lexical,"Student confuses 'Melatonin, serotonin, and dopamine' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: Neurotransmitters (serotonin, norepinephrine, dopamine) — Serotonin, norepinephrine, and dopamine are primarily implicated in depression.",foundational_gap,Lexical,"Student confuses 'Serotonin, dopamine, and endorphins' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: Neurotransmitters (serotonin, norepinephrine, dopamine) — Serotonin, norepinephrine, and dopamine are primarily implicated in depression.",CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Glutamate, dopamine, and melatonin' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: Neurotransmitters (serotonin, norepinephrine, dopamine) — Serotonin, norepinephrine, and dopamine are primarily implicated in depression.",UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Brain Function Localization|Medication Function|Neurochemical Roles,Confuses brain lobe functions|Misclassifies medication uses|Misunderstands neurochemical roles,,False,,
PB6,Single-Select,False,1,4,False,,"A parent asks you to perform an emotional assessment on her daughter. When interviewing the parent for more background information on the situation, the mother mentions that her daughter has no friends and she appears withdrawn, sad, and anxious. Given the mother’s observations, what is the most appropriate tool to initially use in your assessment?",The Behavior Assessment System for Children (BASC),The Vineland,The Clinical Scales of Depression in Children-II,The Beck Depression Inventory,,,A,"Despite the two traits associated with possible depression (e.g., withdrawal and sadness), the additional comment about anxiety indicates that a broad- spectrum tool such as the Behavior Assessment System for Children (BASC) is a valid assessment to initially use. Most likely, supplemental narrow-band tools will be employed to illuminate more information on this case, but the BASC is a common assessment starting point.",Background Information and Records Review,Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-10,DBD-06,Emotional and Behavioral Assessment Instruments,DBD,1,True,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",MISASSIGNED,Initial broad band emotional behavioral instrument selection for mixed anxiety and depression concerns.,Explanation focuses on selecting BASC as a behavioral assessment instrument rather than records or archival file analysis.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'The Vineland' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: BASC — Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,foundational_gap,Lexical,"Student confuses 'The Clinical Scales of Depression in Children-II' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: BASC — Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,foundational_gap,Lexical,"Student confuses 'The Beck Depression Inventory' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: BASC — Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Assessment Confusion|Scope Misapplication|Term Confusion,Confusing the purpose of specific assessment instruments|Equating dated assessment tools with contemporary versions|Misinterpreting score ranges and criteria,DBD-09|DBD-10,False,,
PB7,Single-Select,False,1,4,False,,"A child you recently tested with the Differential Ability Scales-II (DAS-II) had a General Conceptual Ability (GCA) standard score of 85. The student’s Vineland assessment from the teacher illustrated an overall standard score of 61, but the mother’s Vineland resulted in an overall standard score of 87 and the father’s Vineland revealed a score of 75. You determine that the discrepancy between the adaptive assessment scores is most likely due to:","Measurement error inherent in all tests, psychometrically referred to as standard error of measurement (SEM)",Differences in contextual factors; the child behaves differently in various settings,The subjectivity and different perceptions of raters,The difficulty associated with completing complex surveys,,,C,"This is a very difficult question to answer because other answer choices could be correct. Also note the superfluous information (Differential Ability Scales-II [DAS-II] score), which has little influence on the right answer. Despite other tempting responses, the best answer is C. Given the presenting facts of this case, it is unlikely that a student would score more than 20 standard points higher at home than at school because the interrater reliability is very good with the Vineland. Note the discrepancy between the parents. While behaviors certainly vacillate between environments, it is acceptable to assume there may be a problem of perception between the raters when scores are extremely discrepant.",Cognitive and Intellectual Assessment,Large discrepancies between raters on same measure suggest rater subjectivity/perception rather than only context or SEM.,1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-03,DBD-03,Cognitive and Intellectual Assessment,DBD,1,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Interpreting combined cognitive and adaptive data in ID-related decision context.,"Requires applying cognitive assessment interpretation alongside adaptive data, central to DBD-03.",L1_false_positive,Conceptual,The student believes SEM can account for large inter-rater discrepancies when it typically does not.,Reliability and Validity Principles,L1_false_positive,Conceptual,The student believes contextual differences account for large inter-rater discrepancies rather than rater perceptions.,Ecological Assessment and Contextual Factors,CORRECT,CORRECT,,,L3_concept_substitution,Conceptual,The student believes that survey complexity directly leads to large discrepancies in scores rather than rater subjectivity.,Assessment of Culturally and Linguistically Diverse Students,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,The progression involves mastering general assessment reliability and the interpretation of test scores before tackling discrepancies due to subjective perceptions.,L1_false_positive,term_confusion,AI_GENERATED,L1_false_positive,Misinterpreting Fluid vs. Crystallized Intelligence|Assessment Score Misinterpretation|Theory Attribution Errors,Inability to differentiate fluid and crystallized intelligence|Misattribution of theoretical frameworks to incorrect cognitive assessments|Inconsistent interpretations of test score norms,DBD-01,False,,
PB8,Single-Select,False,1,4,False,,Which of the following is one of the first interventions employed for a child with attention deficit hyperactivity disorder (ADHD)?,Placing the student near the front of the classroom away from distractions (preferential seating),Increasing the student’s self-awareness and knowledge of the disorder,Having the student exercise before school to moderate hyperactive tendencies through natural dopamine production,"Consistently reminding the student to take medication known to be effective in many cases (e.g., Ritalin, Adderall)",,,B,"Although exercise and student placement in the classroom are effective interventions, raising a student’s awareness of her difficulty is a key first step in treatment.",Child and Adolescent Psychopathology,Increasing self-awareness and knowledge of the disorder is a key first step before other interventions.,2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,MBH-04,MBH-02,Individual and Group Counseling Interventions,MBH,4,True,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",MISASSIGNED,Initial intervention step in ADHD support through student self awareness and psychoeducation.,Explanation evaluates treatment sequencing not psychopathology diagnosis identification.,foundational_gap,Lexical,"Student confuses 'Placing the student near the front of the classroo' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: ADHD — Increasing self-awareness and knowledge of the disorder is a key first step before other interventions.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Having the student exercise before school to moder' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: ADHD — Increasing self-awareness and knowledge of the disorder is a key first step before other interventions.,foundational_gap,Lexical,"Student confuses 'Consistently reminding the student to take medicat' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: ADHD — Increasing self-awareness and knowledge of the disorder is a key first step before other interventions.,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Scope Misapplication|Intervention Confusion|Term Confusion,Unable to accurately match interventions to the appropriate behavior issues.|Fails to recognize differences between cognitive and behavioral strategies.|Confuses goals of preventive and corrective interventions.,MBH-05|MBH-04,False,,
PB9,Single-Select,False,1,4,False,,"A 10th-grade teacher has a visually impaired student who is given an extensive assignment that requires a poster presentation. In this case, how should the teacher proceed?",Allow other students to help the impaired student,The teacher should set aside a special time to discuss optional accommodations for the assignment with the student,The visually impaired student should not be required to complete the entire assignment due to his or her handicapping condition and instead should be offered a relevant alternative,The task should be assigned as a joint effort between the teacher and the visually impaired student,,,B,"When students feel they have a voice in their own learning, they tend to perform better. Students with certain types of difficulties can complete full assignments and should not be denied the opportunity to be aligned with their classmates if collaborative accommodations can mitigate a person’s disability.",Curricular Accommodations and Modifications,Discuss optional accommodations with the student; full assignments with accommodations preferred over alternatives.,2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,3,ACA-02,ACA-02,Curricular Accommodations and Modifications,ACA,3,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Selecting and discussing assignment accommodations with student participation for visual impairment.,Explanation focuses accommodation planning without changing core task expectations.,foundational_gap,Lexical,"Student confuses 'Allow other students to help the impaired student' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: Accommodations — Discuss optional accommodations with the student; full assignments with accommodations preferred over alternatives.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'The visually impaired student should not be requir' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: Accommodations — Discuss optional accommodations with the student; full assignments with accommodations preferred over alternatives.,foundational_gap,Lexical,"Student confuses 'The task should be assigned as a joint effort betw' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: Accommodations — Discuss optional accommodations with the student; full assignments with accommodations preferred over alternatives.,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,foundational_gap,Confusion between Universal Design and Targeted Interventions|Misapplication of Accommodation Strategies|Role Confusion in Education Support,"Confusing universal and individualized strategies|Providing inappropriate accommodations, like extra time, without assessing specific needs|Substituting strategic educational theories with procedural stand-ins",ACA-08,False,,
PB10,Single-Select,False,1,4,False,,"You are a new school psychologist at a small public school. Your department leader gives you a new cognitive assessment to administer for which you have no formal training. The parents of the student you will be evaluating have hired an educational advocate. The advocate is formally requesting that you administer the new test because it uses the latest norms and it is culturally sensitive. From what you have read and heard from colleagues, the new test is highly regarded and should be used in this case. What should you do in this situation?","Ethically, you cannot administer the test and you should use a more familiar test","You can practice with the test first, and then administer it with supervision",You must to refer the case to another colleague who has more experience with the test,"Ask a colleague to give the test, but be present during the administration",,,B,"In practice and in real-world settings, it is permissible to study new tests and administer such tests with supervision or guidance from a qualified practitioner colleague.",Professional Liability and Supervision,Permissible to study new tests and administer with supervision from a qualified colleague.,4,Foundations of School Psychological Service Delivery,25,10,ETH-02,ETH-02,Professional Liability and Supervision,ETH,10,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Ethical competence through supervised administration when adopting a new assessment tool.,Explanation explicitly permits skill development with qualified supervision.,L1_false_positive,Conceptual,"The student believes that any test without formal training should not be administered even with supervision, when in fact it can be with proper supervision.",Understanding of ethical guidelines and conditions under which new assessments can be administered,CORRECT,CORRECT,,,L2_near_miss,Procedural,The student believes that referral to another colleague is the only ethical choice without considering the option of supervised administration.,Execution of ethical procedures in the administration of unfamiliar assessments,L1_false_positive,Lexical,"The student believes that observation is equivalent to supervision, when in fact supervision involves active guidance.",Correct understanding of what constitutes supervision,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Students must understand ethical frameworks and the conditions for ethical practice before applying them to specific cases of test administration.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Misunderstanding NASP Guidelines|Ethical Guidance vs. Disciplinary Action|Role of Personal Relationships,Inability to accurately state NASP supervision limits|Confusion between guidance and disciplinary processes in NASP policies|Misinterpretation of ethical standards regarding personal relationships,ETH-01|LEG-01,False,,
