"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_MBH-04_19","Student underestimated anxiety disorder prevalence (thinking they are rare) and denied school impact, missing the fact that 10-15% of children are affected with significant academic/social consequences requiring intervention.","scope-undergeneralization","Distractors A and D both minimize anxiety prevalence and impact. Teach prevalence statistics in context: 1 in 6-7 children affected, approximately 50% of school refusals are anxiety-driven, academic decline accelerates when untreated. Show screener examples (SCARED, GAD-7) and map anxiety severity to functional impairment: mild (still attends) to severe (school refusal)."
"PQ_MBH-04_2","Students conflated ADHD inattention and impulsivity deficits with autism's core social communication and restricted-repetitive behavior deficits, missing the diagnostic boundaries between these two neurodevelopmental conditions.","population-confusion","Distractor A pairs impulsivity (ADHD marker) with social obliviousness (ASD marker) as if interchangeable. Teach the diagnostic profile: ASD includes social reciprocity deficits plus restricted interests plus repetitive movements (present in case); ADHD includes inattention and hyperactivity and impulsivity (not present). Use a comparison table: ASD child with intense train obsession and hand-flapping versus ADHD child with restless energy but flexible interests."
"PQ_MBH-04_20","Students prescribed medication or punishment for ADHD inattentive type when Tier 1 classroom-based environmental scaffolding — organization supports, visual cues, movement breaks — is the appropriate first intervention framework.","indirect-direct-confusion","Distractors A and C bypass environmental intervention entirely. Teach MTSS tier logic: Tier 1 (universal design: visual schedules, folder systems, graphic organizers) then Tier 2 (small group check-ins) then Tier 3 (individualized behavioral plan) then medication as adjunct. Show how a visual task checklist and timer eliminate a significant proportion of initiation failures before medication is considered."
"PQ_MBH-04_3","Students normalized GAD anxiety as attention-seeking or believed avoidance (removing the student from academic demands) would resolve it, missing that accommodation reinforces the anxiety maintenance cycle.","treatment-assessment-confusion","Distractors A and C both use avoidance logic: removing triggers trains anxiety, and dismissing as attention-seeking minimizes urgency. Teach the anxiety maintenance cycle: trigger leads to anxiety leads to avoidance leads to temporary relief leads to stronger anxiety next time. Show how school reintegration with coping skills (breathing, self-talk) plus gradual exposure breaks the cycle, while excusal from demands strengthens it."
"PQ_MBH-04_4","Students treated depression and ADHD as mutually exclusive conditions rather than clinically common comorbidities that require simultaneous assessment and coordinated treatment planning.","overgeneralization","Distractor A incorrectly separates the two disorders entirely. Teach comorbidity prevalence: approximately 18% of children with ADHD also have depression, requiring dual-axis treatment planning. Create a case: student with ADHD restlessness plus depressive anhedonia (lost interest in soccer). Show how treating ADHD alone misses mood symptoms; ADHD intervention with structure and rewards can improve mood baseline, but depression may need separate targeted support."
"PQ_MBH-04_5","Students overgeneralized from oppositional arguing (ODD hallmark) to Conduct Disorder severity (rights violations, aggression, property destruction), missing the severity threshold and violation-of-rights criterion that distinguishes these two disorders.","scope-overgeneralization","Distractor B inflates ODD arguing to theft and property destruction. Teach a severity continuum: arguing and refusing (ODD) versus aggression and destruction (Conduct Disorder) versus violence and theft (more severe Conduct Disorder). Use the stem's six-month arguing pattern as ODD-sufficient; clarify that theft, deceitfulness, or serious aggression would trigger Conduct Disorder consideration instead."
"PQ_MBH-04_6","Students believed complete accommodation of phobic avoidance (excluding dogs entirely) would resolve the anxiety, missing the core behavioral principle that accommodation reinforces avoidance and perpetuates the phobia.","prerequisite-skipping","Distractor B (complete accommodation) is the most common error and most therapeutically harmful. Distractor A (dismissive 'just get over it') ignores clinical severity. Distractor D bypasses behavioral treatment for medication only. Teach the exposure principle: systematic desensitization requires graduated contact with the feared stimulus — relaxation at each step, hierarchy from pictures to distant presence to proximity. Accommodation prevents the habituation necessary for recovery."
"PQ_MBH-04_7","Students confused Separation Anxiety Disorder (specific fear about parental safety and separation from attachment figures) with Social Anxiety Disorder or Specific Phobia, missing the attachment-focused fear content that defines the diagnosis.","component-confusion","Distractor A (Specific Phobia) focuses on objects; Distractor B (Social Anxiety) focuses on peer evaluation; Distractor D (GAD) focuses on broad diffuse worry. Teach the differentiating feature: the fear in SAD is specifically about harm coming to attachment figures or being separated from them. Anchor question: 'What is the child afraid will happen?' — GAD answers have multiple worry targets; SAD answers are exclusively about parents or separation."
"PQ_MBH-04_8","Students normalized significant depressive symptoms (anhedonia, neurovegetative changes, hopelessness persisting three weeks) as typical adolescent moodiness, failing to apply the MDD duration threshold and functional impairment criteria.","developmental-stage-mismatch","Distractor A (normal moodiness) is the most clinically dangerous error. Distractor C (intellectual disability) misidentifies the disorder category entirely. Distractor D (girls only) introduces demographic bias. Teach the two-week duration rule plus functional impairment criterion: symptoms must persist most of the day, nearly every day, and interfere with school or social functioning. Compare: normal mood fluctuations last hours to a day; MDD symptoms persist daily for weeks and impair functioning."
"PQ_MBH-04_9","Students treated ASD and Intellectual Disability as mutually exclusive conditions, failing to recognize that comorbid ASD with ID is a common, documented presentation that requires both diagnostic lenses for appropriate intervention planning.","population-confusion","Distractor C (ID without autism) and Distractor D (cannot co-occur) both reflect the comorbidity-exclusion error. Teach prevalence: approximately 30-40% of individuals with ASD also have ID. Show how the presentations differ from each other: high-functioning ASD (normal IQ, social difficulty) versus severe ASD with ID (nonverbal, ID, severe adaptive deficits) are both on the ASD spectrum but require dramatically different support levels."
