UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_PSY-04_1","Students interpret BICS and CALP as categorical labels for disability types rather than as developmental timelines for language acquisition, conflating a linguistic framework with a medical classification system.","label-retrieval","Distractor A confuses BICS/CALP with learning disability categories (misconception about domain boundaries). Distractor C treats them as intelligence constructs rather than language development stages. Distractor D maps them to language disorder nosology. Teach: BICS/CALP is Cummins' sociolinguistic model, not a pathology taxonomy. Show how BICS is social/conversational (2–3 years) while CALP is academic/context-reduced (5–7+ years). Clarify the distinction between language difference (BICS/CALP framework) and language disorder (structural deficit)."
"PQ_PSY-04_10","Interpreting IDEA's intent as English-only assessment or unrestricted language choice, students mistake regulatory provisions for mandating monolingual administration rather than recognizing the requirement for bilingual access to assessment.","eligibility-criteria-confusion","Distractor A believes IDEA requires English-only testing (regulatory misread). Distractor B assumes proficiency must precede assessment (scope-undergeneralization of accessibility). Distractor D thinks IDEA permits unconstrained language mixing without accommodations (regulatory void). Teach IDEA through a concrete example: a Spanish-dominant first-grader with reading concerns must be assessed in both Spanish and English to rule out language difference. Emphasize 'when feasible' means schools must make intentional efforts and document their reasoning."
"PQ_PSY-04_11","Students prioritize immediate cognitive ability measurement over prerequisite language/educational history, skipping the foundational context-setting that distinguishes disability from difference in bilingual learners.","prerequisite-skipping","Distractor A jumps straight to IQ (typical clinical reflex but wrong without baseline). Distractor C assumes special education eligibility can be determined prior to language proficiency assessment (premature closure). Distractor D moves to placement decisions without language data (scope error). Teach: Use a case study of a student with 3 years of prior schooling in another country vs. 6 months—ask students why English proficiency and educational history matter *before* interpreting a cognitive score. Frame this as 'ruling out alternative explanations' not 'delaying assessment.'"
"PQ_PSY-04_12","Interpreting the silent period as either a personality trait or a pathological symptom, students confuse a normative second-language development stage with evidence of behavioral or communication disorder.","developmental-stage-mismatch","Distractor A attributes silence to shyness (personality attribution, not development). Distractor C pathologizes silence as selective mutism (disorder attribution rather than developmental normality). Distractor D prescribes instruction suspension (instructional consequence error). Teach: The silent period is universal in SLA—show a 90-day timeline for a new ELL kindergartener. Use: 'This student is listening and absorbing; your job is to provide comprehensible input and low-pressure speaking opportunities, not to diagnose.' Contrast with actual selective mutism (refusal across all contexts)."
"PQ_PSY-04_13","Students collapse comorbid language difference and language disorder into a single diagnosis, treating the presence of both as evidence of one explanation rather than recognizing the possibility of concurrent conditions.","model-conflation","Distractor A assumes deficit = disability (ignoring the dual-discrepancy model). Distractor C substitutes ESL instruction for assessment (service-vs-diagnosis confusion). Distractor D assumes language difference fully explains deficits (scope-undergeneralization of comorbidity). Teach: A student can be an ELL *and* have dyslexia. Show how to design assessments that measure language proficiency separately from phonological processing. Example: bilingual child with inconsistent scores in both languages (not a proficiency issue) → consider dyslexia and refer for specialist assessment."
"PQ_PSY-04_14","Students treat standardized English administration as an equitable best practice when it actually violates cultural-competence standards, inverting the direction of the bias-reduction principle.","scope-undergeneralization","Distractor A omits language proficiency assessment (missing foundational step). Distractor B relies on diverse norming alone (insufficient without other accommodations). Distractor D ignores acculturation context (incomplete history-taking). The correct answer is C ('English-only administration' is NOT best practice). Teach: 'Standardized' doesn't mean 'monolingual.' Show a bilingual student's 10-point gap between English-only and Spanish-English assessment—drive home that standardized administration in a single language *creates* the artifact. Contrast with translated/adapted tests normed on bilingual samples."
"PQ_PSY-04_15","Students infer that bilateral literacy deficits indicate global intellectual inability or lack of readiness, when such deficits actually point to a specific language-based processing disorder that can coexist with intact reasoning.","scope-overgeneralization","Distractor A overgeneralizes deficits to academic readiness as a whole (blanket unreadiness). Distractor C equates reading disability with overall cognitive limitation (IQ conflation). Distractor D expects spontaneous remediation without intervention (prognosis error). Teach: Use neuropsychological framing. 'A child with dyslexia can have average or superior reasoning but struggle with phoneme-to-grapheme mapping. Both languages are affected because the deficit is processing-based, not English-specific.' Assign a case where a bilingual first-grader with strong math and reasoning has emergent reading struggles in both languages."
"PQ_PSY-04_16","Practitioners select single-component interventions (culturally responsive tools alone, or MTSS alone, or comprehensive evaluation alone) when reducing disproportionality requires simultaneous implementation across screening, instruction, and evaluation systems.","population-confusion","Distractors A, B, C each name legitimate practices (culturally responsive screening, MTSS, comprehensive eval) but treat them in isolation. Correct answer is D (all components required). Teach: Disproportionality is a systems problem, not a tools problem. Walk through a scenario: responsive screening identifies overreferrals (A), but without Tier 1 instruction quality (B), students are still pushed to special education; then comprehensive evaluation (C) ensures those who enter are actually disabled. Omit any one and disproportionality persists."
"PQ_PSY-04_17","Students apply universal norm interpretations to all students, assuming standardized scores carry identical meaning across norm groups, when divergent representativeness requires interpretive caution and contextual qualification.","norm-criterion-confusion","Distractor A treats norms as universally valid (ignoring representativeness). Distractor C assumes score meaning is invariant (psychometric naïveté). Distractor D abandons cultural context when action is pending (urgency override). Teach: Show two norm groups for a math test. 'If this child is from a background underrepresented in the norm sample, a score of 95 might underestimate ability (floor effect) or vice versa. We don't know without checking representativeness. Always ask: Who are these norms based on? How similar is this student?' Use a concrete example with item-response rates differing by subgroup."
"PQ_PSY-04_18","Practitioners conflate simultaneous and sequential bilingualism by treating literacy timing as irrelevant to assessment, when sequential bilinguals' prior L1 literacy foundation meaningfully shapes L2 acquisition patterns and requires differentiated assessment interpretation.","component-confusion","Distractor A falsely claims sequential bilinguals cannot become truly bilingual (permanent proficiency barrier). Distractor C elevates sequential bilingualism as cognitively superior (false positive stereotype). Distractor D minimizes assessment differences (scope-undergeneralization). Teach: Show two timelines. Sequential: L1 literacy (ages K–2) → L2 introduction (age 3+) → L2 literacy (ages 4–5). Simultaneous: both from infancy, often parallel. Why it matters for assessment: sequential bilinguals can have transfer effects (L1 phonics → L2) or interference; simultaneous bilinguals show different patterns. Example: a sequential bilingual with weak L1 reading cannot transfer literacy skills to English until L1 is stronger."
