UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
PQ_SAF-03_1,A,L1,Conceptual,The student believed that any threat statement automatically requires immediate arrest regardless of the student's actual intent or the threat's validity.,Transient vs. substantive threat classification and response escalation criteria
PQ_SAF-03_1,C,L2,Conceptual,The student thought that absence of genuine intent means a statement was not made or should not be considered a threat at all.,Threat assessment model definition distinguishing expression from intent
PQ_SAF-03_1,D,L1,Procedural,The student assumed that transient threat expressions automatically trigger expulsion as the standard consequence.,Threat severity assessment protocols and proportionate response sequencing
PQ_SAF-03_10,A,L1,Procedural,The student believed that vague or ambiguous threat statements must be immediately escalated to law enforcement without completing a preliminary assessment.,Structured threat assessment decision-making process sequencing
PQ_SAF-03_10,C,L2,Conceptual,"The student thought that joking or stated joking status automatically eliminates the need to assess context, intent, or capability in threat evaluation.",Threat assessment risk factor analysis distinguishing stated intent from actual risk
PQ_SAF-03_10,D,L1,Conceptual,The student believed that removing the target student from the threatening student's proximity is the primary intervention recommended before determining actual threat risk.,Threat assessment response options proportionate to substantive vs. transient classification
PQ_SAF-03_11,A,L2,Conceptual,"The student thought that perpetrators of targeted school violence typically display obvious, clear warning signs that are reliably recognized by observers.",Safe School Initiative warning sign research and predictive validity limitations
PQ_SAF-03_11,C,L1,Conceptual,The student believed that warning signs possess high predictive power for identifying which students will commit violence acts.,Predictive validity and false-positive rate research in threat assessment screening
PQ_SAF-03_11,D,L2,Conceptual,The student assumed that most perpetrators of targeted school violence act on sudden impulse without showing any prior warning signs to others.,Safe School Initiative research on planning behavior and pre-incident indicators
PQ_SAF-03_12,A,L1,Procedural,The student believed that mental health counseling suffices as the primary intervention when a student has weapons access and has discussed plans to harm others.,Multiagency threat response coordination including law enforcement liaison
PQ_SAF-03_12,C,L2,Conceptual,The student thought that increased surveillance of the student is a necessary complement to mental health and law enforcement in high-risk substantive threat situations.,Threat assessment intervention vs. monitoring distinction in multiagency response
PQ_SAF-03_12,D,L2,Conceptual,The student conflated the need for comprehensive safety interventions with the requirement for immediate law enforcement notification as the first step.,Threat assessment response sequencing and multiagency communication protocols
PQ_SAF-03_13,A,L1,Conceptual,The student believed that mental illness is a strong causal factor predicting whether a student will commit targeted school violence.,Epidemiological research on mental illness and targeted violence perpetration rates
PQ_SAF-03_13,B,L1,Conceptual,The student thought mental illness serves as a reliable predictor of school violence risk in threat assessment models.,Research evidence on mental illness correlates in targeted school violence cases
PQ_SAF-03_13,D,L3,Conceptual,The student assumed that mental health status has no relevance to threat assessment or violence prevention planning.,Mental health assessment role in comprehensive threat evaluation protocols
PQ_SAF-03_14,A,L1,Procedural,The student believed that treating all threat statements as substantive is the safer approach despite wasting resources and creating false positives.,Structured professional judgment framework in VSTAG and threat assessment models
PQ_SAF-03_14,C,L2,Conceptual,The student thought that a student's stated denial of intent is sufficient to determine threat classification without examining supporting evidence.,Intent assessment methodology within structured professional judgment frameworks
PQ_SAF-03_14,D,L3,Conceptual,The student assumed that the target's emotional response should be the primary factor in determining threat severity and response level.,Threat assessment objective criteria independent of victim perception framework
PQ_SAF-03_15,A,L1,Procedural,The student believed that a confession of intent is the only necessary information for determining threat classification and risk level.,Comprehensive threat assessment interview protocol covering context and capability
PQ_SAF-03_15,C,L2,Procedural,The student thought that academic performance and discipline history alone provide sufficient information for threat risk determination.,Threat assessment factor framework including psychological state and planning behavior
PQ_SAF-03_15,D,L1,Procedural,The student assumed that peer reports eliminate the need for direct student interview in threat assessment processes.,Threat assessment methodology requiring direct student evaluation and context exploration
PQ_SAF-03_16,A,L1,Conceptual,The student believed that physical security or confinement automatically neutralizes the need for mental health intervention regarding violent ideation.,Threat assessment and mental health intervention as distinct but complementary functions
PQ_SAF-03_16,C,L1,Conceptual,The student thought that lack of weapon access completely eliminates risk from violent ideation in substantive threat assessment.,"Threat assessment risk factor analysis including ideation, intent, capability, and access"
PQ_SAF-03_16,D,L2,Procedural,The student assumed that threat assessment can be deferred until after a student is released from a secure setting.,Threat assessment protocols for institutionalized or confined students requiring ongoing evaluation
PQ_SAF-03_17,A,L2,Conceptual,"The student conflated target identification with victim-blaming, misunderstanding the investigative purpose of identifying potential harm recipients.",Target identification role in threat assessment information gathering and scope determination
PQ_SAF-03_17,C,L2,Conceptual,The student thought that identifying targets means concentrating all protective measures solely on those individuals named by the student.,Threat assessment response proportionality and school-wide safety vs. targeted protection
PQ_SAF-03_17,D,L3,Conceptual,The student assumed that target identification provides certainty about whether violence will actually occur.,Predictive validity limitations in threat assessment vs. categorical risk determination
PQ_SAF-03_18,A,L1,Conceptual,The student believed that low-risk threat assessments permit complete disengagement without follow-up monitoring or support services.,Threat assessment follow-up and ongoing monitoring protocols for low-risk determinations
PQ_SAF-03_18,B,L1,Procedural,The student thought that closing a threat assessment completely after determining low risk eliminates the need to monitor for emerging warning signs.,Re-assessment and monitoring protocols for changes in student circumstances post-assessment
PQ_SAF-03_18,D,L1,Procedural,The student assumed that substantive threat determinations automatically lead to exclusion regardless of the student's actual risk level or circumstances.,Threat assessment response options based on risk level
PQ_SAF-03_19,A,L2,Lexical,"The student conflated threat assessment terminology with threat evaluation, treating these terms as synonymous when they describe different processes.",Threat assessment vs. threat evaluation distinction in school violence prevention models
PQ_SAF-03_19,C,L2,Conceptual,The student thought that threat assessment and evaluation are distinguished by their focus domain rather than their scope or process depth.,Threat assessment process scope definition and safety planning inclusion criteria
PQ_SAF-03_19,D,L3,Conceptual,The student assumed that threat classification depends on the type of threat statement rather than the comprehensive assessment process employed.,Threat assessment model taxonomy classifying threats by mechanism and response protocol
PQ_SAF-03_2,A,L2,Conceptual,The student believed that family violence history is a strong predictor of targeted school violence when combined with violent ideation.,Safe School Initiative research on single vs. combined factors
PQ_SAF-03_2,C,L1,Conceptual,The student thought that bullying and social isolation are reliable predictors of targeted school violence in threat assessment models.,Threat assessment research distinguishing common risk factors from strong predictors
PQ_SAF-03_2,D,L1,Conceptual,The student assumed that academic failure and school disengagement are predictive factors for targeted school violence in threat assessment.,Safe School Initiative predictive validity research on capability vs. grievance factors
PQ_SAF-03_20,A,L1,Conceptual,The student believed that external expert assessments override school-based threat assessment findings regardless of data differences.,School-based threat assessment independence and decision-making authority model
PQ_SAF-03_20,C,L1,Procedural,The student thought that disagreement with external assessment justifies automatic law enforcement referral without conducting independent school assessment.,Threat assessment process distinguishing school review from law enforcement escalation
PQ_SAF-03_20,D,L2,Conceptual,The student assumed that external expert conclusions should be uncritically accepted even when school personnel observe contradictory information.,Assessment team information integration and independent threat determination protocols
PQ_SAF-03_3,A,L1,Conceptual,The student believed that threat assessment is designed to shield students from accountability rather than inform proportionate intervention.,Purpose of threat assessment in differentiating risk levels and proportionate response
PQ_SAF-03_3,C,L1,Procedural,The student thought that threat assessment should automatically result in law enforcement involvement for all statements.,Threat assessment risk determination informing response escalation sequencing
PQ_SAF-03_3,D,L1,Conceptual,The student assumed that threat assessment primarily serves to identify students for exclusion rather than risk evaluation.,Threat assessment purpose as intervention pathway rather than punishment determinant
PQ_SAF-03_4,A,L1,Procedural,The student believed that threat assessment can be adequately conducted with only administrative and law enforcement representation.,Multidisciplinary threat assessment team composition and role specification
PQ_SAF-03_4,C,L1,Procedural,The student thought that a single mental health professional can independently conduct comprehensive threat assessment without administrative or educator input.,"Threat assessment team composition including administrative, clinical, educational, and law enforcement perspectives"
PQ_SAF-03_4,D,L2,Conceptual,The student assumed that excluding administration ensures more objective threat assessment by removing authority bias.,Threat assessment team role definition requiring administrative authority for institutional action
PQ_SAF-03_5,A,L2,Lexical,"The student confused leakage with official disclosure channels, believing leakage refers to intentional law enforcement reporting.",Leakage definition as peer disclosure of threat or plan by potential perpetrator
PQ_SAF-03_5,C,L2,Lexical,The student conflated leakage with broader confidentiality breaches by school personnel rather than peer-to-peer threat communication.,Leakage definition and distinction from confidentiality violations by officials
PQ_SAF-03_5,D,L3,Lexical,The student mistook leakage for physical elopement or facility breach behavior rather than threat communication.,Leakage terminology in threat assessment context vs. facility security definitions
PQ_SAF-03_6,A,L1,Conceptual,The student thought that suicide and homicide threat assessment employ identical procedures and warning signs.,Suicide vs. homicide threat assessment risk factor and intervention differentiation
PQ_SAF-03_6,C,L1,Conceptual,The student believed that threats of self-harm and threats to others should be treated with equivalent risk protocols and management strategies.,Suicide vs. violence threat assessment distinct risk model and intervention design
PQ_SAF-03_6,D,L3,Conceptual,The student assumed that school personnel should focus exclusively on violence threats and ignore suicide risk assessment.,Comprehensive threat assessment addressing both homicide and suicide risk factors
PQ_SAF-03_7,A,L2,Procedural,The student thought that literal words spoken in a threat statement are the sole determinant of threat severity classification.,VSTAG contextual factors in threat assessment beyond literal statement analysis
PQ_SAF-03_7,C,L1,Procedural,The student believed that prior discipline history alone suffices to determine whether a statement constitutes a substantive threat.,"VSTAG framework integrating circumstance, means access, intent, and target information"
PQ_SAF-03_7,D,L3,Conceptual,The student assumed that student gender is a valid predictor of threat severity or violence risk in VSTAG assessment.,Evidence-based threat assessment rejecting stereotypes and gender-based profiling assumptions
PQ_SAF-03_8,A,L1,Procedural,The student believed that disturbing creative content in an assignment automatically constitutes a substantive threat requiring law enforcement involvement.,Threat assessment methodology distinguishing creative expression from substantive threat
PQ_SAF-03_8,C,L1,Procedural,The student thought that violent fictional content automatically justifies expulsion without conducting a threat assessment.,Threat assessment process required before substantive consequences in student cases
PQ_SAF-03_8,D,L2,Conceptual,The student assumed that dismissing disturbing creative content entirely prevents identifying actual threats hidden within assignments.,Threat assessment assessment approach balancing creative freedom with individualized risk evaluation
PQ_SAF-03_9,A,L2,Conceptual,"The student conflated student developmental level with threat severity, treating elementary threats as inherently less serious.","CSTAG threat severity based on imminence, not age"
PQ_SAF-03_9,B,L1,Procedural,The student thought that serious threats require only intervention while very serious threats mandatorily require law enforcement involvement.,CSTAG threat severity classification framework distinguishing intervention timelines
PQ_SAF-03_9,D,L2,Conceptual,The student believed that threat severity classification is subjective and school-policy-dependent rather than evidence-based.,CSTAG standardized threat severity assessment criteria and classification protocols
item_011,B,L1,Procedural,The student believed that administrative notification without parent notification suffices as the first action in response to suicide ideation drawings.,Suicide assessment protocol priority sequencing with parent notification requirements
item_011,C,L1,Procedural,The student thought that involving additional staff in assessment eliminates the responsibility to notify parents directly about suicide concerns.,Suicide assessment process requiring parent notification as essential first response
item_011,D,L1,Procedural,The student assumed that parent contact can be deferred until after school personnel complete the assessment.,Suicide assessment parent notification timing and priority in crisis response
item_013,A,L2,Conceptual,The student believed that classroom-level drug prevention education is the most effective intervention for community-wide substance abuse issues.,"School intervention framework integrating individual, family, school, and community responses"
item_013,B,L2,Conceptual,The student thought that school-wide campaigns alone address the root causes of substance use involving parental and community drug activity.,School safety intervention model requiring multiagency and family engagement
item_013,C,L1,Procedural,The student assumed that training teachers in drug discussions alone resolves the broader systemic community substance abuse problem.,Comprehensive school safety intervention design incorporating multiple intervention levels
item_016,B,L2,Conceptual,The student believed that providing mental health support adequately addresses the need to notify parents of aggressive incidents involving bullying.,Legal duty-to-warn requirements distinct from mental health service provision
item_016,C,L2,Procedural,The student thought that school counselor or psychologist involvement eliminates the necessity for direct parent notification.,Parent notification requirement independent of internal school mental health service provision
item_016,D,L2,Conceptual,The student assumed that restorative practices with victims and perpetrators satisfy the legal and ethical parent notification requirement.,Legal duty-to-warn requirement separate from victim support and conflict resolution practices
item_075,A,L1,Procedural,The student believed that threat assessment determination occurs before notifying administration and parents in harassment situations.,Threat response protocol priority sequencing with immediate parent and administrator notification
item_075,B,L2,Conceptual,The student thought that mediation and restorative practices are appropriate first responses to potential threat situations.,Threat assessment vs. conflict resolution distinction in response protocol sequencing
item_075,C,L2,Procedural,The student assumed that consulting administration about procedures delays necessary parent and administrator notification.,Threat response protocol requiring concurrent notification rather than sequential consultation
item_089,A,L2,Conceptual,The student believed that suspension disciplinary practices alone constitute the major equity and social justice threat in schools.,"Disproportionality definition in discipline, placement, and service allocation patterns"
item_089,B,L2,Conceptual,The student thought that special education inclusion practice adequacy is the primary equity threat in schools.,Disproportionality concept in disability identification and placement distribution
item_089,C,L3,Conceptual,The student assumed that Individualized Education Program implementation is inherently inequitable to students.,Disproportionality in IEP decision-making and special education placement processes
item_103,B,L2,Conceptual,"The student conflated administrative bias with systemic inequity, treating individual administrator beliefs as the primary driver of injustice.",Systemic racism definition and distinction from individual or institutional prejudice
item_103,C,L3,Conceptual,The student confused gender-based privilege mechanisms with racial injustice and systemic racism.,Systemic racism concept distinct from gender equity and other intersectional justice issues
item_103,D,L3,Conceptual,The student mistook cognitive bias in perception with systemic racial inequity mechanisms.,Systemic racism definition and distinction from individual observer bias phenomena
item_116,B,L2,Conceptual,The student thought that bullying is reliably present in the backgrounds of perpetrators of targeted school violence.,Safe School Initiative research distinguishing grievance patterns from universal bullying profiles
item_116,C,L1,Conceptual,The student believed that targeted school violence is typically impulsive rather than planned with advance preparation.,Safe School Initiative research on extensive planning behavior preceding attacks
item_116,D,L2,Conceptual,The student assumed that perpetrators never display concerning behaviors observable to others before committing violence.,Warning signs and concerning behaviors research in targeted school violence prevention
item_124,A,L1,Conceptual,The student believed that ability tracking systems are endorsed by NASP as effective school practices.,NASP position on tracking and its relationship to disproportionality and inequity
item_124,C,L1,Conceptual,The student thought that zero tolerance policies are recommended by NASP for school safety and violence prevention.,NASP research-based position against zero tolerance policies and support for threat assessment
item_124,D,L2,Conceptual,The student assumed that grade retention practices align with NASP recommendations for school effectiveness.,NASP position on student retention and evidence-based alternatives to retention
item_173,A,L1,Procedural,The student believed that parent permission must be obtained before conducting a suicide assessment for a student in distress.,Suicide assessment emergency protocol overriding normal consent requirements for safety
item_173,B,L1,Procedural,The student thought that informing administration has priority over ensuring the student remains supervised during assessment.,Suicide assessment safety protocol prioritizing continuous observation over notification sequencing
item_173,D,L1,Procedural,The student assumed that parent notification and assessment can occur with only single mental health professional presence.,Suicide assessment safety protocol requiring paired monitoring and dual supervision
item_184,A,L2,Conceptual,The student believed that MTSS and RTI practices constitute major threats to equity and social justice.,Disproportionality concept distinct from evidence-based intervention framework implementation
item_184,B,L2,Conceptual,The student thought that special education inclusion represents a major threat to equity and social justice.,Disproportionality in special education identification and referral patterns definition
item_184,C,L3,Conceptual,The student assumed that Section 504 legal accommodations threaten equity and social justice outcomes.,Disproportionality in Section 504 identification separate from legal accommodation provision
item_225,A,L1,Conceptual,The student believed that sharing confidential information with law enforcement violates FERPA in all threat assessment situations.,FERPA confidentiality exceptions for safety and law enforcement in threat situations
item_225,C,L1,Procedural,The student thought that informed parent consent is a prerequisite for conducting threat assessment interviews with students.,Threat assessment procedures overriding standard consent when student safety is involved
