"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_ACA-09_1","Students assume TBI recovery is linear and rapid, underestimating the need for systematic re-entry planning and gradual reintegration.","developmental-stage-mismatch","Students choosing A need explicit instruction on TBI recovery timelines and neuroplasticity. Use case study of a real TBI re-entry to anchor why assessment (correct answer) precedes placement. For choice C, clarify that assessment informs whether SpEd is needed—not automatic. For choice D, explain that school absence ≠ academic regression requiring retention."
"PQ_ACA-09_10","Belief that medical conditions automatically trigger categorical special education placement, conflating accommodation coordination with disability categorization.","eligibility-criteria-confusion","Directly contrast choice A (exclusion as safety measure) with choice B (tailored accommodations). Students choosing A think all medical students need exclusion; teach individualized planning via sickle cell example: pain management, rest breaks, normal academics. Choice C misconception requires explicit rule: IDEA OHI exists for exactly this—but not all health conditions qualify. Use decision tree to show when a condition meets OHI vs. when it just needs 504 or general accommodation."
"PQ_ACA-09_11","Failure to recognize that medication side effects can be the primary driver of behavioral change, instead defaulting to intentional misbehavior or psychiatric etiology.","causation-correlation","Choice A students think behavior = intentional → punishment. Reframe: corticosteroids alter mood regulation neurochemically. Use brief neuroscience: steroids increase irritability/dysregulation in ~20% of users. Choice B students over-pathologize new symptoms as psychiatric disorder. Teach collaborative model: physician + school = optimize medication + manage classroom impact simultaneously. Choice D normalization teaches false confidence in spontaneous resolution—emphasize that side effects worsen without intervention."
"PQ_ACA-09_12","Conflation of sensory/physical limitations with cognitive or intellectual deficits, leading to belief that visual impairment eliminates the need for assessment customization.","population-confusion","Choice A (no accommodations) reflects misconception that vision status doesn't affect test validity. Teach: assessment accommodations preserve construct validity (we measure math, not vision). Choice C (segregation) represents outdated LRE thinking; use policy + outcomes data to show inclusion models work. Choice D (vision → intellectual disability) is fundamental confusion—teach that sensory and cognitive domains are distinct unless comorbid disability exists. Anchor with braille assessment example showing unchanged cognitive demand."
"PQ_ACA-09_13","Fundamental misunderstanding that tics are volitional behaviors subject to punishment or suppression, or that they are attentional seeking.","prerequisite-skipping","Choice A (punishment) stems from missing prerequisite: involuntary = not under conscious control. Teach neurobiology of Tourette's: basal ganglia hyperactivity produces tics independent of reinforcement. Choice C (attention-seeking) misses involuntariness; redirect: attention may worsen tics (stress-driven), but suppression attempts paradoxically intensify them. Choice D (homebound as stress removal) sounds compassionate but creates isolation; teach: tics normalize with low-pressure environment + coping strategies IN school, not away from peers."
"PQ_ACA-09_14","Assumption that any significant academic impact qualifies as a specific learning disability or intellectual deficit, rather than recognizing health-based performance limitation.","model-conflation","Choice A (SLD) conflates achievement gaps with processing disorders—students miss the health etiology filter. Teach: SLD requires cognitive discrepancy; asthma causes situational absence/fatigue, not durable processing gaps. Choice C (ED) treats secondary anxiety as primary emotional disorder. Teach: asthma-related anxiety ≠ primary ED unless behavior pattern predates/persists beyond health control. Choice D (ID) confuses current performance with cognitive capacity. Emphasize: OHI is the right category when a medical condition impairs school function."
"PQ_ACA-09_15","Belief that medication side effects warrant immediate discontinuation or should be tolerated passively, missing the iterative collaborative adjustment model.","treatment-assessment-confusion","Choice A (stop immediately) reflects all-or-nothing thinking; teach collaborative inquiry: side effects are data, not stop signs. Choice C (assume normal, do nothing) represents passive acceptance—wrong direction; use flowchart: side effect report → physician contact → monitor/adjust. Choice D (increase stimulation/caffeine as self-help) shows misunderstanding of ADHD medication pharmacology; emphasize: fatigue from stimulant side effects requires dose/timing adjustment by prescriber, not counter-stimulation. Role-play physician conversation to normalize consultation."
"PQ_ACA-09_16","Framing hypoglycemia as behavioral/disciplinary issue rather than medical emergency, preventing timely intervention.","consent-confidentiality-confusion","Choice A (behavioral consequences) is dangerously wrong; teach: hypoglycemia = medical emergency with altered consciousness/cognition. Confusion/irritability are symptoms of low glucose, not misbehavior. Use glucose data + timeline to show symptom-glucose link. Choice C (exclusion from school) misunderstands IDEA health accommodations; students think stability = isolation. Teach: with care plan + monitoring, students attend normally. Choice D (blame) misses system thinking; teach shared responsibility model—school executes plan, family coordinates refills/monitoring, doctor prescribes."
"PQ_ACA-09_17","Narrowing of neurodevelopmental impact to a single domain (intellectual, motor, or language only), missing the multi-system nature of prenatal drug exposure.","scope-undergeneralization","Choice A (intellectual only) represents single-domain thinking—students miss that PDE creates a constellation. Teach: executive function + impulse control + social skills are 3 separate-but-related deficits. Choice C (motor only) deflects from behavioral/cognitive domains where real school impact occurs. Choice D (language only) again misses breadth—use comparative chart: language delays exist BUT are outweighed by EF deficits in school functioning. Emphasize comprehensive neuropsychological assessment covering all domains."
"PQ_ACA-09_18","Confusion of medication classes or belief that seizure management drugs are free from cognitive side effects.","label-retrieval","Choices A, C, D all reflect misclassification: students associate seizure meds with unrelated drug classes (BP meds, antibiotics) or deny cognitive effects entirely. Teach systematic approach: anticonvulsants ≠ blood pressure drugs ≠ antibiotics. Anchor with mechanism: phenobarbital slows GABA reuptake → cognitive dulling. Use side-effect profile chart contrasting medications with and without cognitive risk. For choice D, emphasize: 'free of side effects' is never true in psychopharmacology—always weigh benefit/burden."
