UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_ETH-02_1","Students conflate presence of error with malpractice, missing the legal requirement for duty, breach, causation, and actual damages.","prerequisite-skipping","Distractor A claims being wrong suffices. Remediate by building the four-part legal framework: duty must exist, breach must occur, breach must cause harm, and damages must be measurable. Use comparative cases (misdiagnosis alone vs. misdiagnosis + failed to follow protocol + student harmed) to show why each element matters."
"PQ_ETH-02_10","Students assume record retention follows school calendar rather than student enrollment, confusing administrative cycles with legal requirements.","sequence-inversion","Distractor A uses school year as boundary. Teach that retention rules track student status (enrolled vs. discharged), not academic calendar. Walk through: student leaves district mid-year? Records stay. Student graduates? Records retained per statute. Emphasize FERPA runs across years, not within them."
"PQ_ETH-02_11","Students treat informality of communication medium as protection against liability, failing to recognize that confidentiality breaches apply regardless of format.","component-confusion","Distractor A claims text messages avoid liability due to informality. Clarify the liability nexus: discoverable informal communication = evidence of negligence. Show how text messages lack encryption, create fragmented documentation, and expose sensitive data in backup systems—more risky than formal channels, not less."
"PQ_ETH-02_12","Students require evidence of actual unauthorized access before acknowledging breach of confidentiality, confusing realized harm with duty violation.","causation-correlation","Distractor C states liability only arises if someone accessed materials. Teach prospective standard: storing assessment materials insecurely violates duty before access occurs. Use example: unlocked filing cabinet with sensitive data is breach even if no one accessed it yet; the risk itself is the violation."
"PQ_ETH-02_13","Students focus narrowly on bias or unprofessionalism rather than recognizing how derogatory language creates liability through both credibility and legal discrimination exposure.","scope-undergeneralization","Distractors A, C, D each emphasize different secondary concerns (credibility, discrimination, unprofessionalism). Correct answer B captures the binding thread: subjective language undermines the entire evidentiary foundation. Teach: derogatory language makes the report vulnerable to challenge on multiple grounds simultaneously—it's not about one risk, but cascading ones."
"PQ_ETH-02_14","Students incorrectly scope FERPA requirements to school psychologists alone or to temporary windows, missing universal staff applicability and year-round scope.","scope-overgeneralization","Distractors A (only psych), C (school year only), D (test scores only) each apply artificial boundaries. Emphasize FERPA applies to ALL staff, ALL records (clinical + test), ALL year. Use walkthrough: substitute teacher reviews file—subject to FERPA. Summer records request—subject to FERPA. Clinical notes—subject to FERPA."
"PQ_ETH-02_15","Students emphasize personal preference (favorable testimony) or avoidance over the core ethical duty: testimony must be accurate, truthful, and within scope of expertise.","indirect-direct-confusion","Distractor C assumes loyalty to student/school overrides truthfulness; D assumes refusal is acceptable. Teach the role boundary: expert witness role means oath to truth, not advocacy. Walk through: if data don't support your assessment, say so under oath. That's the ethical position, even if uncomfortable."
"PQ_ETH-02_16","Students believe supervisee autonomy absolves supervisor of delegated responsibility, misunderstanding vicarious liability for inadequately-trained staff.","role-confusion","Distractor A claims supervisee's choice to proceed absolves supervisor. Clarify: delegation is not abandonment. Supervisor remains liable if task exceeds supervisee's training. Use scenario: supervisor signs off on high-stakes assessment with minimal guidance → student harm → liability is SUPERVISOR'S. Autonomy is not excuse."
"PQ_ETH-02_17","Students use technical jargon or omit negative findings, misunderstanding that clear communication and full disclosure are the standard for family-facing reports.","label-retrieval","Distractors A (jargon establishes authority) and C (hide negatives to protect feelings) both fail to serve families' actual need: understanding. Teach: translate findings into plain language, explain why they matter, name what comes next. When families understand, they can advocate for their student. Jargon and omission block that."
"PQ_ETH-02_18","Students believe liability insurance covers all professional mistakes without exclusion, misunderstanding the specific coverage limits around intentional harm and illegal acts.","norm-criterion-confusion","Distractor A overgeneralizes coverage; C claims unlimited scope. Teach: insurance covers unintentional malpractice, defense costs, and professional liability. It explicitly excludes intentional harm and criminal conduct. Walk a scenario: you make a statistical error in assessment scoring (covered); you falsify data (not covered)."
