UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
"PQ_MBH-05_1","A","L2","Conceptual","The student believed the amygdala governs executive functioning and impulse control, confusing emotional processing circuitry with the prefrontal networks that regulate planning and self-regulation.","Differentiating amygdala emotional processing from prefrontal executive control functions"
"PQ_MBH-05_1","B","L2","Conceptual","The student believed the hippocampus is the primary seat of executive functioning, conflating its role in memory consolidation and spatial navigation with the planning and impulse control functions of the prefrontal cortex.","Distinguishing hippocampal memory functions from prefrontal executive functioning"
"PQ_MBH-05_1","D","L3","Conceptual","The student believed the cerebellum is responsible for executive functioning and impulse control, not knowing that cerebellar function is primarily motor coordination and balance rather than the cognitive regulation supported by the prefrontal cortex.","Cerebellar motor function versus prefrontal cognitive executive control"
"PQ_MBH-05_2","A","L1","Conceptual","The student believed the prefrontal cortex becomes overactive in chronic trauma, reversing the actual pattern in which trauma reduces prefrontal regulatory control while amygdala threat-detection hyperactivates.","Direction of prefrontal cortex dysregulation in trauma: hypoactivation versus hyperactivation"
"PQ_MBH-05_2","C","L2","Conceptual","The student believed hippocampal overactivity produces the hypervigilance and exaggerated startle responses seen in trauma, not recognizing that these symptoms reflect amygdala hyperactivation rather than hippocampal dysfunction.","Distinguishing amygdala hyperactivation from hippocampal trauma effects in symptom presentation"
"PQ_MBH-05_2","D","L3","Conceptual","The student identified the corpus callosum as the structure whose overactivity drives trauma-related hypervigilance and startle responses, not knowing that the corpus callosum connects hemispheres and plays no primary role in threat detection.","Corpus callosum interhemispheric function versus amygdala threat-detection circuitry"
"PQ_MBH-05_3","A","L1","Conceptual","The student believed serotonin dysregulation is the primary neurotransmitter mechanism in ADHD, confusing the mood and anxiety disorder pathway that SSRIs target with the dopaminergic attention and executive function pathway implicated in ADHD.","Differentiating serotonin mood pathways from dopamine attention pathways in ADHD neurobiology"
"PQ_MBH-05_3","C","L2","Conceptual","The student believed acetylcholine system dysfunction underlies ADHD, conflating its role in attention and memory consolidation in cortical and basal ganglia circuits with the dopaminergic pathway that is the primary target of ADHD pharmacotherapy.","Acetylcholine attentional role versus dopamine primary mechanism in ADHD"
"PQ_MBH-05_3","D","L2","Conceptual","The student believed GABA system dysregulation is the primary mechanism in ADHD because GABA influences impulse control, conflating the inhibitory neurotransmitter's general role with the dopaminergic pathway specifically targeted by stimulant medications.","GABA inhibitory function versus dopaminergic mechanism in ADHD treatment"
"PQ_MBH-05_4","A","L2","Conceptual","The student believed dopamine is the primary neurotransmitter target for SSRIs in anxiety and depression, confusing the dopaminergic reward pathway relevant to ADHD with the serotonergic system that SSRIs directly modulate.","SSRI mechanism of action targeting serotonin versus dopamine system"
"PQ_MBH-05_4","B","L2","Conceptual","The student believed acetylcholine is the neurotransmitter system implicated in anxiety and depression targeted by SSRIs, not recognizing that acetylcholine primarily supports memory and attention rather than mood regulation.","Acetylcholine attention and memory function versus serotonin mood regulation in psychopharmacology"
"PQ_MBH-05_4","D","L2","Conceptual","The student believed glutamate is the exclusive neurotransmitter targeted by SSRIs in depression and anxiety, having encountered emerging ketamine research but not recognizing that serotonin remains the primary conventional SSRI target.","Glutamate emerging depression research versus serotonin as primary SSRI pharmacological target"
"PQ_MBH-05_5","A","L2","Conceptual","The student believed growth hormone is the stress-response hormone released via the HPA axis that can impair brain development when chronically elevated, confusing pituitary-mediated growth regulation with the glucocorticoid stress response pathway.","HPA axis cortisol stress pathway versus growth hormone pituitary function"
"PQ_MBH-05_5","C","L3","Conceptual","The student selected insulin as the HPA axis stress hormone whose chronic elevation harms brain development and learning, not knowing that insulin is a pancreatic metabolic hormone unrelated to the hypothalamic-pituitary-adrenal stress response.","HPA axis stress hormone identification versus insulin metabolic function"
"PQ_MBH-05_5","D","L3","Conceptual","The student identified thyroid hormone as the HPA axis product chronically elevated under stress that damages learning and brain development, confusing thyroid's metabolic and developmental role with cortisol's glucocorticoid stress function.","Thyroid hormone developmental function versus cortisol HPA axis stress response"
"PQ_MBH-05_6","B","L1","Conceptual","The student believed the brain loses capacity for change after early childhood, holding the outdated fixed-brain model that neuroplasticity research has disproven by documenting structural and functional change throughout the adult lifespan.","Lifespan neuroplasticity versus fixed early-childhood critical period misconception"
"PQ_MBH-05_6","C","L2","Conceptual","The student believed brain structures are anatomically fixed and incapable of alteration under any circumstances, not having learned that synaptic pruning, myelination, and experience-dependent structural changes occur across development and into adulthood.","Experience-dependent structural brain change versus fixed anatomical determinism"
"PQ_MBH-05_6","D","L2","Conceptual","The student believed neuroplasticity refers only to the formation of new memories, not recognizing that the concept encompasses structural synaptic change, cortical remapping, skill acquisition, and functional reorganization following injury.","Full scope of neuroplasticity beyond memory formation to structural and functional change"
"PQ_MBH-05_7","A","L1","Conceptual","The student recognized that critical periods involve heightened brain sensitivity but selected an option that implicitly frames the windows as the exclusive developmental opportunity for those skills rather than a period of heightened—but not sole—sensitivity.","Critical periods as heightened sensitivity windows versus exclusive developmental learning opportunities"
"PQ_MBH-05_7","B","L2","Conceptual","The student believed that failing to acquire specific skills during a critical period renders later learning impossible or severely impaired, overextending the concept to an absolute threshold rather than understanding that critical periods mark heightened—not exclusive—sensitivity.","Critical period as heightened sensitivity versus absolute developmental threshold for skill acquisition"
"PQ_MBH-05_7","D","L3","Conceptual","The student believed the majority of all human cognitive development occurs exclusively during infancy and early childhood, conflating early critical periods for specific sensory and language skills with a broader claim about all learning across the lifespan.","Scope of critical period theory versus all-encompassing early childhood learning claims"
"PQ_MBH-05_8","A","L2","Conceptual","The student believed the amygdala is primarily responsible for forming new memories and spatial navigation, confusing its role in emotional memory encoding with the hippocampus's function in declarative memory consolidation and spatial mapping.","Amygdala emotional memory versus hippocampal declarative memory and spatial navigation"
"PQ_MBH-05_8","B","L2","Conceptual","The student believed the prefrontal cortex is the primary structure for forming new memories and spatial navigation, conflating its executive function and working memory operations with the hippocampus's role in converting short-term memories to long-term storage.","Prefrontal working memory versus hippocampal long-term memory consolidation and spatial function"
"PQ_MBH-05_8","D","L3","Conceptual","The student selected the cerebellum as the primary structure for memory formation and spatial navigation, not knowing that the cerebellum coordinates motor function and timing rather than supporting declarative memory or hippocampal-dependent spatial mapping.","Cerebellar motor coordination versus hippocampal memory and spatial navigation functions"
"PQ_MBH-05_9","A","L3","Conceptual","The student placed Broca's and Wernicke's language areas in the cerebellum, not knowing that these language regions are cortical structures located in the left hemisphere's frontal and temporal lobes, while the cerebellum primarily coordinates motor function.","Cortical versus cerebellar neuroanatomy for language area localization"
"PQ_MBH-05_9","B","L2","Conceptual","The student located Broca's and Wernicke's areas in the occipital lobe, confusing the primary visual cortex at the posterior brain with the frontal and temporal language-processing cortex in the left hemisphere.","Occipital visual cortex versus frontal-temporal language cortex neuroanatomy"
"PQ_MBH-05_9","D","L3","Conceptual","The student placed Broca's and Wernicke's areas within the amygdala, not recognizing that the amygdala is a subcortical limbic structure for emotional processing while language areas are cortical regions in the frontal and temporal lobes.","Subcortical amygdala emotional function versus cortical language area localization"
"PQ_MBH-05_10","A","L3","Conceptual","The student believed the right and left hemispheres are functionally identical with no meaningful differences in specialization, not having learned that while both hemispheres contribute to all functions, reliable lateralization exists for language, logic, and spatial processing.","Hemispheric lateralization versus bilateral symmetry in brain functional organization"
"PQ_MBH-05_10","C","L1","Conceptual","The student believed the right hemisphere is primarily responsible for language processing, inverting the typical lateralization pattern in which the left hemisphere dominates language and sequential processing while the right hemisphere handles spatial and holistic functions.","Left versus right hemisphere language lateralization in typical brain organization"
"PQ_MBH-05_10","D","L3","Conceptual","The student believed hemispheric specialization has no relevance to school psychology practice, not recognizing that lateralization informs interpretation of reading difficulties, language delays, and neuropsychological profiles encountered in psychoeducational evaluation.","Clinical relevance of hemispheric lateralization for school psychology assessment practice"
"PQ_MBH-05_11","A","L2","Conceptual","The student believed the corpus callosum is part of the limbic system involved in emotional processing, confusing white matter commissural fiber tracts that facilitate interhemispheric communication with the subcortical structures comprising the limbic emotion circuitry.","Corpus callosum white matter connectivity versus limbic system emotional processing structures"
"PQ_MBH-05_11","C","L2","Conceptual","The student believed the corpus callosum functions exclusively in memory, not knowing that it is a commissural fiber bundle whose primary role is enabling real-time communication between left and right hemispheres across all cognitive functions.","Corpus callosum interhemispheric communication function versus memory-exclusive role misconception"
"PQ_MBH-05_11","D","L2","Conceptual","The student believed the corpus callosum is responsible for motor control, confusing the cerebellum's and motor cortex's roles in movement regulation with the corpus callosum's function of connecting left and right hemispheric networks.","Corpus callosum commissural function versus motor cortex and cerebellar movement control"
"PQ_MBH-05_12","A","L2","Conceptual","The student believed genes completely determine behavior and development while environment plays no role, holding a strict genetic determinist view that epigenetics directly refutes by demonstrating how environmental experiences modify gene expression without altering DNA.","Genetic determinism versus epigenetic gene-environment interaction in development"
"PQ_MBH-05_12","B","L2","Conceptual","The student believed environment alone determines behavioral outcomes while genetic factors are entirely irrelevant, holding a strict environmental determinism position that epigenetics refutes by showing that inherited gene variants remain relevant under environmental modification.","Environmental determinism versus epigenetic bidirectional gene-environment interaction"
