"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_LEG-01_1","Students conflate FERPA's federal-funding eligibility criterion with school type or enrollment size, applying the law universally to all schools.","scope-overgeneralization","Distractor A (all schools) reveals overgeneralization: teach that FERPA's applicability hinges on federal funding receipt, not whether a school is public, private, or large. Contrast with D (enrollment size) to clarify FERPA scope criteria."
"PQ_LEG-01_10","Students assume judicial orders bypass FERPA notification and verification steps, collapsing the procedural safeguard into immediate compliance.","prerequisite-skipping","Distractor A (comply without notice) indicates procedural collapse. Build a workflow: verify order legitimacy → notify parent (unless order says otherwise) → produce records. Highlight that FERPA does not exempt schools from due process."
"PQ_LEG-01_11","Students confuse or conflate two distinct privacy laws (FERPA and HIPAA), losing the boundary between educational and health records.","model-conflation","Distractor A (same law) reveals conflation; distractor D (only HIPAA applies) reverses the scope. Teach: FERPA governs schools' education records; HIPAA governs healthcare providers' health records. Show side-by-side comparison."
"PQ_LEG-01_12","Students restrict noncustodial parental rights based on custody status alone, overlooking FERPA's baseline presumption that both parents have access unless court-ordered otherwise.","scope-undergeneralization","Distractor C (custodial only) narrows rights beyond what FERPA grants. Emphasize that FERPA presumes access for both parents; court orders are the exception that restricts. Use a custody status decision tree."
"PQ_LEG-01_13","Students over-generalize the prohibition on data sharing, treating all research requests as forbidden regardless of consent availability.","scope-overgeneralization","Distractor A (refuse all research) over-applies confidentiality. Teach the consent requirement as the gatekeeper: with parental consent, research data can be shared. De-identification is a separate pathway for some contexts."
"PQ_LEG-01_14","Students misidentify PII scope, either under-narrowing it to one category (SSN only) or ignoring the public nature of yearbook information.","label-retrieval","Distractor A (SSN only) undershoots PII breadth; distractor D (yearbook visible) confuses directory information with PII. Use the PII definition: name, ID, address, parent info, biometric records. Create an eligibility matrix for what counts as PII vs. directory info."
"PQ_LEG-01_15","Students either over-restrict record transfer (requiring permission) or under-restrict it (sharing without safeguards), missing FERPA's presumption of notification.","scope-undergeneralization","Distractor C (always ask permission) over-constrains transfer; distractor A (no limitation) removes safeguards. Clarify: notification to parent (if required by state) is standard; consent is not. Show state variation rules."
"PQ_LEG-01_16","Students believe summarization or publication alone suffices for de-identification, overlooking the re-identification risk assessment that must accompany true de-identification.","scope-overgeneralization","Distractor C (summary only) and A (published data) mishandle de-identification rigor. Teach: de-identification requires both removal of identifiers AND assurance re-identification is very difficult. Use an IRB de-identification checklist."
"PQ_LEG-01_17","Students conflate the content of FERPA notifications (staff access, technical storage) with parental rights (inspect, amend, control disclosure).","purpose-confusion","Distractor A (staff access focus) and C (technical storage) shift the notification purpose away from rights. Rebuild: annual FERPA notices exist to *inform parents* of their rights, not to list staff or describe infrastructure."
"PQ_LEG-01_18","Students assume incarceration status automatically severs parental FERPA rights, confusing eligibility criteria with criminal status disqualifications.","eligibility-criteria-confusion","Distractors A and D both wrongly revoke rights based on incarceration. Teach: incarceration status does not remove FERPA rights; only court orders restricting contact do. Address the bias that incarceration equates to parental unfitness under FERPA."
