id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
SP5403_Q001,,DBDM-S01,DBDM,"Which of the following is a commonly used metric for establishing reliability of measurement within the context of a single-subject design?","Internal consistency",Test-retest reliability,"Interobserver agreement","The generalizability coefficient",C,"Interobserver agreement",A=20|B=23|C=23|D=32,23.00,A=0.87|B=1.00|C=1.00|D=1.39,"none",ETS
SP5403_Q002,,CC-S01,C&C,"A school psychologist is working with a cultural broker to understand how to support a student who recently moved to the district from India. The school psychologist then shares the information from the cultural broker with the teachers to use in the classroom. Which of the following best describes the type of consultation being used?","Consultee-centered",Multicultural,"Problem-solving","Indirect",B,Multicultural,A=18|B=13|C=15|D=8,13.00,A=1.38|B=1.00|C=1.15|D=0.62,"none",ETS
SP5403_Q003,,"NEW-7-BarriersToEngagement",Family,"A school psychologist serves a population consisting primarily of non-White students, many of whom identify as Black and Hispanic American. The school psychologist approaches a more experienced colleague for advice. Which TWO of the following recommendations should be offered to the school psychologist?","When using an interpreter in a family conference, direct statements and questions to the interpreter to increase the accuracy of the translation.","Understand that stereotypes can prevent understanding of factors unique to individual students and their families.","Be aware that individuals within a family often differ in the degree to which they identify with the majority culture.","Set aside personal cultural beliefs and values in working with this population.",B|C,"Understand that stereotypes can prevent understanding of factors unique to individual students and their families. | Be aware that individuals within a family often differ in the degree to which they identify with the majority culture.",A=145|B=114|C=118|D=79,116.00,A=1.25|B=0.98|C=1.02|D=0.68,"none",ETS
SP5403_Q004,,DIV-S04,Research,"Which of the following is the best example of action research?","Reviewing the results of an empirical research study to find out whether a reading intervention is effective","Conducting an experimental study in the school to determine whether cognitive behavior techniques are effective in alleviating anxiety","Assisting a teacher in implementing a math intervention to determine whether it improves a class's math computation ability","Reading testimonials on a Web site for a writing intervention program and deciding to implement the program in the school",C,"Assisting a teacher in implementing a math intervention to determine whether it improves a class's math computation ability",A=108|B=134|C=123|D=121,123.00,A=0.88|B=1.09|C=1.00|D=0.98,"none",ETS
SP5403_Q005,,MBH-S04,Academic,"Emily is a kindergarten student with a hearing impairment. She is experiencing difficulties in phonemic awareness and reading comprehension. Teacher of the Deaf (TOD) services have been recommended for Emily; however, the student support team director would prefer that a special education teacher provide these services. Which of the following is the most appropriate course of action to ensure that Emily's needs are met?","Training the special education teacher to provide TOD services","Proceeding with the director's recommendation that only special education teacher supports are warranted","Insisting that Teacher of the Deaf services have been recommended and should be considered","Consulting with the speech and language therapist to revise Emily's plan of services",C,"Insisting that Teacher of the Deaf services have been recommended and should be considered",A=62|B=104|C=90|D=84,90.00,A=0.69|B=1.16|C=1.00|D=0.93,"none",ETS
SP5403_Q006,,PC-S02,Diversity,"Juan is a third-grade student whose primary language is Spanish. Juan's teacher has observed that he has difficulty understanding and following directions. The teacher reports concerns with his sentence structure and grammar. Juan is reportedly quiet and does not speak much within the school environment. Based on this information, which of the following is the most appropriate recommendation at this time?","Retaining Juan so he can develop his English skills with native-speaking peers","Considering English-language learner services or supports","Providing individual pull-out services for English language arts to improve Juan's grammar","Recommending small-group social skills training for Juan",B,"Considering English-language learner services or supports",A=78|B=57|C=90|D=56,57.00,A=1.37|B=1.00|C=1.58|D=0.98,"none",ETS
SP5403_Q007,,LEG-S02,Diversity,"Which THREE of the following does NASP suggest school psychologists do to combat implicit bias?","Raise awareness of implicit bias by sharing research on the topic at faculty meetings","Advocate hiring faculty from diverse cultural backgrounds to work in the district","Take additional classes in multicultural psychology","Only work with students from the same cultural background as themselves",A|B|E,"Raise awareness of implicit bias by sharing research on the topic at faculty meetings | Advocate hiring faculty from diverse cultural backgrounds to work in the district | Continually be mindful of their own implicit biases when working with students and families",A=85|B=81|C=51|D=71,85.67,A=0.99|B=0.95|C=0.60|D=0.83,"irrelevant-domain",ETS
SP5403_Q008,,RES-S06,DBDM,"Which THREE of the following are key components NASP considers necessary for developing threat-assessment policies in schools?","Creating district-wide procedures","Conducting a needs assessment at the district and school levels","Creating a team of professionals from different disciplines to evaluate crisis response","Interviewing parents and students regarding the district's school safety policy",A|C|E,"Creating district-wide procedures | Creating a team of professionals from different disciplines to evaluate crisis response | Raising awareness of district policies on school safety and threat response",A=33|B=63|C=87|D=79,65.00,A=0.51|B=0.97|C=1.34|D=1.22,"none",ETS
SP5403_Q009,,DIV-S03,Research,"A school psychologist is interested in research on grade retention and believes that reviewing a meta-analysis may be helpful. Which of the following studies best exemplifies a meta-analysis?","Many studies related to grade retention were analyzed, and the overall effect size was calculated as a result of the synthesis of the research.","A study was conducted that compared grade retention rates to student dropout rates in one school.","A county researched the grade retention rates and compared the retention rates to the pass rate on the national state exam.","A student examines the number of students who have been retained over the past ten years in one district and compares their performance to their overall final high school GPA.",A,"Many studies related to grade retention were analyzed, and the overall effect size was calculated as a result of the synthesis of the research.",A=143|B=97|C=123|D=175,143.00,A=1.00|B=0.68|C=0.86|D=1.22,"none",ETS
SP5403_Q010,,DBDM-S04,School-Wide,"Which of the following is an example of test sensitivity?","Performance on the DIBELS reading fluency measure was found to correlate well with other established measures of reading fluency.","Two different teachers complete the BASC-3 for the same student, and similar scores are found across most subscales between the two teachers.","The WISC-V accurately predicts which students are likely to be diagnosed with a specific learning disability.","The Woodcock-Johnson IV shows good consistency of results over multiple administrations across most subtests.",C,"The WISC-V accurately predicts which students are likely to be diagnosed with a specific learning disability.",A=129|B=141|C=109|D=109,109.00,A=1.18|B=1.29|C=1.00|D=1.00,"none",ETS
