"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_MBH-03_1","This is an Application item because students must map a scenario prompt to the correct slot in the ordered ABC chain, not just define terms in isolation. The distractors are adjacent components in the same framework, so sequence discrimination is required.","Functional role discrimination among A-B-C components in Ellis's model, specifically identifying the activating trigger versus beliefs and consequences"
"PQ_MBH-03_2","This is an Application item because the student must classify a nuanced self-statement that blends catastrophic prediction and social-evaluative fear. Success depends on differentiating closely related distortion labels from the wording of the thought.","Differential identification of catastrophizing/all-or-nothing cognitions versus mind reading, overgeneralization, and labeling in anxious self-talk"
"PQ_MBH-03_3","This is a Recall item because it asks for the formal ABA definition of reinforcement by effect on future behavior. No case interpretation is needed beyond retrieving the defining increase criterion.","Definition-level knowledge that reinforcement is consequence-based and behavior-increasing, distinct from punishment and generic post-behavior outcomes"
"PQ_MBH-03_4","This is an Application item because learners must infer the behavioral principle from a classroom contingency example involving immediate praise after hand-raising. The alternatives are legitimate ABA procedures, so context-to-principle matching is central.","Selecting positive reinforcement from a classroom contingency by analyzing consequence valence and intended behavior-change direction"
"PQ_MBH-03_5","This is an Application item because the stem describes withdrawal of attention as the maintaining consequence and asks for the correct intervention label. Students must distinguish function-based extinction from other behavior-management terms.","Identification of attention-maintained behavior extinction procedures versus punishment, reinforcement, and generalization constructs"
"PQ_MBH-03_6","This is an Application item because students evaluate a stepwise classroom intervention and decide which ABA process it operationalizes. The key is recognizing progressively raised performance criteria as the defining structure.","Recognition of shaping through reinforcement of successive approximations rather than chaining, extinction, or punishment methods"
"PQ_MBH-03_7","This is a Recall item because it tests the canonical meaning of behavioral chaining without requiring scenario analysis. The student either retrieves the sequence-linking definition or confuses it with unrelated procedures.","Core definition of chaining as teaching ordered behavior sequences toward a terminal task completion goal"
"PQ_MBH-03_8","This is an Application item because learners must infer the intervention type from delayed exchange of earned tokens for backup rewards. The scenario cues conditioned reinforcement mechanics rather than simple reward delivery.","Token economy architecture: immediate token delivery, conditioned reinforcers, and delayed exchange for preferred backup reinforcers"
"PQ_MBH-03_9","This is an Application item because students must interpret a theoretical stance about intervention focus from comparative statements. Correct selection requires distinguishing SFBT's exception-and-strength orientation from etiological problem excavation.","Principle-level distinction of solution-focused brief therapy prioritizing exceptions and strengths over root-cause analysis"
"PQ_MBH-03_10","This is an Application item because the student must identify the named SFBT technique embedded in a clinician's exact prompt. The decision hinges on technique recognition from pragmatic counseling language.","Exception-question identification in SFBT prompts that elicit times when the presenting problem is less intense"
"PQ_MBH-03_11","This is an Application item because students interpret a practitioner response style within an MI dialogue rather than recalling a definition list. The prompt tests recognition of empathic reflections of ambivalence.","Motivational interviewing micro-skill recognition: reflective listening that mirrors ambivalence without advice, judgment, or directives"
