"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SAF-01_1","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'A school is implementing PBIS. Which element represents Tier 1 universal prevention?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in School-wide expectations, acknowledgment systems, and consistent consequences taught to all students, not evaluating competing actions such as Intensive individualized behavior support for students with disabilities.","Context-based discrimination of School-wide expectations acknowledgment systems and consistent consequences taught to all within the clinical decision context of school is implementing PBIS Which element represents Tier"
"PQ_SAF-01_2","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is the primary purpose of data-based decision making in PBIS implementation?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in To monitor implementation fidelity and student progress, adjusting practices based on data, not evaluating competing actions such as To identify students for exclusionary discipline.","Context-based discrimination of To monitor implementation fidelity and student progress adjusting practices based within the clinical decision context of What is the primary purpose of data-based decision"
"PQ_SAF-01_3","This is an Application item because the learner must use scenario details in 'A student is repeatedly excluded from lunch groups by their peers, resulting in the' to choose the best-fit intervention response. Success requires discriminating No, because bullying requires repeated harm, power imbalance, and intent to harm from plausible but mismatched alternatives like Yes, because exclusion is a form of relational aggression.","Context-based discrimination of No because bullying requires repeated harm power imbalance and intent within the clinical decision context of student is repeatedly excluded from lunch groups by"
"PQ_SAF-01_4","This is an Application item because the learner must use scenario details in 'A school is developing an anti-bullying program. Which component is most critical for reducing' to choose the best-fit intervention response. Success requires discriminating Clear reporting procedures and consistent adult response that stops bullying quickly from plausible but mismatched alternatives like Annual bullying prevention assemblies with evidence-based content and follow-up classroom.","Context-based discrimination of Clear reporting procedures and consistent adult response that stops bullying within the clinical decision context of school is developing an anti-bullying program Which component"
"PQ_SAF-01_5","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which distinction between bullying and conflict is most accurate?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Bullying involves power imbalance and repetition with intent to harm, not evaluating competing actions such as Bullying involves equal-power peers; conflict involves power imbalance.","Context-based discrimination of Bullying involves power imbalance and repetition with intent to harm within the clinical decision context of Which distinction between bullying and conflict is most"
"PQ_SAF-01_6","This is an Application item because the learner must use scenario details in 'A school is selecting a Social-Emotional Learning (SEL) program. According to CASEL framework research' to choose the best-fit intervention response. Success requires discriminating Integration of self-awareness, relationship skills, responsible decision-making across school settings from plausible but mismatched alternatives like Only academic skill-building with no attention to emotions.","Context-based discrimination of Integration of self-awareness relationship skills responsible decision-making across school settings within the clinical decision context of school is selecting Social-Emotional Learning SEL program According"
"PQ_SAF-01_7","This is an Application item because the learner must use scenario details in 'A student makes a threatening statement in frustration after losing a game: ""I'm going' to choose the best-fit intervention response. Success requires discriminating Conduct structured interviews to assess whether this is a transient expression of from plausible but mismatched alternatives like Immediately arrest the student for making a terroristic threat.","Context-based discrimination of Conduct structured interviews to assess whether this is transient expression within the clinical decision context of student makes threatening statement in frustration after losing"
"PQ_SAF-01_8","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which is a characteristic of restorative practices in schools?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Focusing on accountability, relationship repair, and repairing harm done, not evaluating competing actions such as Punishing students quickly and severely to deter misbehavior.","Context-based discrimination of Focusing on accountability relationship repair and repairing harm done within the clinical decision context of Which is characteristic of restorative practices in schools"
"PQ_SAF-01_9","This is an Application item because the learner must use scenario details in 'A school conducts universal screening for social-emotional and behavioral risk using a brief rating' to choose the best-fit intervention response. Success requires discriminating To identify students needing Tier 2 or Tier 3 support from plausible but mismatched alternatives like To exclude students with elevated risk from general education.","Context-based discrimination of To identify students needing Tier or Tier support within the clinical decision context of school conducts universal screening for social-emotional and behavioral"
"PQ_SAF-01_10","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Cyberbullying is distinct from in-person bullying because it', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Can reach broader audiences, occurs 24/7, is permanent, and may be harder, not evaluating competing actions such as Is less harmful due to occurring online.","Context-based discrimination of Can reach broader audiences occurs is permanent and may be within the clinical decision context of Cyberbullying is distinct from in-person bullying because it"
