"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_RES-03_1","A","L1","Conceptual","The student believed that random assignment does not distinguish experimental from correlational studies.","Understanding of experimental design features"
"PQ_RES-03_1","C","L3","Conceptual","The student believed that documenting individual experiences constitutes a research design.","Understanding experimental vs. qualitative research designs"
"PQ_RES-03_1","D","L3","Conceptual","The student believed that the study involved collecting opinions rather than measuring outcomes.","Understanding experimental design characteristics"
"PQ_RES-03_2","A","L2","Procedural","The student believed that sample size directly affects internal validity.","Understanding of internal vs. external validity"
"PQ_RES-03_2","C","L2","Conceptual","The student believed that external validity issues affect internal validity.","Distinction between internal and external validity"
"PQ_RES-03_2","D","L2","Procedural","The student believed that the validity of the outcome measure affects internal validity.","Understanding internal vs external validity"
"PQ_RES-03_3","A","L2","Conceptual","The student believed that differences in group characteristics could explain the results.","Selection bias in experimental design"
"PQ_RES-03_3","B","L2","Conceptual","The student believed that changes in test anxiety could be due to statistical artifacts rather than external factors.","understanding of regression to the mean in experimental design"
"PQ_RES-03_3","D","L2","Conceptual","The student believed that natural changes over time could explain the observed differences.","Understanding maturation as a validity threat"
"PQ_RES-03_4","A","L1","Conceptual","The student believed that a correlation of .62 indicates perfect prediction.","Understanding correlation strength and interpretation"
"PQ_RES-03_4","D","L3","Conceptual","The student believed that a correlation of .62 indicates no predictive value.","Understanding correlation strength and predictive utility"
"PQ_RES-03_5","A","L1","Conceptual","The student believed that correlation implies causation in this context.","Understanding of confounding variables in research"
"PQ_RES-03_5","B","L2","Conceptual","The student believed that the presence of other changes negates any effect of the discipline policy.","Understanding confounding variables in research"
"PQ_RES-03_5","D","L1","Conceptual","The student believed that hiring new counselors was the sole factor in improving school climate.","Understanding of confounding variables in research"
"PQ_RES-03_6","A","L3","Conceptual","The student believed that each phase in the ABAB design involves different participants.","single-subject research design phase identification"
"PQ_RES-03_6","B","L2","Procedural","The student believed that the ABAB pattern refers to the timing of measurements.","understanding ABAB design structure"
"PQ_RES-03_6","D","L2","Conceptual","The student believed that each phase in an ABAB design represents a different intervention being tested.","ABAB design phase representation"
"PQ_RES-03_7","A","L2","Conceptual","The student believed that examining multiple data sources is similar to controlling variables in an experiment.","case study methodology understanding"
"PQ_RES-03_7","C","L2","Conceptual","The student believed that gathering data from various sources is similar to collecting survey responses.","Qualitative data integration in case studies"
"PQ_RES-03_7","D","L1","Conceptual","The student believed that examining multiple data sources constitutes an experimental design.","Characteristics of experimental design"
"PQ_RES-03_8","A","L1","Conceptual","The student believed that any study involving variables is experimental.","Understanding of experimental study design"
"PQ_RES-03_8","C","L2","Conceptual","The student believed that examining individual cases is the same as correlating variables across a group.","Case study methodology understanding"
"PQ_RES-03_8","D","L2","Conceptual","The student believed that collecting questionnaire data automatically makes a study qualitative.","Distinction between qualitative and quantitative research methods"
"PQ_RES-03_9","A","L1","Conceptual","The student believed statistical significance implies a large and meaningful difference.","Understanding of statistical significance versus practical significance"
"PQ_RES-03_9","C","L1","Conceptual","The student believed that statistical significance implies universal effectiveness.","Generalization of statistical significance"
"PQ_RES-03_9","D","L2","Conceptual","The student believed that statistical significance implies a large effect size.","Understanding of statistical significance vs. effect size"
"PQ_RES-03_10","A","L1","Conceptual","The student believed that a Type I error is a false negative.","Type I and Type II error differentiation"
"PQ_RES-03_10","C","L3","Procedural","The student believed that Type I error involves choosing the incorrect statistical method.","Selection of appropriate statistical test"
"PQ_RES-03_10","D","L3","Conceptual","The student believed that sample size directly defines Type I error.","Understanding Type I and Type II errors"
"PQ_RES-03_11","A","L1","Conceptual","The student believed that statistical significance alone confirms the reality of a finding.","Understanding of statistical significance versus practical significance"
"PQ_RES-03_11","C","L2","Conceptual","The student believed that small sample sizes inherently invalidate any research findings.","Understanding of statistical power and sample size relationship"
