"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_PSY-03_1","This is an Application item because the learner must apply foundational knowledge of the MTSS problem-solving sequence to select the correct progression of stages, requiring discrimination among reordered sequences and understanding of procedural logic.","Sequential ordering of MTSS problem-solving model stages including problem identification, analysis, intervention implementation, and evaluation phases"
"PQ_PSY-03_2","This is an Application item because the learner must interpret assessment data and apply understanding of problem identification outcomes to recognize that discrepancy (gap between actual and expected) is being identified, not causation or intervention selection.","Distinguishing between current and expected performance discrepancy as the identifying outcome of problem identification phase"
"PQ_PSY-03_3","This is an Application item because the learner must discriminate among multiple data sources and apply understanding of what constitutes valid problem analysis, determining that intervention response is more diagnostic than IQ, demographics, or SES variables.","Identifying instructional intervention response as the most diagnostic indicator during problem analysis phase"
"PQ_PSY-03_4","This is an Application item because the learner must apply MTSS logic to a scenario showing inadequate Tier 1 response and correctly select Tier 2 implementation with monitoring rather than premature special education referral or formal evaluation.","Determining appropriate tiered intervention escalation when student demonstrates nonresponse to Tier 1 core instruction"
"PQ_PSY-03_5","This is an Application item because the learner must apply conceptual understanding of universal screening to recognize it as problem identification (discrepancy detection) at the whole-system level, not as intervention, analysis, or special education eligibility determination.","Classifying universal screening as the problem identification process component of MTSS framework"
"PQ_PSY-03_6","This is a Recall item because the learner must retrieve the essential definition of MTSS as a prevention-focused, intensity-matched framework providing increasingly intensive support based on documented student response, without scenario-based interpretation.","Defining MTSS as a prevention-oriented, tiered support system responsive to student performance data"
"PQ_PSY-03_7","This is an Application item because the learner must interpret progress monitoring data within a realistic intervention timeline and apply decision logic to modify, intensify, or augment an intervention while maintaining data collection—not discontinuing or ignoring emerging evidence.","Determining when and how to modify intervention intensity based on inadequate progress monitoring data trends"
"PQ_PSY-03_8","This is a Recall item because the learner must retrieve the standard definition of implementation fidelity (adherence to intervention design) without applying it to a scenario, interpreting outcomes, or analyzing relationships between fidelity and student response.","Defining intervention fidelity as the degree to which an intervention is delivered as originally designed"
"PQ_PSY-03_9","This is an Application item because the learner must apply understanding of benchmark assessment purpose and timing to identify that regular universal screening enables both initial discrepancy detection (problem identification) and evaluation of core instruction system effectiveness.","Recognizing benchmark assessment schedule as supporting universal-level problem identification and Tier 1 effectiveness evaluation"
"PQ_PSY-03_10","This is a Recall item because the learner must retrieve the technical definition of dual discrepancy (inadequate benchmark performance AND inadequate response to research-based intervention) without scenario interpretation or application to specific cases.","Defining dual discrepancy criterion as evidence of both low performance and inadequate intervention response"
"PQ_PSY-03_11","This is an Application item because the learner must apply the cyclical MTSS problem-solving process to recognize that nonresponse after adequate trial requires returning to problem analysis phase to investigate causation before continuing, discontinuing, or escalating the intervention.","Determining when to conduct problem analysis reassessment following ineffective intervention trial in MTSS cycle"
"PQ_PSY-03_12","This is a Recall item because the learner must recall the specific framework components of Gresham's RTI adequacy (research base, fidelity, valid measurement of response) and identify that special education category determination is not part of these intervention quality criteria.","Identifying special education eligibility determination as outside the scope of Gresham's RTI intervention adequacy criteria"
"PQ_PSY-03_13","This is an Application item because the learner must apply knowledge of collaborative assessment and intervention planning to select a team composition including classroom teacher, special education, parent, and the school psychologist—the minimal sufficient collaboration structure.","Identifying necessary multidisciplinary team composition for comprehensive problem-solving process implementation in schools"
"PQ_PSY-03_14","This is a Recall item because the learner must retrieve the core definition of UDL and its role in MTSS (multiple means of representation, action, and engagement to preemptively reduce barriers) without scenario interpretation or weighing competing intervention priorities.","Defining UDL as reducing barriers through multiple representation, expression, and engagement modalities within MTSS"
"PQ_PSY-03_15","This is an Application item because the learner must interpret progress monitoring trends (slope, direction, consistency) and apply intervention continuation logic to distinguish between meaningful progress requiring continued monitoring and insufficient progress requiring modification.","Recognizing positive linear progress trends as justification for continuing intervention despite nonachievement of benchmark"
"PQ_PSY-03_16","This is a Recall item because the learner must recall that MTSS problem-solving requires objective data from multiple sources including progress monitoring and benchmarks—not teacher judgment alone, clinical impression, or achievement tests in isolation.","Identifying objective multi-source data as the appropriate evidential foundation for MTSS problem-solving decisions"
"PQ_PSY-03_17","This is an Application item because the learner must apply problem analysis findings to modify intervention focus—shifting from current problem content to prerequisite foundational skills—rather than increasing intensity, escalating tiers, or abandoning attempts prematurely.","Adjusting intervention content to address identified foundational skill gaps discovered during problem analysis"
"PQ_PSY-03_18","This is an Application item because the learner must apply understanding of tiered intervention purposes to recognize that Tier 2 targets students showing insufficient Tier 1 response—not special education replacement, comprehensive assessment, or disability diagnosis.","Distinguishing Tier 2 targeted intervention as response for students inadequate to Tier 1 instruction"
"PQ_PSY-03_19","This is a Recall item because the learner must recall the functional relationship between RTI and special education—that RTI data inform eligibility decisions and supplement traditional assessment—without scenario interpretation or comparative analysis.","Defining RTI data as informing but not determining special education disability eligibility decisions"
"PQ_PSY-03_20","This is an Application item because the learner must apply realistic MTSS outcomes evaluation to recognize that most universal students achieving benchmarks—not all students, immediate special education identification, or zero referrals—best demonstrates core system effectiveness.","Identifying achievable system-level success indicator as majority of Tier 1 students meeting benchmarks"
"item_080","This is an Application item because the learner must apply best-practice decision-making to recognize that MTSS problem-solving and targeted intervention attempts should precede formal evaluation, even when parents request assessment, consistent with IDEA responsiveness expectations.","Determining appropriate pre-referral intervention process when parent requests special education without prior MTSS attempts"
"item_126","This is an Application item because the learner must apply problem-solving methodology to recognize that clarifying and defining the specific problem with the referral source (teacher) is logically prerequisite to intervention design, data review, or formal evaluation planning.","Determining appropriate first diagnostic action when referral contains vague, nonspecific information about student difficulties"
"item_130","This is an Application item because the learner must apply knowledge of RTI data analysis framework (trend, level, variability) to exclude quantity-based analysis and recognize that slope direction, current performance, and stability are the three standard analytical dimensions.","Discriminating among data analysis dimensions to identify quantity as excluded from standard three-level RTI analysis"
"item_132","This is an Application item because the learner must apply understanding of data quality and interpretation to recognize that substantial within-phase variability compromises interpretation validity and necessitates screening for unmeasured factors affecting performance before drawing intervention conclusions.","Interpreting high variability in early progress monitoring data as signal requiring investigation of confounding variables"
"item_134","This is an Application item because the learner must apply RTI data decision logic to identify that while response percentage, data variability, and position relative to aim line are directly relevant to intervention decisions, socioeconomic status is a demographic variable not directly informing intervention adjustment.","Distinguishing educationally relevant data factors from demographic characteristics in RTI decision-making applications"
"item_137","This is a Recall item because the learner must retrieve the specific RTI baseline collection guideline that stable baseline data should show no new highs or lows across at least three consecutive baseline points to ensure valid intervention comparison.","Defining baseline stability guideline as absence of ceiling effects, floor effects, or trend over minimum data points"
