"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DIV-01_1","This is an Application item because the examinee must interpret a scenario involving cultural mismatch between an evidence-based intervention and a student's collectivist values, requiring selection of an appropriate cultural adaptation strategy.","Cultural reframing of assertiveness-focused interventions to align with collectivist family values and group-oriented decision-making contexts"
"PQ_DIV-01_2","This is a Recall item because it asks for factual definition and recognition of a specific construct—cultural humility—without requiring scenario analysis, case interpretation, or comparative decision-making.","Definitional discrimination of cultural humility as ongoing self-reflection and power awareness distinct from cultural competence mastery"
"PQ_DIV-01_3","This is an Application item because the examinee must interpret the purpose of strength-based assessment in a low-income context and discriminate it from deficit-focused or superficial approaches to cultural competence.","Strength-based assessment framework prioritizing resilience, cultural assets, and protective factors over socioeconomic deficit narratives"
"PQ_DIV-01_4","This is an Application item because the examinee must apply intersectionality theory to understand how overlapping identities (race, class, disability) create compounded experiences requiring integrated rather than isolated intervention planning.","Intersectional analysis recognizing compounded barriers from overlapping marginalized identities and rejecting additive categorical treatment"
"PQ_DIV-01_5","This is an Application item because the examinee must adapt a Western cognitive-behavioral intervention framework to accommodate collectivist family decision-making norms while maintaining intervention integrity.","Cultural adaptation of cognitive-behavioral intervention delivery to include extended family participation in goal-setting and progress monitoring"
"PQ_DIV-01_6","This is an Application item because the examinee must navigate cultural values about disability management and family autonomy while applying legal mandates and promoting evidence-based services through respectful collaborative engagement.","Culturally responsive family engagement balancing disability perspectives, alternative healing approaches, and legal educational rights via dialogue"
"PQ_DIV-01_7","This is a Recall item because it asks the examinee to demonstrate factual knowledge of the mechanism by which socioeconomic status relates to academic disparities without requiring comparative analysis or scenario-based decision-making.","Socioeconomic status as proxy variable: resource-related mechanisms versus direct causation of academic achievement disparities"
"PQ_DIV-01_8","This is an Application item because the examinee must navigate cultural barriers to help-seeking (privacy norms, stigma) by selecting an intervention framing that acknowledges family values while promoting evidence-based behavioral support.","Help-seeking barriers rooted in cultural privacy norms and stigma requiring reframing interventions as family goal support with confidentiality boundaries"
"PQ_DIV-01_9","This is a Recall item because it requires the examinee to distinguish factual definitions and conceptual properties of cultural competence versus cultural humility without analyzing cases or interpreting complex scenarios.","Conceptual distinction between cultural humility as ongoing reflection versus cultural competence as knowledge mastery in cross-cultural school psychology"
"PQ_DIV-01_10","This is an Application item because the examinee must adapt a reinforcement system designed for individual achievement to align with cultural values emphasizing group harmony, collective progress, and family-oriented goals.","Behavioral reinforcement system redesign reorienting individual reward structures toward family-level and community-level achievement goals"
"PQ_DIV-01_11","This is an Application item because the examinee must analyze systemic gifted underidentification across cultural groups and identify underlying mechanisms including cultural bias in assessment, referral, and implicit expectations.","Underidentification etiology in gifted programs attributing disparities to cultural loading, implicit bias, and assessment instrument bias not student ability"
"PQ_DIV-01_12","This is an Application item because the examinee must select an intervention approach that integrates bilingual support with culturally responsive practices while distinguishing language difference from language disorder.","Culturally and linguistically appropriate intervention integrating home language use with differential diagnosis of bilingual language development"
"PQ_DIV-01_13","This is an Application item because the examinee must integrate indigenous healing practices into intervention planning by validating alternative approaches and identifying compatibility with school-based services.","Collaborative integration of indigenous healing practices with school-based services through validation and alignment analysis"
"PQ_DIV-01_14","This is an Application item because the examinee must recognize how cultural variations in emotional expression and communication styles affect standardized assessment item responses and norm-based score interpretations.","Cultural influence on behavioral rating scale responses recognizing emotional restraint and indirect communication norms affecting norm-comparative validity"
"PQ_DIV-01_15","This is an Application item because the examinee must implement PBIS while prioritizing cultural sustainability, equitable enforcement monitoring, and community member involvement in defining culturally congruent behavioral expectations.","Culturally sustaining PBIS implementation incorporating community voices, cultural identity affirmation, and equity monitoring across marginalized student groups"
"PQ_DIV-01_16","This is an Application item because the examinee must interpret standardized assessment results for a student with limited test familiarity by recognizing test anxiety, format unfamiliarity, and assessment bias as score depressants.","Assessment result interpretation recognizing test-taking anxiety, assessment format unfamiliarity, and bias as alternative explanations for depressed scores"
"PQ_DIV-01_17","This is an Application item because the examinee must evaluate whether specific religious or cultural accommodations can be integrated into interventions while maintaining evidence-based integrity and ensuring student safety.","Accommodation feasibility analysis balancing religious and cultural practice requests against intervention fidelity and legal safety obligations"
"PQ_DIV-01_18","This is an Application item because the examinee must recognize contextual social competence variation across settings, interpreting apparent deficits as cultural discontinuity between home and school rather than intrinsic skill deficits.","Cultural discontinuity hypothesis distinguishing context-dependent social competence from genuine skill deficits through culturally matched setting analysis"
"PQ_DIV-01_19","This is an Application item because the examinee must adapt parent involvement structures to accommodate family scheduling constraints through flexible timing, alternative communication modes, and linguistically accessible materials.","Family engagement accommodation through flexible scheduling, multimodal communication formats, and home language materials for time-constrained working families"
"PQ_DIV-01_20","This is an Application item because the examinee must define cultural adaptation as preservation of evidence-based core components with modified delivery and goals, distinguishing it from replacement or expectation-lowering approaches.","Cultural adaptation as fidelity-preserving modification of evidence-based intervention delivery, goals, and family involvement to fit cultural context"
