"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_SWP-04_1","Students isolate one domain (academic or behavioral) instead of recognizing MTSS as a fully integrated system requiring both components to function together.","component-confusion","Choice A shows students selecting academic-only support, revealing incomplete understanding of MTSS scope. Choice C shows students choosing behavioral support in isolation, suggesting they view domains as interchangeable rather than complementary. Choice D conflates outcome-focused special education with framework-focused MTSS. Explicitly teach using a parallel-tiers diagram showing academic and behavioral tracks side-by-side with unified screening and data, then have students label which components are present in each track."
"PQ_SWP-04_10","Students truncate the RTI decision sequence by jumping directly to special education referral or giving up on intervention, bypassing the critical problem-solving cycle that requires testing, adjusting, and retesting before concluding non-responsiveness.","sequence-inversion","Choice A shows students extending the same intervention without fidelity review, indicating they skip the diagnostic step. Choice C reveals the opposite error—premature referral without intervention adjustment—suggesting a misunderstanding of RTI as sequential. Choice D shows students conflating one failed intervention trial with permanent inability to benefit. Use a decision flowchart with explicit 'fidelity check' and 'modify intervention' boxes, then have students walk through a case study where each box must be completed before moving to the next."
"PQ_SWP-04_11","Students default to maintaining Tier 1 unchanged or lowering standards when confronted with widespread screening failure, rather than improving Tier 1 quality as the prerequisite step before tier-based differentiation.","tier-level-confusion","Choice A shows students preserving the status quo despite data indicating systemic inadequacy. Choice C reveals students treating standards reduction as equivalent to instructional improvement. Choice D shows students eliminating universal instruction, which contradicts MTSS's foundational principle. Use a scaled Tier 1 quality rubric (fidelity, intensity, implementation) and have students diagnose what specific instructional variables (curriculum, pacing, classroom management) are weak before considering tier movement."
"PQ_SWP-04_12","Students treat MTSS and special education as completely separate silos or incorrectly fold special education into MTSS as Tier 3, misunderstanding that MTSS is a general education prevention system that feeds data into but does not replace special education evaluation.","scope-undergeneralization","Choice A shows students treating processes as entirely disconnected. Choice C shows students believing MTSS participation bars special education evaluation, indicating they see systems as competing rather than complementary. Choice D conflates Tier 3 intensive support with special education services. Teach the relationship using a venn diagram showing MTSS as primary system feeding data into special education as a separate parallel system, then have students identify which data types (universal screening, progress monitoring) inform both."
"PQ_SWP-04_13","Students apply inflexible benchmark rules (identical across grades, set by individual teachers, or unrealistically high) rather than anchoring benchmarks to research, grade-level development, and achievable growth targets.","scope-overgeneralization","Choice A shows students applying uniform benchmarks despite grade-level differences in developmental skill. Choice C reveals students setting benchmarks beyond typical attainment, suggesting they confuse challenge with feasibility. Choice D shows teachers working independently rather than collaboratively on validated benchmarks. Use a grade-progression chart showing how benchmarks should shift (e.g., nonsense word fluency rising from 25 CWPM in K to 50 in 1st), then have students set appropriate benchmarks by comparing to published normed data (DIBELS, AIMSweb) rather than subjective teacher judgment."
"PQ_SWP-04_14","Students underestimate the organizational complexity of MTSS sustainability, believing one person, minimal training, or limited time allocation can maintain implementation fidelity across multiple domains and tiers.","indirect-direct-confusion","Choice A shows students naming a single psychologist as responsible for all MTSS work, ignoring distributed leadership. Choice C reveals students assuming staff can execute MTSS without professional development, indicating they view implementation as procedural rather than culturally embedded. Choice D shows students treating time allocation as independent from quality, not understanding that systemic change requires sustained investment. Build a staffing model showing distributed roles (psychologist as leader/facilitator, teachers as tier implementers, admin as resources) and connect professional development to specific team functions (data meetings, problem-solving, fidelity checks)."
"PQ_SWP-04_15","Students frame MTSS as replacing special education or incompatible with it, rather than understanding that MTSS operates as a general education prevention system within which special education students continue to receive their established services.","purpose-confusion","Choice A shows students viewing MTSS enrollment as requiring special education exit, conflating support intensification with program displacement. Choice B reveals students thinking MTSS is internal to special education rather than feeding into it. Choice C shows students treating systems as unrelated silos without data exchange. Teach using a student-in-two-systems model: show a special education student simultaneously receiving IEP services AND participating in MTSS (e.g., small-group reading support, PBIS systems), with MTSS data informing IEP goal progress."
"PQ_SWP-04_16","Students treat academic and behavioral tiers as disconnected tracks rather than parallel structures using unified screening, progress monitoring, and problem-solving frameworks applied to both domains simultaneously.","model-conflation","Choice A shows students viewing systems as independent, indicating they don't grasp the unified framework principle. Choice C reveals students ranking domains by importance, which undermines the 'parallel tier' architecture. Choice D shows students forced into either/or thinking, suggesting they don't see both systems coexisting. Draw a 3×2 grid (three tiers × two domains) and populate it with academic interventions (Tier 1: quality core reading; Tier 2: guided reading group; Tier 3: intensive decoding) and behavioral interventions (Tier 1: PBIS expectations; Tier 2: mentoring group; Tier 3: function-based behavior plan), showing that each tier and domain uses the same problem-solving and monitoring process."
"PQ_SWP-04_17","Students conflate aggregate behavioral-referral disparities with natural differences in student behavior frequency, misunderstanding that disproportionate patterns signal differential decision-making bias rather than actual behavior rate differences.","causation-correlation","Choice A shows students assuming referral patterns reflect true behavior differences, revealing they don't distinguish between observed behavior and referral decisions. Choice C shows students downplaying behavior concerns in equity contexts, conflating equity with lowered expectations. Choice D shows students dismissing disproportionate patterns as routine, suggesting they lack pattern-recognition skills. Use a concrete example: show two students (same behavior—calling out in class—across five observations) where one is referred to Tier 2 for behavioral support and the other is not, then disaggregate your school's referral data by race/ethnicity for identical behaviors and have students interpret what the referral gap reveals about adult decision-making, not student behavior."
"PQ_SWP-04_18","Students narrow the school psychologist's MTSS role to a single function (data management or special education referral) rather than recognizing it as collaborative systems leadership spanning data systems, problem-solving facilitation, staff development, and equity monitoring.","role-confusion","Choice A shows students excluding psychologists entirely, indicating no mental model of their systems role. Choice C shows students limiting the role to data collection only, underestimating scope. Choice D shows students equating psychologist role with special education functions, conflating distinct processes. Build a role matrix showing school psychologist functions (lead data meetings, facilitate problem-solving, coach teachers on intervention fidelity, monitor equity, train staff) mapped to MTSS tier and domain, then have students role-play each function in a scenario."
