"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ETH-03_1","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'NASP's continuing education requirements for school psychologists serve to' scenario discrimination"
"PQ_ETH-03_2","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'A school psychologist is the only psychologist in a rural district with' scenario discrimination"
"PQ_ETH-03_3","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Individual advocacy in school psychology means' scenario discrimination"
"PQ_ETH-03_4","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Systems advocacy in school psychology involves' scenario discrimination"
"PQ_ETH-03_5","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'A school psychologist becomes aware that the discipline rate for students of' scenario discrimination"
"PQ_ETH-03_6","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'NASP position statements serve what purpose in professional practice' scenario discrimination"
"PQ_ETH-03_7","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Professional mentoring and supervision relationships contribute to professional growth by' scenario discrimination"
"PQ_ETH-03_8","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Self-care and preventing burnout are ethical obligations because' scenario discrimination"
"PQ_ETH-03_9","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'A school psychologist is invited to present at a conference on culturally' scenario discrimination"
"PQ_ETH-03_10","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Advocacy at the policy level might include' scenario discrimination"
